Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-18 17:00:00+01:00,4.4988,4.4988,4.4988,4.4988,0,0,0
2019-12-18 17:01:00+01:00,4.4999,4.4999,4.4986,4.4986,0,0,0
2019-12-18 17:02:00+01:00,4.4992,4.4993,4.4992,4.4993,0,0,0
2019-12-18 17:03:00+01:00,4.4966,4.4966,4.4966,4.4966,0,0,0
2019-12-18 17:04:00+01:00,4.4953,4.4962,4.4953,4.4962,0,0,0
2019-12-18 17:06:00+01:00,4.4928,4.4928,4.4928,4.4928,0,0,0
2019-12-18 17:07:00+01:00,4.4918,4.4922,4.4918,4.4922,0,0,0
2019-12-18 17:08:00+01:00,4.4917,4.4926,4.4917,4.4926,0,0,0
2019-12-18 17:09:00+01:00,4.493,4.493,4.493,4.493,0,0,0
2019-12-18 17:10:00+01:00,4.4951,4.4953,4.4951,4.4953,0,0,0
2019-12-18 17:11:00+01:00,4.4953,4.4953,4.4925,4.4925,0,0,0
2019-12-18 17:12:00+01:00,4.492,4.4923,4.492,4.4923,0,0,0
2019-12-18 17:13:00+01:00,4.4935,4.4935,4.4932,4.4932,0,0,0
2019-12-18 17:14:00+01:00,4.4926,4.4926,4.4926,4.4926,0,0,0
2019-12-18 17:15:00+01:00,4.4919,4.4932,4.4919,4.4932,0,0,0
2019-12-18 17:16:00+01:00,4.4932,4.4958,4.4932,4.4958,0,0,0
2019-12-18 17:17:00+01:00,4.4963,4.4963,4.4963,4.4963,0,0,0
2019-12-18 17:18:00+01:00,4.4972,4.4974,4.4972,4.4974,0,0,0
2019-12-18 17:19:00+01:00,4.4968,4.4968,4.4965,4.4965,0,0,0
2019-12-18 17:20:00+01:00,4.4952,4.4952,4.4948,4.4948,0,0,0
2019-12-18 17:21:00+01:00,4.4923,4.4923,4.4921,4.4921,0,0,0
2019-12-18 17:22:00+01:00,4.4927,4.4927,4.491,4.491,0,0,0
2019-12-18 17:23:00+01:00,4.4916,4.4916,4.4916,4.4916,0,0,0
2019-12-18 17:24:00+01:00,4.4926,4.4928,4.4926,4.4928,0,0,0
2019-12-18 17:25:00+01:00,4.4912,4.4913,4.4912,4.4913,0,0,0
2019-12-18 17:26:00+01:00,4.4911,4.4911,4.4895,4.4895,0,0,0
2019-12-18 17:27:00+01:00,4.4895,4.4895,4.4893,4.4893,0,0,0
2019-12-18 17:28:00+01:00,4.4896,4.4902,4.4896,4.4902,0,0,0
2019-12-18 17:29:00+01:00,4.4908,4.4908,4.4908,4.4908,0,0,0
2019-12-19 09:00:00+01:00,4.501,4.5073,4.501,4.5073,0,0,0
2019-12-19 09:01:00+01:00,4.5077,4.5077,4.5077,4.5077,0,0,0
2019-12-19 09:02:00+01:00,4.5077,4.5077,4.5073,4.5073,0,0,0
2019-12-19 09:03:00+01:00,4.508,4.508,4.508,4.508,0,0,0
2019-12-19 09:04:00+01:00,4.5091,4.5096,4.5091,4.5096,0,0,0
2019-12-19 09:05:00+01:00,4.5098,4.5098,4.5094,4.5094,0,0,0
2019-12-19 09:06:00+01:00,4.5094,4.5106,4.5094,4.5106,0,0,0
2019-12-19 09:07:00+01:00,4.5111,4.5111,4.5111,4.5111,0,0,0
2019-12-19 09:08:00+01:00,4.5107,4.5107,4.5105,4.5105,0,0,0
2019-12-19 09:09:00+01:00,4.5105,4.5105,4.5101,4.5101,0,0,0
2019-12-19 09:10:00+01:00,4.5103,4.5103,4.5101,4.5101,0,0,0
2019-12-19 09:11:00+01:00,4.5105,4.5105,4.5098,4.5098,0,0,0
2019-12-19 09:12:00+01:00,4.5107,4.5107,4.5103,4.5103,0,0,0
2019-12-19 09:13:00+01:00,4.5099,4.5103,4.5099,4.5103,0,0,0
2019-12-19 09:14:00+01:00,4.5094,4.5116,4.5094,4.5116,0,0,0
2019-12-19 09:15:00+01:00,4.5122,4.5122,4.5122,4.5122,0,0,0
2019-12-19 09:16:00+01:00,4.5123,4.5123,4.5102,4.5102,0,0,0
2019-12-19 09:17:00+01:00,4.5115,4.5115,4.5102,4.5102,0,0,0
2019-12-19 09:18:00+01:00,4.5104,4.512,4.5104,4.512,0,0,0
2019-12-19 09:19:00+01:00,4.5105,4.5115,4.5105,4.5115,0,0,0
2019-12-19 09:20:00+01:00,4.5131,4.5131,4.5131,4.5131,0,0,0
