Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-18 17:02:00+01:00,768.75,768.75,768.71,768.71,0,0,0
2019-12-18 17:03:00+01:00,768.57,768.57,768.57,768.57,0,0,0
2019-12-18 17:04:00+01:00,768.66,768.86,768.66,768.86,0,0,0
2019-12-18 17:05:00+01:00,768.75,768.75,768.75,768.75,0,0,0
2019-12-18 17:06:00+01:00,768.7,768.7,768.7,768.7,0,0,0
2019-12-18 17:07:00+01:00,769.04,769.19,769.04,769.19,0,0,0
2019-12-18 17:08:00+01:00,769.04,769.12,769.04,769.12,0,0,0
2019-12-18 17:09:00+01:00,769.17,769.17,769.17,769.17,0,0,0
2019-12-18 17:10:00+01:00,769.06,769.06,768.85,768.85,0,0,0
2019-12-18 17:11:00+01:00,768.63,768.69,768.63,768.69,0,0,0
2019-12-18 17:12:00+01:00,768.85,768.87,768.85,768.87,0,0,0
2019-12-18 17:13:00+01:00,769.09,769.09,769.09,769.09,0,0,0
2019-12-18 17:14:00+01:00,769.0,769.0,769.0,769.0,0,0,0
2019-12-18 17:15:00+01:00,768.98,769.06,768.98,769.06,0,0,0
2019-12-18 17:16:00+01:00,769.15,769.41,769.15,769.41,0,0,0
2019-12-18 17:17:00+01:00,769.71,769.71,769.71,769.71,0,0,0
2019-12-18 17:18:00+01:00,769.69,769.69,769.6,769.6,0,0,0
2019-12-18 17:19:00+01:00,769.65,769.65,769.6,769.6,0,0,0
2019-12-18 17:20:00+01:00,769.48,769.63,769.48,769.63,0,0,0
2019-12-18 17:21:00+01:00,769.68,769.86,769.68,769.86,0,0,0
2019-12-18 17:22:00+01:00,769.74,769.83,769.74,769.83,0,0,0
2019-12-18 17:23:00+01:00,769.84,769.84,769.84,769.84,0,0,0
2019-12-18 17:24:00+01:00,769.51,769.51,769.47,769.47,0,0,0
2019-12-18 17:25:00+01:00,769.47,769.5,769.47,769.5,0,0,0
2019-12-18 17:26:00+01:00,769.39,769.39,769.27,769.27,0,0,0
2019-12-18 17:27:00+01:00,769.54,769.55,769.54,769.55,0,0,0
2019-12-18 17:28:00+01:00,769.4,769.46,769.4,769.46,0,0,0
2019-12-19 15:30:00+01:00,769.88,769.88,769.88,769.88,0,0,0
2019-12-19 15:31:00+01:00,770.08,770.08,769.51,769.51,0,0,0
2019-12-19 15:32:00+01:00,770.27,770.27,770.27,770.27,0,0,0
