Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-18 16:00:00+00:00,332.36,332.36,332.31,332.35,0,0,0
2019-12-18 16:01:00+00:00,332.36,332.45,332.36,332.45,0,0,0
2019-12-18 16:02:00+00:00,332.46,332.48,332.36,332.38,0,0,0
2019-12-18 16:03:00+00:00,332.38,332.47,332.37,332.47,0,0,0
2019-12-18 16:04:00+00:00,332.49,332.55,332.49,332.54,0,0,0
2019-12-18 16:05:00+00:00,332.54,332.62,332.53,332.62,0,0,0
2019-12-18 16:06:00+00:00,332.61,332.62,332.53,332.57,0,0,0
2019-12-18 16:07:00+00:00,332.57,332.62,332.55,332.55,0,0,0
2019-12-18 16:08:00+00:00,332.55,332.59,332.49,332.49,0,0,0
2019-12-18 16:09:00+00:00,332.47,332.49,332.4,332.4,0,0,0
2019-12-18 16:10:00+00:00,332.4,332.4,332.34,332.39,0,0,0
2019-12-18 16:11:00+00:00,332.39,332.42,332.35,332.35,0,0,0
2019-12-18 16:12:00+00:00,332.35,332.39,332.33,332.37,0,0,0
2019-12-18 16:13:00+00:00,332.4,332.47,332.4,332.45,0,0,0
2019-12-18 16:14:00+00:00,332.46,332.5,332.45,332.47,0,0,0
2019-12-18 16:17:00+00:00,332.73,332.79,332.73,332.78,0,0,0
2019-12-18 16:18:00+00:00,332.79,332.8,332.75,332.76,0,0,0
2019-12-18 16:19:00+00:00,332.76,332.83,332.74,332.83,0,0,0
2019-12-18 16:20:00+00:00,332.84,332.85,332.79,332.8,0,0,0
2019-12-18 16:21:00+00:00,332.81,332.81,332.71,332.72,0,0,0
2019-12-18 16:22:00+00:00,332.71,332.73,332.69,332.72,0,0,0
2019-12-18 16:23:00+00:00,332.72,332.73,332.6,332.62,0,0,0
2019-12-18 16:24:00+00:00,332.63,332.63,332.56,332.59,0,0,0
2019-12-18 16:25:00+00:00,332.59,332.67,332.56,332.64,0,0,0
2019-12-18 16:26:00+00:00,332.63,332.71,332.62,332.69,0,0,0
2019-12-18 16:27:00+00:00,332.66,332.67,332.63,332.65,0,0,0
2019-12-18 16:28:00+00:00,332.65,332.73,332.64,332.69,0,0,0
2019-12-18 16:29:00+00:00,332.69,332.72,332.65,332.65,0,0,0
2019-12-19 14:30:00+00:00,331.84,332.07,331.82,332.04,0,0,0
2019-12-19 14:31:00+00:00,332.05,332.05,331.71,331.71,0,0,0
2019-12-19 14:32:00+00:00,331.73,331.92,331.67,331.85,0,0,0
2019-12-19 14:33:00+00:00,331.84,332.05,331.84,331.97,0,0,0
2019-12-19 14:34:00+00:00,332.0,332.0,331.84,331.9,0,0,0
2019-12-19 14:35:00+00:00,331.92,332.09,331.91,332.02,0,0,0
2019-12-19 14:36:00+00:00,332.04,332.1,331.93,331.96,0,0,0
2019-12-19 14:37:00+00:00,331.97,331.97,331.81,331.81,0,0,0
2019-12-19 14:38:00+00:00,331.72,332.28,331.64,332.2,0,0,0
2019-12-19 14:39:00+00:00,332.18,332.23,332.09,332.09,0,0,0
2019-12-19 14:40:00+00:00,332.09,332.25,332.09,332.25,0,0,0
2019-12-19 14:41:00+00:00,332.25,332.49,332.24,332.49,0,0,0
2019-12-19 14:42:00+00:00,332.5,332.65,332.5,332.62,0,0,0
2019-12-19 14:43:00+00:00,332.61,332.61,332.52,332.52,0,0,0
2019-12-19 14:44:00+00:00,332.51,332.62,332.43,332.57,0,0,0
2019-12-19 14:45:00+00:00,332.55,332.7,332.55,332.6,0,0,0
2019-12-19 14:46:00+00:00,332.61,332.61,332.17,332.17,0,0,0
2019-12-19 14:47:00+00:00,332.17,332.36,332.11,332.36,0,0,0
2019-12-19 14:48:00+00:00,332.38,332.42,332.35,332.39,0,0,0
2019-12-19 14:49:00+00:00,332.4,332.45,332.35,332.43,0,0,0
