Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-19 09:00:00+01:00,830.52,832.74,830.51,832.26,53231722,0,0
2019-12-19 09:01:00+01:00,832.26,832.6,831.89,832.53,18273148,0,0
2019-12-19 09:02:00+01:00,832.54,832.76,831.63,831.64,10381239,0,0
2019-12-19 09:03:00+01:00,831.65,831.98,831.57,831.87,7516145,0,0
2019-12-19 09:04:00+01:00,831.89,832.11,831.72,831.81,8492143,0,0
2019-12-19 09:05:00+01:00,831.85,832.94,831.81,832.63,11253657,0,0
2019-12-19 09:06:00+01:00,832.63,832.63,832.14,832.32,10857427,0,0
2019-12-19 09:07:00+01:00,832.33,832.33,831.95,832.13,6141824,0,0
2019-12-19 09:08:00+01:00,832.13,832.37,832.01,832.36,6777419,0,0
2019-12-19 09:09:00+01:00,832.38,832.58,832.09,832.38,7919630,0,0
2019-12-19 09:10:00+01:00,832.36,832.7,832.27,832.66,4761036,0,0
2019-12-19 09:11:00+01:00,832.67,832.98,832.67,832.98,4671523,0,0
2019-12-19 09:12:00+01:00,833.0,833.12,832.77,832.77,3327206,0,0
2019-12-19 09:13:00+01:00,832.79,832.93,832.74,832.84,5766581,0,0
2019-12-19 09:14:00+01:00,832.85,833.04,832.73,833.01,3638569,0,0
2019-12-19 09:15:00+01:00,833.02,833.49,833.02,833.14,12628699,0,0
2019-12-19 09:16:00+01:00,833.12,833.12,832.1,832.16,11756493,0,0
2019-12-19 09:17:00+01:00,832.17,832.26,832.07,832.16,4218107,0,0
2019-12-19 09:18:00+01:00,832.17,832.36,832.13,832.36,3257960,0,0
2019-12-19 09:19:00+01:00,832.37,832.37,832.18,832.23,3219213,0,0
2019-12-19 09:20:00+01:00,832.24,832.63,832.24,832.54,4442619,0,0
2019-12-19 09:21:00+01:00,832.55,832.94,832.55,832.88,4145496,0,0
2019-12-19 09:22:00+01:00,832.84,832.99,832.78,832.92,6868685,0,0
2019-12-19 09:23:00+01:00,832.91,832.96,832.84,832.95,5611185,0,0
2019-12-19 09:24:00+01:00,832.95,833.09,832.95,832.97,2825872,0,0
2019-12-19 09:25:00+01:00,832.97,833.03,832.52,832.59,5004626,0,0
2019-12-19 09:26:00+01:00,832.6,832.67,832.3,832.38,6248777,0,0
2019-12-19 09:27:00+01:00,832.36,832.38,832.21,832.33,8128453,0,0
2019-12-19 09:28:00+01:00,832.32,832.44,832.29,832.29,4184137,0,0
2019-12-19 09:29:00+01:00,832.32,832.36,831.67,831.9,7779654,0,0
2019-12-19 09:30:00+01:00,831.93,831.99,831.25,831.5,10225041,0,0
2019-12-19 09:31:00+01:00,831.5,831.57,831.37,831.53,4065774,0,0
2019-12-19 09:32:00+01:00,831.48,831.71,831.43,831.69,3580917,0,0
2019-12-19 09:33:00+01:00,831.68,831.95,831.63,831.93,2104662,0,0
2019-12-19 09:34:00+01:00,831.93,832.05,831.85,831.99,3390867,0,0
2019-12-19 09:35:00+01:00,831.97,832.18,831.89,832.16,6004377,0,0
2019-12-19 09:36:00+01:00,832.15,832.42,832.15,832.38,8796115,0,0
2019-12-19 09:37:00+01:00,832.38,832.57,832.38,832.49,7974945,0,0
2019-12-19 09:38:00+01:00,832.49,832.61,832.42,832.5,6663590,0,0
2019-12-19 09:39:00+01:00,832.51,832.55,832.28,832.28,3833086,0,0
2019-12-19 09:40:00+01:00,832.27,832.34,832.13,832.14,4626950,0,0
2019-12-19 09:41:00+01:00,832.15,832.15,831.55,831.66,7764450,0,0
2019-12-19 09:42:00+01:00,831.67,831.67,831.34,831.57,6461492,0,0
2019-12-19 09:43:00+01:00,831.6,831.98,831.52,831.91,5222959,0,0
2019-12-19 09:44:00+01:00,831.92,832.14,831.75,832.14,5163373,0,0
2019-12-19 09:45:00+01:00,832.15,832.15,831.32,831.73,6792681,0,0
2019-12-19 09:46:00+01:00,831.72,831.88,831.69,831.76,2812082,0,0
2019-12-19 09:47:00+01:00,831.77,831.82,831.68,831.73,1814877,0,0
2019-12-19 09:48:00+01:00,831.68,831.88,831.66,831.88,2557731,0,0
2019-12-19 09:49:00+01:00,831.91,832.02,831.55,832.02,10418172,0,0
2019-12-19 09:50:00+01:00,832.05,832.34,831.99,832.34,3188946,0,0
2019-12-19 09:51:00+01:00,832.32,832.64,832.25,832.61,4023256,0,0
2019-12-19 09:52:00+01:00,832.65,832.83,832.48,832.75,5915007,0,0
2019-12-19 09:53:00+01:00,832.8,832.94,832.76,832.92,2878183,0,0
2019-12-19 09:54:00+01:00,832.88,833.37,832.88,833.33,6416155,0,0
2019-12-19 09:55:00+01:00,833.33,833.5,833.11,833.37,8866196,0,0
2019-12-19 09:56:00+01:00,833.32,833.34,833.21,833.29,2405126,0,0
2019-12-19 09:57:00+01:00,833.3,833.48,833.3,833.46,2879794,0,0
2019-12-19 09:58:00+01:00,833.47,833.87,833.47,833.69,5690050,0,0
2019-12-19 09:59:00+01:00,833.69,833.82,833.64,833.65,2622621,0,0
2019-12-19 10:00:00+01:00,833.66,833.84,833.62,833.83,8676323,0,0
2019-12-19 10:01:00+01:00,833.82,833.97,833.7,833.7,6278840,0,0
2019-12-19 10:02:00+01:00,833.67,833.96,833.27,833.29,9477193,0,0
2019-12-19 10:03:00+01:00,833.27,833.6,833.27,833.58,4250476,0,0
2019-12-19 10:04:00+01:00,833.54,833.59,833.28,833.42,5189897,0,0
2019-12-19 10:05:00+01:00,833.38,833.49,833.3,833.37,4128768,0,0
2019-12-19 10:06:00+01:00,833.4,833.57,833.36,833.57,5446404,0,0
2019-12-19 10:07:00+01:00,833.56,833.65,833.28,833.28,4486558,0,0
2019-12-19 10:08:00+01:00,833.29,833.82,833.29,833.73,15081948,0,0
2019-12-19 10:09:00+01:00,833.78,833.97,833.7,833.88,6402311,0,0
2019-12-19 10:10:00+01:00,833.88,834.15,833.88,834.1,8030364,0,0
2019-12-19 10:11:00+01:00,834.09,834.34,834.04,834.09,5494715,0,0
2019-12-19 10:12:00+01:00,834.08,834.19,834.05,834.07,4313242,0,0
2019-12-19 10:13:00+01:00,834.07,834.35,834.06,834.3,4234951,0,0
2019-12-19 10:14:00+01:00,834.25,834.26,833.97,833.98,3211375,0,0
2019-12-19 10:15:00+01:00,833.97,834.08,833.55,833.61,7800121,0,0
2019-12-19 10:16:00+01:00,833.62,833.78,833.58,833.61,5007975,0,0
2019-12-19 10:17:00+01:00,833.57,833.58,833.31,833.31,6634997,0,0
2019-12-19 10:18:00+01:00,833.34,833.56,833.24,833.46,3094652,0,0
2019-12-19 10:19:00+01:00,833.47,833.57,833.35,833.4,1910243,0,0
2019-12-19 10:20:00+01:00,833.42,833.55,833.32,833.38,5887665,0,0
2019-12-19 10:21:00+01:00,833.38,833.39,833.2,833.25,4604734,0,0
2019-12-19 10:22:00+01:00,833.21,833.39,833.18,833.38,3086851,0,0
2019-12-19 10:23:00+01:00,833.38,833.72,833.38,833.71,2944645,0,0
2019-12-19 10:24:00+01:00,833.72,833.84,833.66,833.69,3035924,0,0
2019-12-19 10:25:00+01:00,833.72,833.81,833.69,833.75,2666653,0,0
2019-12-19 10:26:00+01:00,833.71,833.91,833.71,833.73,4971888,0,0
2019-12-19 10:27:00+01:00,833.77,833.87,833.68,833.77,4539734,0,0
2019-12-19 10:28:00+01:00,833.78,834.01,833.78,833.92,7173272,0,0
