Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-19 09:00:00+01:00,275.44,275.69,275.38,275.69,0,0,0
2019-12-19 09:01:00+01:00,275.69,275.69,275.64,275.67,80857,0,0
2019-12-19 09:02:00+01:00,275.67,275.67,275.67,275.67,299,0,0
2019-12-19 09:03:00+01:00,275.66,275.69,275.66,275.69,73549,0,0
2019-12-19 09:04:00+01:00,275.69,275.69,275.69,275.69,198,0,0
2019-12-19 09:05:00+01:00,275.65,275.65,275.54,275.63,780545,0,0
2019-12-19 09:09:00+01:00,275.52,275.58,274.52,274.52,92655,0,0
2019-12-19 09:10:00+01:00,274.72,274.81,274.72,274.81,76871,0,0
2019-12-19 09:11:00+01:00,274.84,274.87,274.84,274.87,71573,0,0
2019-12-19 09:13:00+01:00,274.87,274.96,274.77,274.96,408491,0,0
2019-12-19 09:14:00+01:00,274.96,275.0,274.96,275.0,48469,0,0
2019-12-19 09:15:00+01:00,275.03,275.03,275.03,275.03,321657,0,0
2019-12-19 09:16:00+01:00,274.98,274.98,274.95,274.95,86879,0,0
2019-12-19 09:17:00+01:00,274.93,274.93,274.92,274.92,423865,0,0
2019-12-19 09:18:00+01:00,274.95,274.95,274.87,274.91,240090,0,0
2019-12-19 09:19:00+01:00,274.91,274.91,274.91,274.91,37555,0,0
2019-12-19 09:20:00+01:00,275.19,275.19,275.19,275.19,1000,0,0
2019-12-19 09:21:00+01:00,275.24,275.24,275.19,275.19,21736,0,0
2019-12-19 09:22:00+01:00,275.14,275.14,275.14,275.14,48855,0,0
2019-12-19 09:25:00+01:00,275.26,275.3,275.21,275.21,566011,0,0
2019-12-19 09:26:00+01:00,275.21,275.21,275.15,275.15,47677,0,0
2019-12-19 09:28:00+01:00,275.15,275.15,275.15,275.15,4632,0,0
2019-12-19 09:29:00+01:00,275.1,275.12,275.1,275.1,61059,0,0
2019-12-19 09:30:00+01:00,274.9,275.01,274.88,275.01,242123,0,0
2019-12-19 09:32:00+01:00,274.98,274.98,274.97,274.97,54134,0,0
2019-12-19 09:35:00+01:00,274.97,274.97,274.97,274.97,480930,0,0
2019-12-19 09:36:00+01:00,274.97,274.97,274.97,274.97,34440,0,0
2019-12-19 09:37:00+01:00,275.15,275.2,275.15,275.2,662,0,0
2019-12-19 09:38:00+01:00,275.24,275.24,275.21,275.22,72740,0,0
2019-12-19 09:39:00+01:00,275.22,275.29,275.19,275.19,78548,0,0
2019-12-19 09:40:00+01:00,275.23,275.23,275.01,275.01,8246,0,0
2019-12-19 09:41:00+01:00,274.94,275.05,274.92,275.05,362189,0,0
2019-12-19 09:42:00+01:00,275.04,275.04,275.04,275.04,15184,0,0
2019-12-19 09:43:00+01:00,275.03,275.03,274.99,274.99,212249,0,0
2019-12-19 09:44:00+01:00,274.94,274.94,274.89,274.89,34206,0,0
2019-12-19 09:45:00+01:00,274.8,274.8,274.78,274.78,28584,0,0
2019-12-19 09:49:00+01:00,274.8,274.8,274.8,274.8,8695,0,0
2019-12-19 09:51:00+01:00,274.86,274.86,274.86,274.86,24600,0,0
2019-12-19 09:52:00+01:00,274.9,274.9,274.87,274.87,42987,0,0
2019-12-19 09:54:00+01:00,274.94,274.94,274.94,274.94,4932,0,0
2019-12-19 09:55:00+01:00,274.9,274.9,274.9,274.9,2907,0,0
2019-12-19 09:56:00+01:00,274.85,274.9,274.83,274.9,67520,0,0
2019-12-19 09:57:00+01:00,274.93,274.93,274.93,274.93,37369,0,0
2019-12-19 09:58:00+01:00,274.72,274.72,274.65,274.65,46704,0,0
2019-12-19 09:59:00+01:00,274.75,274.85,274.75,274.85,26101,0,0
2019-12-19 10:01:00+01:00,274.85,274.85,274.85,274.85,98520,0,0
2019-12-19 10:02:00+01:00,274.83,275.1,274.83,274.85,159529,0,0
2019-12-19 10:04:00+01:00,274.84,274.87,274.83,274.87,86132,0,0
2019-12-19 10:05:00+01:00,274.85,274.85,274.83,274.83,42596,0,0
2019-12-19 10:07:00+01:00,274.77,274.77,274.77,274.77,16327,0,0
2019-12-19 10:08:00+01:00,274.77,274.77,274.77,274.77,1820,0,0
2019-12-19 10:09:00+01:00,274.77,274.77,274.77,274.77,20100,0,0
2019-12-19 10:10:00+01:00,274.79,274.84,274.79,274.84,129935,0,0
2019-12-19 10:11:00+01:00,274.8,274.8,274.8,274.8,112037,0,0
2019-12-19 10:12:00+01:00,274.78,274.78,274.74,274.78,149702,0,0
2019-12-19 10:13:00+01:00,274.81,274.81,274.81,274.81,1740,0,0
2019-12-19 10:14:00+01:00,274.78,274.78,274.77,274.77,102568,0,0
2019-12-19 10:15:00+01:00,274.74,274.74,274.74,274.74,123000,0,0
2019-12-19 10:16:00+01:00,274.77,274.77,274.77,274.77,246,0,0
2019-12-19 10:20:00+01:00,275.19,275.62,275.08,275.08,104257,0,0
2019-12-19 10:21:00+01:00,275.08,275.08,275.08,275.08,53760,0,0
2019-12-19 10:22:00+01:00,275.1,275.1,275.05,275.05,72532,0,0
2019-12-19 10:23:00+01:00,275.02,275.02,275.02,275.02,12423,0,0
2019-12-19 10:31:00+01:00,275.05,275.12,275.05,275.12,67366,0,0
2019-12-19 10:32:00+01:00,275.15,275.15,275.12,275.12,245041,0,0
2019-12-19 10:33:00+01:00,275.13,275.13,274.82,274.82,353717,0,0
2019-12-19 10:34:00+01:00,274.82,274.82,274.57,274.57,63726,0,0
2019-12-19 10:35:00+01:00,274.56,274.57,274.56,274.57,40489,0,0
2019-12-19 10:36:00+01:00,274.56,274.63,274.54,274.63,170022,0,0
2019-12-19 10:37:00+01:00,274.65,274.65,274.61,274.61,281372,0,0
