Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-18 17:15:00+01:00,9.04,9.04,9.04,9.04,0,0,0
2019-12-19 12:40:00+01:00,9.03,9.03,9.03,9.03,0,0,0
2019-12-19 17:15:00+01:00,9.02,9.02,9.02,9.02,0,0,0
2019-12-20 12:40:00+01:00,9.02,9.02,9.02,9.02,0,0,0
2019-12-20 17:15:00+01:00,9.03,9.03,9.03,9.03,0,0,0
2019-12-23 12:40:00+01:00,9.02,9.02,9.02,9.02,0,0,0
2019-12-23 17:15:00+01:00,9.01,9.01,9.01,9.01,0,0,0
2019-12-23 17:15:00+01:00,9.01,9.01,9.01,9.01,0,0,0
2019-12-27 12:40:00+01:00,9.0,9.0,9.0,9.0,0,0,0
2019-12-27 17:15:00+01:00,9.0,9.0,9.0,9.0,0,0,0
2019-12-30 12:40:00+01:00,8.97,8.97,8.97,8.97,0,0,0
