Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-18 17:00:00+01:00,197.79,197.79,197.79,197.79,0,0,0
2019-12-18 17:01:00+01:00,197.81,197.84,197.81,197.84,0,0,0
2019-12-18 17:02:00+01:00,197.83,197.83,197.82,197.82,0,0,0
2019-12-18 17:03:00+01:00,197.82,197.82,197.82,197.82,0,0,0
2019-12-18 17:04:00+01:00,197.86,197.86,197.86,197.86,0,0,0
2019-12-18 17:06:00+01:00,197.94,197.94,197.94,197.94,0,0,0
2019-12-18 17:07:00+01:00,197.94,197.95,197.94,197.95,0,0,0
2019-12-18 17:08:00+01:00,197.91,197.95,197.91,197.95,0,0,0
2019-12-18 17:09:00+01:00,197.9,197.9,197.9,197.9,0,0,0
2019-12-18 17:10:00+01:00,197.92,197.97,197.92,197.97,0,0,0
2019-12-18 17:11:00+01:00,197.93,197.95,197.93,197.95,0,0,0
2019-12-18 17:12:00+01:00,197.95,197.95,197.95,197.95,0,0,0
2019-12-18 17:13:00+01:00,197.98,197.98,197.98,197.98,0,0,0
2019-12-18 17:14:00+01:00,197.99,197.99,197.99,197.99,0,0,0
2019-12-18 17:15:00+01:00,198.02,198.02,198.02,198.02,0,0,0
2019-12-18 17:16:00+01:00,198.07,198.1,198.07,198.1,0,0,0
2019-12-18 17:17:00+01:00,198.14,198.14,198.14,198.14,0,0,0
2019-12-18 17:18:00+01:00,198.13,198.13,198.12,198.12,0,0,0
2019-12-18 17:19:00+01:00,198.11,198.13,198.11,198.13,0,0,0
2019-12-18 17:20:00+01:00,198.13,198.13,198.13,198.13,0,0,0
2019-12-18 17:21:00+01:00,198.11,198.11,198.11,198.11,0,0,0
2019-12-18 17:22:00+01:00,198.08,198.08,198.08,198.08,0,0,0
2019-12-18 17:23:00+01:00,198.05,198.05,198.05,198.05,0,0,0
2019-12-18 17:24:00+01:00,198.06,198.06,198.05,198.05,0,0,0
2019-12-18 17:25:00+01:00,198.05,198.06,198.05,198.06,0,0,0
2019-12-18 17:26:00+01:00,198.03,198.05,198.03,198.05,0,0,0
2019-12-18 17:27:00+01:00,198.07,198.09,198.07,198.09,0,0,0
2019-12-18 17:28:00+01:00,198.07,198.07,198.06,198.06,0,0,0
2019-12-18 17:29:00+01:00,198.08,198.08,198.08,198.08,0,0,0
2019-12-19 09:00:00+01:00,197.54,197.54,196.79,196.79,0,0,0
2019-12-19 09:01:00+01:00,196.58,196.72,196.58,196.72,0,0,0
2019-12-19 09:02:00+01:00,196.72,196.72,196.72,196.72,0,0,0
2019-12-19 09:03:00+01:00,196.73,196.73,196.73,196.73,0,0,0
2019-12-19 09:04:00+01:00,196.74,196.74,196.74,196.74,0,0,0
2019-12-19 09:05:00+01:00,197.09,197.09,196.97,196.97,0,0,0
2019-12-19 09:06:00+01:00,196.97,196.98,196.97,196.98,0,0,0
2019-12-19 09:07:00+01:00,196.99,196.99,196.99,196.99,0,0,0
2019-12-19 09:08:00+01:00,196.97,196.98,196.97,196.98,0,0,0
2019-12-19 09:09:00+01:00,197.0,197.06,197.0,197.06,0,0,0
2019-12-19 09:10:00+01:00,197.02,197.04,197.02,197.04,0,0,0
2019-12-19 09:11:00+01:00,197.03,197.03,197.01,197.01,0,0,0
2019-12-19 09:12:00+01:00,196.97,196.97,196.94,196.94,0,0,0
2019-12-19 09:13:00+01:00,197.06,197.09,197.06,197.09,0,0,0
2019-12-19 09:14:00+01:00,197.13,197.13,196.94,196.94,0,0,0
2019-12-19 09:15:00+01:00,197.04,197.16,197.04,197.16,0,0,0
2019-12-19 09:16:00+01:00,197.09,197.1,197.09,197.1,0,0,0
2019-12-19 09:17:00+01:00,197.07,197.07,196.99,196.99,0,0,0
2019-12-19 09:18:00+01:00,197.03,197.03,196.98,196.98,0,0,0
2019-12-19 09:19:00+01:00,196.98,197.02,196.98,197.02,0,0,0
2019-12-19 09:20:00+01:00,197.0,197.0,197.0,197.0,0,0,0
2019-12-19 09:21:00+01:00,196.99,197.01,196.99,197.01,0,0,0
2019-12-19 09:22:00+01:00,197.06,197.12,197.06,197.12,0,0,0
2019-12-19 09:23:00+01:00,197.21,197.21,197.18,197.18,0,0,0
2019-12-19 09:24:00+01:00,197.07,197.15,197.07,197.15,0,0,0
2019-12-19 09:25:00+01:00,197.11,197.12,197.11,197.12,0,0,0
2019-12-19 09:26:00+01:00,197.14,197.14,197.13,197.13,0,0,0
2019-12-19 09:27:00+01:00,197.16,197.16,197.08,197.08,0,0,0
2019-12-19 09:28:00+01:00,197.13,197.13,197.1,197.1,0,0,0
2019-12-19 09:29:00+01:00,197.14,197.14,197.1,197.1,0,0,0
2019-12-19 09:30:00+01:00,196.97,196.97,196.97,196.97,0,0,0
2019-12-19 09:31:00+01:00,197.03,197.04,197.03,197.04,0,0,0
2019-12-19 09:32:00+01:00,197.02,197.03,197.02,197.03,0,0,0
2019-12-19 09:33:00+01:00,197.02,197.05,197.02,197.05,0,0,0
2019-12-19 09:34:00+01:00,197.03,197.03,197.03,197.03,0,0,0
2019-12-19 09:35:00+01:00,197.03,197.03,197.03,197.03,0,0,0
2019-12-19 09:36:00+01:00,197.02,197.05,197.02,197.05,0,0,0
2019-12-19 09:37:00+01:00,197.0,197.02,197.0,197.02,0,0,0
2019-12-19 09:38:00+01:00,197.05,197.05,196.99,196.99,0,0,0
2019-12-19 09:39:00+01:00,197.03,197.03,197.01,197.01,0,0,0
2019-12-19 09:40:00+01:00,197.02,197.03,197.02,197.03,0,0,0
2019-12-19 09:41:00+01:00,196.93,196.99,196.93,196.99,0,0,0
2019-12-19 09:42:00+01:00,196.96,196.96,196.96,196.96,0,0,0
2019-12-19 09:43:00+01:00,196.94,196.94,196.91,196.91,0,0,0
2019-12-19 09:44:00+01:00,196.9,196.92,196.9,196.92,0,0,0
2019-12-19 09:45:00+01:00,196.92,196.93,196.92,196.93,0,0,0
2019-12-19 09:46:00+01:00,196.91,196.91,196.88,196.88,0,0,0
2019-12-19 09:47:00+01:00,196.9,196.9,196.88,196.88,0,0,0
2019-12-19 09:48:00+01:00,196.85,196.87,196.85,196.87,0,0,0
2019-12-19 09:49:00+01:00,196.85,196.86,196.85,196.86,0,0,0
2019-12-19 09:50:00+01:00,196.86,196.98,196.86,196.98,0,0,0
2019-12-19 09:51:00+01:00,196.89,196.98,196.89,196.98,0,0,0
2019-12-19 09:52:00+01:00,197.05,197.05,196.98,196.98,0,0,0
2019-12-19 09:53:00+01:00,196.94,196.95,196.94,196.95,0,0,0
2019-12-19 09:54:00+01:00,196.93,196.99,196.93,196.99,0,0,0
2019-12-19 09:55:00+01:00,197.01,197.03,197.01,197.03,0,0,0
2019-12-19 09:56:00+01:00,197.0,197.02,197.0,197.02,0,0,0
2019-12-19 09:57:00+01:00,197.02,197.02,197.01,197.01,0,0,0
2019-12-19 09:58:00+01:00,197.02,197.02,197.02,197.02,0,0,0
2019-12-19 09:59:00+01:00,197.01,197.01,196.97,196.97,0,0,0
2019-12-19 10:00:00+01:00,196.99,197.12,196.99,197.12,0,0,0
2019-12-19 10:01:00+01:00,197.1,197.1,197.1,197.1,0,0,0
2019-12-19 10:02:00+01:00,197.09,197.17,197.09,197.17,0,0,0
2019-12-19 10:03:00+01:00,197.15,197.15,197.14,197.14,0,0,0
2019-12-19 10:04:00+01:00,197.15,197.15,197.14,197.14,0,0,0
2019-12-19 10:05:00+01:00,197.13,197.14,197.13,197.14,0,0,0
2019-12-19 10:06:00+01:00,197.12,197.13,197.12,197.13,0,0,0
2019-12-19 10:07:00+01:00,197.12,197.13,197.12,197.13,0,0,0
2019-12-19 10:08:00+01:00,197.2,197.2,197.18,197.18,0,0,0
2019-12-19 10:09:00+01:00,197.17,197.17,197.17,197.17,0,0,0
2019-12-19 10:10:00+01:00,197.17,197.17,197.17,197.17,0,0,0
2019-12-19 10:11:00+01:00,197.15,197.15,197.11,197.11,0,0,0
2019-12-19 10:12:00+01:00,197.14,197.16,197.14,197.16,0,0,0
2019-12-19 10:13:00+01:00,197.16,197.16,197.15,197.15,0,0,0
2019-12-19 10:14:00+01:00,197.15,197.15,197.15,197.15,0,0,0
2019-12-19 10:15:00+01:00,197.13,197.14,197.13,197.14,0,0,0
2019-12-19 10:16:00+01:00,197.13,197.27,197.13,197.27,0,0,0
2019-12-19 10:17:00+01:00,197.09,197.11,197.09,197.11,0,0,0
2019-12-19 10:18:00+01:00,197.12,197.13,197.12,197.13,0,0,0
2019-12-19 10:19:00+01:00,197.07,197.09,197.07,197.09,0,0,0
2019-12-19 10:20:00+01:00,197.13,197.13,197.12,197.12,0,0,0
2019-12-19 10:21:00+01:00,197.11,197.11,197.1,197.1,0,0,0
2019-12-19 10:22:00+01:00,197.1,197.1,197.1,197.1,0,0,0
2019-12-19 10:23:00+01:00,197.11,197.12,197.11,197.12,0,0,0
2019-12-19 10:24:00+01:00,197.13,197.13,197.1,197.1,0,0,0
2019-12-19 10:25:00+01:00,197.09,197.11,197.09,197.11,0,0,0
2019-12-19 10:26:00+01:00,197.07,197.09,197.07,197.09,0,0,0
2019-12-19 10:27:00+01:00,197.09,197.11,197.09,197.11,0,0,0
2019-12-19 10:28:00+01:00,197.09,197.1,197.09,197.1,0,0,0
2019-12-19 10:29:00+01:00,197.14,197.14,197.13,197.13,0,0,0
2019-12-19 10:30:00+01:00,197.04,197.16,197.04,197.16,0,0,0
2019-12-19 10:31:00+01:00,197.19,197.19,197.17,197.17,0,0,0
2019-12-19 10:32:00+01:00,197.17,197.17,197.15,197.15,0,0,0
2019-12-19 10:33:00+01:00,197.16,197.18,197.16,197.18,0,0,0
2019-12-19 10:34:00+01:00,197.15,197.23,197.15,197.23,0,0,0
2019-12-19 10:35:00+01:00,197.19,197.19,197.18,197.18,0,0,0
2019-12-19 10:36:00+01:00,197.17,197.17,197.15,197.15,0,0,0
2019-12-19 10:37:00+01:00,197.17,197.17,197.16,197.16,0,0,0
2019-12-19 10:38:00+01:00,197.17,197.17,197.17,197.17,0,0,0
