Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-18 11:02:00-05:00,361.56,361.6,361.56,361.58,0,0,0
2019-12-18 11:03:00-05:00,361.6,361.66,361.6,361.63,0,0,0
2019-12-18 11:04:00-05:00,361.65,361.66,361.62,361.62,0,0,0
2019-12-18 11:05:00-05:00,361.63,361.65,361.63,361.64,0,0,0
2019-12-18 11:06:00-05:00,361.64,361.65,361.6,361.6,0,0,0
2019-12-18 11:07:00-05:00,361.55,361.55,361.52,361.52,0,0,0
2019-12-18 11:08:00-05:00,361.47,361.47,361.39,361.39,0,0,0
2019-12-18 11:09:00-05:00,361.4,361.43,361.35,361.35,0,0,0
2019-12-18 11:10:00-05:00,361.33,361.33,361.28,361.3,0,0,0
2019-12-18 11:11:00-05:00,361.35,361.35,361.25,361.26,0,0,0
2019-12-18 11:12:00-05:00,361.25,361.25,361.17,361.17,0,0,0
2019-12-18 11:13:00-05:00,361.18,361.18,361.14,361.14,0,0,0
2019-12-18 11:14:00-05:00,361.17,361.21,361.17,361.21,0,0,0
2019-12-18 11:15:00-05:00,361.23,361.24,361.19,361.19,0,0,0
2019-12-18 11:16:00-05:00,361.25,361.25,361.24,361.24,0,0,0
2019-12-18 11:17:00-05:00,361.28,361.36,361.28,361.36,0,0,0
2019-12-18 11:18:00-05:00,361.37,361.39,361.37,361.37,0,0,0
2019-12-18 11:19:00-05:00,361.36,361.38,361.34,361.34,0,0,0
2019-12-18 11:20:00-05:00,361.34,361.41,361.34,361.41,0,0,0
2019-12-18 11:21:00-05:00,361.39,361.39,361.32,361.33,0,0,0
2019-12-18 11:22:00-05:00,361.34,361.41,361.34,361.41,0,0,0
2019-12-18 11:23:00-05:00,361.38,361.38,361.36,361.36,0,0,0
2019-12-18 11:24:00-05:00,361.39,361.44,361.39,361.42,0,0,0
2019-12-18 11:25:00-05:00,361.38,361.42,361.38,361.39,0,0,0
2019-12-18 11:26:00-05:00,361.34,361.35,361.3,361.3,0,0,0
2019-12-18 11:27:00-05:00,361.29,361.29,361.23,361.24,0,0,0
2019-12-18 11:28:00-05:00,361.24,361.24,361.16,361.16,0,0,0
2019-12-18 11:29:00-05:00,361.15,361.15,361.13,361.13,0,0,0
2019-12-18 11:31:00-05:00,361.16,361.24,361.16,361.24,0,0,0
2019-12-18 11:32:00-05:00,361.29,361.29,361.25,361.28,0,0,0
2019-12-18 11:33:00-05:00,361.28,361.3,361.28,361.3,0,0,0
2019-12-18 11:34:00-05:00,361.25,361.25,361.21,361.21,0,0,0
2019-12-18 11:35:00-05:00,361.23,361.24,361.21,361.21,0,0,0
2019-12-18 11:36:00-05:00,361.2,361.2,361.16,361.18,0,0,0
2019-12-18 11:37:00-05:00,361.18,361.22,361.18,361.22,0,0,0
2019-12-18 11:38:00-05:00,361.22,361.22,361.15,361.15,0,0,0
2019-12-18 11:39:00-05:00,361.17,361.17,361.14,361.17,0,0,0
2019-12-18 11:40:00-05:00,361.15,361.23,361.13,361.21,0,0,0
2019-12-18 11:41:00-05:00,361.2,361.2,361.16,361.16,0,0,0
2019-12-18 11:42:00-05:00,361.16,361.16,361.11,361.11,0,0,0
2019-12-18 11:43:00-05:00,361.11,361.13,361.11,361.13,0,0,0
2019-12-18 11:44:00-05:00,361.14,361.14,361.12,361.13,0,0,0
2019-12-18 11:45:00-05:00,361.13,361.13,361.1,361.1,0,0,0
2019-12-18 11:46:00-05:00,361.1,361.11,361.1,361.11,0,0,0
2019-12-18 11:47:00-05:00,361.11,361.14,361.11,361.14,0,0,0
2019-12-18 11:48:00-05:00,361.17,361.19,361.16,361.19,0,0,0
2019-12-18 11:49:00-05:00,361.2,361.2,361.18,361.18,0,0,0
2019-12-18 11:50:00-05:00,361.18,361.21,361.18,361.21,0,0,0
2019-12-18 11:51:00-05:00,361.22,361.23,361.21,361.21,0,0,0
2019-12-18 11:52:00-05:00,361.23,361.23,361.21,361.21,0,0,0
2019-12-18 11:53:00-05:00,361.21,361.26,361.21,361.26,0,0,0
2019-12-18 11:54:00-05:00,361.24,361.25,361.24,361.25,0,0,0
2019-12-18 11:55:00-05:00,361.24,361.24,361.2,361.2,0,0,0
2019-12-18 11:56:00-05:00,361.18,361.19,361.18,361.18,0,0,0
2019-12-18 11:57:00-05:00,361.17,361.17,361.14,361.14,0,0,0
2019-12-18 11:58:00-05:00,361.14,361.15,361.14,361.15,0,0,0
2019-12-18 11:59:00-05:00,361.14,361.15,361.14,361.15,0,0,0
2019-12-18 12:00:00-05:00,361.14,361.16,361.14,361.14,0,0,0
2019-12-18 12:03:00-05:00,361.13,361.17,361.13,361.17,0,0,0
2019-12-18 12:04:00-05:00,361.17,361.17,361.16,361.16,0,0,0
2019-12-18 12:05:00-05:00,361.06,361.06,361.03,361.04,0,0,0
2019-12-18 12:06:00-05:00,361.03,361.03,361.01,361.01,0,0,0
2019-12-18 12:07:00-05:00,361.03,361.03,361.02,361.02,0,0,0
2019-12-18 12:08:00-05:00,361.01,361.05,361.01,361.05,0,0,0
2019-12-18 12:09:00-05:00,361.04,361.04,361.03,361.03,0,0,0
2019-12-18 12:10:00-05:00,361.02,361.05,361.02,361.05,0,0,0
2019-12-18 12:11:00-05:00,361.08,361.08,361.06,361.06,0,0,0
2019-12-18 12:12:00-05:00,361.06,361.07,361.05,361.05,0,0,0
2019-12-18 12:13:00-05:00,361.04,361.09,361.04,361.09,0,0,0
2019-12-18 12:14:00-05:00,361.11,361.11,361.09,361.09,0,0,0
2019-12-18 12:15:00-05:00,361.09,361.14,361.09,361.14,0,0,0
2019-12-18 12:16:00-05:00,361.13,361.18,361.13,361.18,0,0,0
2019-12-18 12:17:00-05:00,361.17,361.25,361.17,361.25,0,0,0
2019-12-18 12:18:00-05:00,361.25,361.27,361.25,361.27,0,0,0
2019-12-18 12:19:00-05:00,361.26,361.29,361.26,361.29,0,0,0
2019-12-18 12:20:00-05:00,361.31,361.31,361.29,361.3,0,0,0
2019-12-18 12:21:00-05:00,361.32,361.33,361.32,361.33,0,0,0
2019-12-18 12:22:00-05:00,361.32,361.35,361.32,361.35,0,0,0
2019-12-18 12:23:00-05:00,361.37,361.38,361.36,361.38,0,0,0
2019-12-18 12:24:00-05:00,361.36,361.36,361.34,361.35,0,0,0
2019-12-18 12:25:00-05:00,361.35,361.35,361.34,361.34,0,0,0
