Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-18 11:00:00-05:00,823.77,823.77,823.5,823.54,0,0,0
2019-12-18 11:01:00-05:00,823.54,823.73,823.54,823.73,0,0,0
2019-12-18 11:02:00-05:00,823.75,823.75,823.56,823.56,0,0,0
2019-12-18 11:03:00-05:00,823.54,823.69,823.52,823.52,0,0,0
2019-12-18 11:04:00-05:00,823.52,823.72,823.5,823.5,0,0,0
2019-12-18 11:05:00-05:00,823.5,823.67,823.5,823.51,0,0,0
2019-12-18 11:06:00-05:00,823.5,823.6,823.42,823.55,0,0,0
2019-12-18 11:07:00-05:00,823.5,823.54,823.35,823.35,0,0,0
2019-12-18 11:08:00-05:00,823.51,823.51,823.38,823.5,0,0,0
2019-12-18 11:09:00-05:00,823.48,823.48,823.26,823.38,0,0,0
2019-12-18 11:10:00-05:00,823.25,823.41,823.24,823.24,0,0,0
2019-12-18 11:11:00-05:00,823.37,823.39,823.21,823.21,0,0,0
2019-12-18 11:12:00-05:00,823.34,823.38,823.18,823.38,0,0,0
2019-12-18 11:13:00-05:00,823.35,823.43,823.24,823.31,0,0,0
2019-12-18 11:14:00-05:00,823.42,823.43,823.22,823.41,0,0,0
2019-12-18 11:15:00-05:00,823.43,823.43,823.23,823.39,0,0,0
2019-12-18 11:16:00-05:00,823.39,823.43,823.24,823.43,0,0,0
2019-12-18 11:17:00-05:00,823.26,823.42,823.25,823.42,0,0,0
2019-12-18 11:18:00-05:00,823.41,823.43,823.24,823.24,0,0,0
2019-12-18 11:19:00-05:00,823.23,823.39,823.22,823.29,0,0,0
2019-12-18 11:20:00-05:00,823.25,823.39,823.25,823.39,0,0,0
2019-12-18 11:21:00-05:00,823.45,823.45,823.44,823.45,0,0,0
2019-12-18 11:22:00-05:00,823.31,823.48,823.3,823.3,0,0,0
2019-12-18 11:23:00-05:00,823.44,823.48,823.32,823.32,0,0,0
2019-12-18 11:24:00-05:00,823.45,823.49,823.31,823.42,0,0,0
2019-12-18 11:25:00-05:00,823.46,823.47,823.27,823.33,0,0,0
2019-12-18 11:26:00-05:00,823.48,823.48,823.3,823.31,0,0,0
2019-12-18 11:27:00-05:00,823.44,823.45,823.24,823.39,0,0,0
2019-12-18 11:28:00-05:00,823.39,823.39,823.2,823.21,0,0,0
2019-12-18 11:29:00-05:00,823.31,823.36,823.15,823.15,0,0,0
2019-12-18 11:30:00-05:00,823.14,823.32,823.13,823.15,0,0,0
2019-12-18 11:31:00-05:00,823.14,823.33,823.12,823.17,0,0,0
2019-12-18 11:32:00-05:00,823.31,823.32,823.13,823.32,0,0,0
2019-12-18 11:33:00-05:00,823.41,823.42,823.27,823.42,0,0,0
2019-12-18 11:34:00-05:00,823.39,823.44,823.3,823.3,0,0,0
2019-12-18 11:35:00-05:00,823.32,823.43,823.24,823.41,0,0,0
2019-12-18 11:36:00-05:00,823.4,823.42,823.24,823.26,0,0,0
2019-12-18 11:37:00-05:00,823.4,823.45,823.29,823.45,0,0,0
2019-12-18 11:38:00-05:00,823.43,823.49,823.42,823.49,0,0,0
2019-12-18 11:39:00-05:00,823.47,823.48,823.31,823.48,0,0,0
2019-12-18 11:40:00-05:00,823.47,823.49,823.33,823.46,0,0,0
2019-12-18 11:41:00-05:00,823.46,823.46,823.3,823.33,0,0,0
2019-12-18 11:42:00-05:00,823.3,823.48,823.3,823.33,0,0,0
2019-12-18 11:43:00-05:00,823.33,823.47,823.31,823.47,0,0,0
2019-12-18 11:44:00-05:00,823.32,823.47,823.29,823.47,0,0,0
2019-12-18 11:45:00-05:00,823.31,823.46,823.29,823.46,0,0,0
2019-12-18 11:46:00-05:00,823.46,823.47,823.3,823.46,0,0,0
2019-12-18 11:47:00-05:00,823.44,823.44,823.27,823.33,0,0,0
2019-12-18 11:48:00-05:00,823.32,823.49,823.31,823.35,0,0,0
2019-12-18 11:49:00-05:00,823.47,823.47,823.3,823.47,0,0,0
2019-12-18 11:50:00-05:00,823.3,823.48,823.3,823.3,0,0,0
2019-12-18 11:51:00-05:00,823.45,823.46,823.31,823.43,0,0,0
2019-12-18 11:52:00-05:00,823.43,823.44,823.29,823.44,0,0,0
2019-12-18 11:53:00-05:00,823.29,823.45,823.29,823.41,0,0,0
2019-12-18 11:54:00-05:00,823.44,823.44,823.23,823.23,0,0,0
