Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-18 11:00:00-05:00,3879.58,3879.77,3879.35,3879.48,0,0,0
2019-12-18 11:01:00-05:00,3879.62,3879.79,3879.54,3879.79,0,0,0
2019-12-18 11:02:00-05:00,3879.9,3879.94,3879.78,3879.78,0,0,0
2019-12-18 11:03:00-05:00,3879.72,3879.82,3879.69,3879.82,0,0,0
2019-12-18 11:04:00-05:00,3879.82,3879.82,3879.78,3879.82,0,0,0
2019-12-18 11:05:00-05:00,3879.82,3879.82,3879.76,3879.77,0,0,0
2019-12-18 11:06:00-05:00,3879.79,3879.81,3879.77,3879.79,0,0,0
2019-12-18 11:07:00-05:00,3879.78,3879.9,3879.78,3879.84,0,0,0
2019-12-18 11:08:00-05:00,3879.89,3879.89,3879.43,3879.43,0,0,0
2019-12-18 11:09:00-05:00,3879.67,3879.67,3879.36,3879.44,0,0,0
2019-12-18 11:10:00-05:00,3879.45,3879.58,3879.45,3879.49,0,0,0
2019-12-18 11:11:00-05:00,3879.51,3879.51,3879.41,3879.44,0,0,0
2019-12-18 11:12:00-05:00,3879.36,3879.49,3879.34,3879.34,0,0,0
2019-12-18 11:13:00-05:00,3879.35,3879.57,3879.15,3879.57,0,0,0
2019-12-18 11:14:00-05:00,3879.54,3879.54,3879.1,3879.33,0,0,0
2019-12-18 11:17:00-05:00,3879.24,3879.3,3879.22,3879.29,0,0,0
2019-12-18 11:18:00-05:00,3879.3,3879.31,3879.19,3879.2,0,0,0
2019-12-18 11:19:00-05:00,3879.2,3879.28,3879.15,3879.17,0,0,0
2019-12-18 11:20:00-05:00,3879.18,3879.37,3879.18,3879.35,0,0,0
2019-12-18 11:21:00-05:00,3879.35,3879.35,3879.3,3879.32,0,0,0
2019-12-18 11:22:00-05:00,3879.3,3879.42,3879.3,3879.38,0,0,0
2019-12-18 11:23:00-05:00,3879.4,3879.44,3879.4,3879.4,0,0,0
2019-12-18 11:24:00-05:00,3879.41,3879.46,3879.39,3879.41,0,0,0
2019-12-18 11:25:00-05:00,3879.41,3879.51,3879.39,3879.51,0,0,0
2019-12-18 11:26:00-05:00,3879.51,3879.52,3879.49,3879.49,0,0,0
2019-12-18 11:27:00-05:00,3879.49,3879.49,3879.35,3879.35,0,0,0
2019-12-18 11:28:00-05:00,3879.35,3879.35,3879.2,3879.23,0,0,0
2019-12-18 11:29:00-05:00,3879.23,3879.29,3879.22,3879.22,0,0,0
2019-12-18 11:30:00-05:00,3879.21,3879.26,3879.21,3879.26,0,0,0
2019-12-18 11:31:00-05:00,3879.25,3879.32,3879.25,3879.25,0,0,0
2019-12-18 11:32:00-05:00,3879.25,3879.27,3879.11,3879.16,0,0,0
2019-12-18 11:33:00-05:00,3879.17,3879.2,3879.09,3879.19,0,0,0
2019-12-18 11:34:00-05:00,3879.18,3879.31,3879.11,3879.31,0,0,0
2019-12-18 11:35:00-05:00,3879.31,3879.31,3879.14,3879.21,0,0,0
2019-12-18 11:36:00-05:00,3879.26,3879.36,3879.21,3879.36,0,0,0
2019-12-18 11:37:00-05:00,3879.36,3879.36,3879.28,3879.31,0,0,0
2019-12-18 11:38:00-05:00,3879.33,3879.35,3879.24,3879.35,0,0,0
2019-12-18 11:39:00-05:00,3879.35,3879.35,3879.23,3879.27,0,0,0
2019-12-18 11:40:00-05:00,3879.27,3879.31,3879.18,3879.31,0,0,0
2019-12-18 11:41:00-05:00,3879.28,3879.33,3879.23,3879.3,0,0,0
2019-12-18 11:42:00-05:00,3879.26,3879.29,3879.23,3879.25,0,0,0
2019-12-18 11:43:00-05:00,3879.23,3879.23,3879.18,3879.21,0,0,0
2019-12-18 11:44:00-05:00,3879.22,3879.28,3879.18,3879.18,0,0,0
2019-12-18 11:46:00-05:00,3879.21,3879.33,3879.19,3879.19,0,0,0
2019-12-18 11:47:00-05:00,3879.18,3879.18,3879.09,3879.16,0,0,0
2019-12-18 11:48:00-05:00,3879.16,3879.17,3879.11,3879.17,0,0,0
2019-12-18 11:49:00-05:00,3879.17,3879.17,3879.02,3879.12,0,0,0
2019-12-18 11:50:00-05:00,3879.1,3879.1,3878.89,3879.07,0,0,0
2019-12-18 11:51:00-05:00,3879.09,3879.09,3878.93,3879.02,0,0,0
2019-12-18 11:52:00-05:00,3879.02,3879.03,3878.96,3879.03,0,0,0
2019-12-18 11:53:00-05:00,3878.96,3879.03,3878.88,3878.88,0,0,0
2019-12-18 11:54:00-05:00,3878.98,3878.99,3878.93,3878.96,0,0,0
2019-12-18 11:55:00-05:00,3878.92,3879.03,3878.92,3879.0,0,0,0
2019-12-18 11:56:00-05:00,3879.0,3879.04,3878.96,3879.04,0,0,0
2019-12-18 11:57:00-05:00,3879.04,3879.05,3879.01,3879.04,0,0,0
2019-12-18 11:58:00-05:00,3879.04,3879.06,3879.0,3879.04,0,0,0
2019-12-18 11:59:00-05:00,3879.04,3879.04,3878.96,3879.0,0,0,0
2019-12-18 12:00:00-05:00,3879.01,3879.05,3878.97,3879.01,0,0,0
2019-12-18 12:01:00-05:00,3879.01,3879.08,3878.99,3879.03,0,0,0
2019-12-18 12:02:00-05:00,3879.04,3879.05,3878.99,3879.04,0,0,0
2019-12-18 12:03:00-05:00,3879.05,3879.07,3879.01,3879.06,0,0,0
2019-12-18 12:04:00-05:00,3879.06,3879.09,3879.05,3879.06,0,0,0
2019-12-18 12:05:00-05:00,3879.06,3879.07,3878.97,3879.04,0,0,0
2019-12-18 12:06:00-05:00,3879.04,3879.06,3879.02,3879.04,0,0,0
2019-12-18 12:07:00-05:00,3879.04,3879.07,3879.0,3879.03,0,0,0
2019-12-18 12:08:00-05:00,3879.03,3879.03,3878.96,3878.97,0,0,0
2019-12-18 12:09:00-05:00,3879.04,3879.07,3879.01,3879.07,0,0,0
2019-12-18 12:10:00-05:00,3879.04,3879.04,3879.01,3879.01,0,0,0
2019-12-18 12:11:00-05:00,3879.04,3879.05,3879.03,3879.03,0,0,0
2019-12-18 12:12:00-05:00,3879.03,3879.04,3879.02,3879.02,0,0,0
2019-12-18 12:13:00-05:00,3879.02,3879.06,3879.02,3879.06,0,0,0
2019-12-18 12:14:00-05:00,3879.04,3879.07,3879.04,3879.06,0,0,0
2019-12-18 12:15:00-05:00,3879.06,3879.07,3879.04,3879.07,0,0,0
