Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-18 11:00:00-05:00,921.13,921.21,921.02,921.09,0,0,0
2019-12-18 11:01:00-05:00,921.16,921.17,920.94,921.01,0,0,0
2019-12-18 11:02:00-05:00,920.99,921.12,920.94,920.94,0,0,0
2019-12-18 11:03:00-05:00,921.04,921.05,920.9,920.91,0,0,0
2019-12-18 11:04:00-05:00,920.9,920.94,920.62,920.66,0,0,0
2019-12-18 11:05:00-05:00,920.59,920.7,920.59,920.64,0,0,0
2019-12-18 11:06:00-05:00,920.62,920.62,920.4,920.4,0,0,0
2019-12-18 11:07:00-05:00,920.42,920.42,920.16,920.16,0,0,0
2019-12-18 11:08:00-05:00,920.15,920.18,920.0,920.18,0,0,0
2019-12-18 11:09:00-05:00,920.23,920.23,920.09,920.09,0,0,0
2019-12-18 11:10:00-05:00,920.13,920.28,920.1,920.25,0,0,0
2019-12-18 11:11:00-05:00,920.19,920.19,919.97,919.97,0,0,0
2019-12-18 11:12:00-05:00,919.99,920.09,919.96,920.01,0,0,0
2019-12-18 11:13:00-05:00,919.98,920.1,919.98,920.1,0,0,0
2019-12-18 11:14:00-05:00,920.08,920.08,920.02,920.07,0,0,0
2019-12-18 11:17:00-05:00,920.02,920.04,919.95,919.95,0,0,0
2019-12-18 11:18:00-05:00,919.88,919.88,919.88,919.88,0,0,0
2019-12-18 11:19:00-05:00,919.87,919.88,919.72,919.88,0,0,0
2019-12-18 11:20:00-05:00,919.8,919.83,919.7,919.71,0,0,0
2019-12-18 11:21:00-05:00,919.56,919.59,919.39,919.42,0,0,0
2019-12-18 11:22:00-05:00,919.34,919.4,919.34,919.36,0,0,0
2019-12-18 11:23:00-05:00,919.36,919.47,919.36,919.42,0,0,0
2019-12-18 11:24:00-05:00,919.45,919.72,919.45,919.53,0,0,0
2019-12-18 11:25:00-05:00,919.66,919.69,919.55,919.63,0,0,0
2019-12-18 11:26:00-05:00,919.65,919.68,919.6,919.6,0,0,0
2019-12-18 11:27:00-05:00,919.67,919.67,919.49,919.49,0,0,0
2019-12-18 11:28:00-05:00,919.5,919.64,919.5,919.57,0,0,0
2019-12-18 11:29:00-05:00,919.54,919.61,919.51,919.51,0,0,0
2019-12-18 11:30:00-05:00,919.52,919.54,919.35,919.35,0,0,0
2019-12-18 11:31:00-05:00,919.36,919.45,919.33,919.45,0,0,0
2019-12-18 11:32:00-05:00,919.38,919.39,919.3,919.3,0,0,0
2019-12-18 11:33:00-05:00,919.29,919.36,919.12,919.12,0,0,0
2019-12-18 11:34:00-05:00,919.06,919.1,919.04,919.04,0,0,0
2019-12-18 11:35:00-05:00,919.08,919.09,918.99,919.06,0,0,0
2019-12-18 11:36:00-05:00,919.05,919.08,918.93,918.95,0,0,0
2019-12-18 11:37:00-05:00,918.97,919.11,918.97,919.08,0,0,0
2019-12-18 11:38:00-05:00,919.1,919.22,919.07,919.22,0,0,0
2019-12-18 11:39:00-05:00,919.2,919.22,919.16,919.17,0,0,0
2019-12-18 11:40:00-05:00,919.19,919.29,919.16,919.16,0,0,0
2019-12-18 11:41:00-05:00,919.14,919.22,919.13,919.13,0,0,0
2019-12-18 11:42:00-05:00,919.12,919.12,919.05,919.11,0,0,0
2019-12-18 11:43:00-05:00,919.1,919.13,919.06,919.13,0,0,0
2019-12-18 11:44:00-05:00,919.12,919.12,919.08,919.08,0,0,0
2019-12-18 11:46:00-05:00,919.06,919.12,919.0,919.06,0,0,0
2019-12-18 11:47:00-05:00,919.09,919.14,919.09,919.13,0,0,0
2019-12-18 11:48:00-05:00,919.11,919.12,919.0,919.05,0,0,0
2019-12-18 11:49:00-05:00,919.08,919.08,918.98,919.06,0,0,0
2019-12-18 11:50:00-05:00,919.02,919.03,918.95,918.96,0,0,0
2019-12-18 11:51:00-05:00,918.98,919.02,918.96,918.99,0,0,0
2019-12-18 11:52:00-05:00,918.97,919.03,918.91,919.03,0,0,0
2019-12-18 11:53:00-05:00,919.04,919.04,918.95,919.02,0,0,0
2019-12-18 11:54:00-05:00,918.97,919.06,918.92,918.92,0,0,0
2019-12-18 11:55:00-05:00,918.95,919.0,918.92,918.92,0,0,0
2019-12-18 11:56:00-05:00,918.91,918.94,918.9,918.92,0,0,0
2019-12-18 11:57:00-05:00,918.89,918.9,918.82,918.9,0,0,0
2019-12-18 11:58:00-05:00,918.84,918.92,918.84,918.9,0,0,0
2019-12-18 11:59:00-05:00,918.88,918.93,918.88,918.93,0,0,0
2019-12-18 12:00:00-05:00,918.9,918.99,918.88,918.96,0,0,0
2019-12-18 12:01:00-05:00,918.96,918.96,918.81,918.85,0,0,0
2019-12-18 12:02:00-05:00,918.84,918.91,918.84,918.84,0,0,0
2019-12-18 12:03:00-05:00,918.81,918.89,918.79,918.86,0,0,0
2019-12-18 12:04:00-05:00,918.85,918.99,918.85,918.94,0,0,0
2019-12-18 12:05:00-05:00,918.94,918.94,918.79,918.9,0,0,0
2019-12-18 12:06:00-05:00,918.94,919.07,918.88,918.98,0,0,0
2019-12-18 12:07:00-05:00,918.98,919.17,918.92,919.12,0,0,0
2019-12-18 12:08:00-05:00,919.11,919.27,919.04,919.24,0,0,0
2019-12-18 12:09:00-05:00,919.27,919.29,918.95,918.96,0,0,0
2019-12-18 12:10:00-05:00,918.94,918.96,918.78,918.83,0,0,0
2019-12-18 12:11:00-05:00,918.81,918.89,918.78,918.86,0,0,0
2019-12-18 12:12:00-05:00,918.88,918.89,918.7,918.78,0,0,0
2019-12-18 12:13:00-05:00,918.76,918.76,918.68,918.76,0,0,0
2019-12-18 12:14:00-05:00,918.52,918.64,918.52,918.52,0,0,0
2019-12-18 12:15:00-05:00,918.63,918.63,918.54,918.55,0,0,0
2019-12-18 12:17:00-05:00,918.73,918.73,918.71,918.73,0,0,0
2019-12-18 12:18:00-05:00,918.64,918.73,918.61,918.66,0,0,0
2019-12-18 12:19:00-05:00,918.69,918.77,918.62,918.7,0,0,0
2019-12-18 12:20:00-05:00,918.7,918.91,918.7,918.81,0,0,0
2019-12-18 12:21:00-05:00,918.81,918.86,918.7,918.71,0,0,0
2019-12-18 12:22:00-05:00,918.74,918.74,918.61,918.66,0,0,0
2019-12-18 12:23:00-05:00,918.66,918.75,918.64,918.65,0,0,0
2019-12-18 12:24:00-05:00,918.57,918.65,918.49,918.62,0,0,0
2019-12-18 12:25:00-05:00,918.66,918.69,918.6,918.66,0,0,0
2019-12-18 12:26:00-05:00,918.66,918.68,918.64,918.66,0,0,0
2019-12-18 12:27:00-05:00,918.63,918.71,918.62,918.7,0,0,0
2019-12-18 12:28:00-05:00,918.64,918.71,918.64,918.65,0,0,0
2019-12-18 12:29:00-05:00,918.68,918.79,918.66,918.79,0,0,0
2019-12-18 12:30:00-05:00,918.79,918.86,918.76,918.86,0,0,0
2019-12-18 12:31:00-05:00,918.86,918.94,918.81,918.84,0,0,0
2019-12-18 12:32:00-05:00,918.89,918.94,918.86,918.92,0,0,0
2019-12-18 12:33:00-05:00,918.89,918.98,918.89,918.97,0,0,0
2019-12-18 12:34:00-05:00,918.99,919.06,918.93,919.05,0,0,0
2019-12-18 12:35:00-05:00,919.06,919.08,918.97,919.03,0,0,0
2019-12-18 12:36:00-05:00,919.07,919.19,919.07,919.19,0,0,0
2019-12-18 12:37:00-05:00,919.12,919.31,919.1,919.22,0,0,0
2019-12-18 12:38:00-05:00,919.22,919.26,919.16,919.21,0,0,0
2019-12-18 12:39:00-05:00,919.18,919.24,919.1,919.1,0,0,0
2019-12-18 12:40:00-05:00,919.11,919.16,919.04,919.06,0,0,0
2019-12-18 12:41:00-05:00,919.05,919.13,919.03,919.11,0,0,0
2019-12-18 12:42:00-05:00,919.11,919.11,918.98,919.04,0,0,0
2019-12-18 12:43:00-05:00,919.02,919.05,918.85,918.85,0,0,0
2019-12-18 12:44:00-05:00,918.81,918.98,918.81,918.91,0,0,0
2019-12-18 12:45:00-05:00,918.92,919.0,918.87,918.87,0,0,0
2019-12-18 12:46:00-05:00,918.91,919.02,918.91,918.97,0,0,0
2019-12-18 12:47:00-05:00,918.99,919.02,918.94,918.95,0,0,0
2019-12-18 12:48:00-05:00,918.98,919.02,918.93,918.93,0,0,0
2019-12-18 12:49:00-05:00,918.94,918.97,918.86,918.89,0,0,0
2019-12-18 12:50:00-05:00,918.9,918.9,918.76,918.8,0,0,0
2019-12-18 12:51:00-05:00,918.84,918.9,918.77,918.77,0,0,0
2019-12-18 12:52:00-05:00,918.78,918.92,918.77,918.9,0,0,0
2019-12-18 12:53:00-05:00,918.89,918.95,918.84,918.91,0,0,0
2019-12-18 12:54:00-05:00,918.88,918.94,918.88,918.89,0,0,0
2019-12-18 12:55:00-05:00,918.89,919.05,918.86,919.04,0,0,0
2019-12-18 12:56:00-05:00,919.03,919.33,919.02,919.33,0,0,0
2019-12-18 12:57:00-05:00,919.28,919.28,919.05,919.05,0,0,0
2019-12-18 12:58:00-05:00,919.12,919.23,919.05,919.21,0,0,0
2019-12-18 12:59:00-05:00,919.3,919.34,919.25,919.32,0,0,0
2019-12-18 13:00:00-05:00,919.4,919.43,919.31,919.31,0,0,0
2019-12-18 13:01:00-05:00,919.44,919.44,919.34,919.39,0,0,0
2019-12-18 13:02:00-05:00,919.41,919.41,919.31,919.35,0,0,0
2019-12-18 13:03:00-05:00,919.41,919.41,919.25,919.26,0,0,0
2019-12-18 13:04:00-05:00,919.32,919.37,919.28,919.32,0,0,0
2019-12-18 13:05:00-05:00,919.37,919.62,919.32,919.55,0,0,0
2019-12-18 13:06:00-05:00,919.57,919.84,919.57,919.79,0,0,0
2019-12-18 13:07:00-05:00,919.84,919.84,919.65,919.78,0,0,0
2019-12-18 13:08:00-05:00,919.85,919.9,919.77,919.81,0,0,0
2019-12-18 13:09:00-05:00,919.85,919.85,919.61,919.65,0,0,0
2019-12-18 13:10:00-05:00,919.66,919.72,919.66,919.72,0,0,0
2019-12-18 13:11:00-05:00,919.77,919.83,919.7,919.82,0,0,0
2019-12-18 13:12:00-05:00,919.81,919.93,919.81,919.9,0,0,0
2019-12-18 13:13:00-05:00,919.92,919.94,919.86,919.89,0,0,0
2019-12-18 13:14:00-05:00,919.92,920.01,919.89,919.99,0,0,0
2019-12-18 13:15:00-05:00,919.99,920.09,919.99,920.02,0,0,0
2019-12-18 13:16:00-05:00,920.06,920.06,919.98,920.03,0,0,0
2019-12-18 13:17:00-05:00,920.11,920.11,919.97,919.97,0,0,0
2019-12-18 13:18:00-05:00,919.99,920.04,919.96,919.96,0,0,0
2019-12-18 13:19:00-05:00,920.02,920.02,919.92,919.92,0,0,0
2019-12-18 13:20:00-05:00,919.97,920.3,919.94,920.3,0,0,0
2019-12-18 13:21:00-05:00,920.31,920.48,920.25,920.48,0,0,0
2019-12-18 13:22:00-05:00,920.47,920.62,920.47,920.55,0,0,0
2019-12-18 13:23:00-05:00,920.56,920.6,920.49,920.51,0,0,0
2019-12-18 13:24:00-05:00,920.51,920.66,920.47,920.57,0,0,0
2019-12-18 13:25:00-05:00,920.73,920.88,920.6,920.78,0,0,0
2019-12-18 13:26:00-05:00,920.8,920.86,920.75,920.79,0,0,0
2019-12-18 13:27:00-05:00,920.8,920.93,920.67,920.93,0,0,0
2019-12-18 13:28:00-05:00,920.92,920.93,920.7,920.76,0,0,0
2019-12-18 13:29:00-05:00,920.77,920.88,920.74,920.75,0,0,0
2019-12-18 13:30:00-05:00,920.8,920.82,920.66,920.75,0,0,0
2019-12-18 13:31:00-05:00,920.75,920.75,920.61,920.66,0,0,0
2019-12-18 13:32:00-05:00,920.64,920.66,920.51,920.61,0,0,0
2019-12-18 13:33:00-05:00,920.61,920.61,920.49,920.56,0,0,0
2019-12-18 13:34:00-05:00,920.56,920.56,920.14,920.24,0,0,0
2019-12-18 13:35:00-05:00,920.31,920.31,920.18,920.25,0,0,0
2019-12-18 13:36:00-05:00,920.34,920.57,920.28,920.46,0,0,0
