Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-18 11:00:00-05:00,1382.99,1383.01,1382.91,1382.95,0,0,0
2019-12-18 11:01:00-05:00,1383.04,1383.13,1382.99,1383.05,0,0,0
2019-12-18 11:02:00-05:00,1382.99,1383.09,1382.99,1383.04,0,0,0
2019-12-18 11:03:00-05:00,1383.03,1383.03,1382.97,1382.98,0,0,0
2019-12-18 11:04:00-05:00,1382.98,1383.0,1382.91,1382.93,0,0,0
2019-12-18 11:05:00-05:00,1382.9,1382.95,1382.9,1382.92,0,0,0
2019-12-18 11:06:00-05:00,1382.92,1382.97,1382.92,1382.92,0,0,0
2019-12-18 11:07:00-05:00,1382.93,1382.93,1382.81,1382.81,0,0,0
2019-12-18 11:08:00-05:00,1382.81,1382.82,1382.73,1382.77,0,0,0
2019-12-18 11:09:00-05:00,1382.77,1382.77,1382.65,1382.67,0,0,0
2019-12-18 11:10:00-05:00,1382.69,1382.7,1382.65,1382.65,0,0,0
2019-12-18 11:11:00-05:00,1382.68,1382.71,1382.61,1382.61,0,0,0
2019-12-18 11:12:00-05:00,1382.6,1382.6,1382.54,1382.59,0,0,0
2019-12-18 11:13:00-05:00,1382.62,1382.72,1382.59,1382.69,0,0,0
2019-12-18 11:14:00-05:00,1382.69,1382.69,1382.52,1382.63,0,0,0
2019-12-18 11:17:00-05:00,1382.46,1382.5,1382.46,1382.46,0,0,0
2019-12-18 11:18:00-05:00,1382.46,1382.51,1382.45,1382.45,0,0,0
2019-12-18 11:19:00-05:00,1382.47,1382.49,1382.42,1382.49,0,0,0
2019-12-18 11:20:00-05:00,1382.53,1382.57,1382.51,1382.52,0,0,0
2019-12-18 11:21:00-05:00,1382.5,1382.57,1382.48,1382.48,0,0,0
2019-12-18 11:22:00-05:00,1382.48,1382.5,1382.46,1382.46,0,0,0
2019-12-18 11:23:00-05:00,1382.5,1382.5,1382.47,1382.49,0,0,0
2019-12-18 11:24:00-05:00,1382.5,1382.56,1382.5,1382.52,0,0,0
2019-12-18 11:25:00-05:00,1382.5,1382.52,1382.48,1382.51,0,0,0
2019-12-18 11:26:00-05:00,1382.49,1382.49,1382.35,1382.36,0,0,0
2019-12-18 11:27:00-05:00,1382.29,1382.3,1382.17,1382.18,0,0,0
2019-12-18 11:28:00-05:00,1382.16,1382.25,1382.14,1382.14,0,0,0
2019-12-18 11:29:00-05:00,1382.18,1382.23,1382.17,1382.23,0,0,0
2019-12-18 11:30:00-05:00,1382.16,1382.22,1382.07,1382.07,0,0,0
2019-12-18 11:31:00-05:00,1382.09,1382.19,1382.07,1382.07,0,0,0
2019-12-18 11:32:00-05:00,1382.08,1382.11,1382.02,1382.03,0,0,0
2019-12-18 11:33:00-05:00,1382.03,1382.13,1381.9,1381.91,0,0,0
2019-12-18 11:34:00-05:00,1381.92,1381.95,1381.91,1381.91,0,0,0
2019-12-18 11:35:00-05:00,1381.92,1382.02,1381.89,1382.02,0,0,0
2019-12-18 11:36:00-05:00,1382.03,1382.03,1381.93,1381.95,0,0,0
2019-12-18 11:37:00-05:00,1381.97,1382.03,1381.97,1382.0,0,0,0
2019-12-18 11:38:00-05:00,1382.01,1382.09,1381.96,1382.08,0,0,0
2019-12-18 11:39:00-05:00,1382.09,1382.09,1382.03,1382.08,0,0,0
2019-12-18 11:40:00-05:00,1382.08,1382.23,1382.08,1382.16,0,0,0
2019-12-18 11:41:00-05:00,1382.15,1382.17,1382.08,1382.08,0,0,0
2019-12-18 11:42:00-05:00,1382.07,1382.12,1382.06,1382.11,0,0,0
2019-12-18 11:43:00-05:00,1382.12,1382.12,1382.04,1382.06,0,0,0
2019-12-18 11:44:00-05:00,1382.05,1382.05,1382.04,1382.05,0,0,0
2019-12-18 11:46:00-05:00,1381.98,1382.02,1381.98,1382.02,0,0,0
2019-12-18 11:47:00-05:00,1382.0,1382.07,1381.99,1382.0,0,0,0
2019-12-18 11:48:00-05:00,1382.01,1382.01,1381.96,1381.99,0,0,0
2019-12-18 11:49:00-05:00,1381.99,1382.0,1381.87,1381.92,0,0,0
2019-12-18 11:50:00-05:00,1381.91,1381.91,1381.82,1381.88,0,0,0
2019-12-18 11:51:00-05:00,1381.89,1381.92,1381.85,1381.87,0,0,0
2019-12-18 11:52:00-05:00,1381.88,1381.91,1381.86,1381.88,0,0,0
2019-12-18 11:53:00-05:00,1381.87,1381.96,1381.87,1381.9,0,0,0
2019-12-18 11:54:00-05:00,1381.92,1381.92,1381.87,1381.87,0,0,0
2019-12-18 11:55:00-05:00,1381.87,1381.91,1381.87,1381.89,0,0,0
2019-12-18 11:56:00-05:00,1381.87,1381.9,1381.87,1381.9,0,0,0
