Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-18 11:00:00-05:00,861.99,861.99,861.89,861.95,0,0,0
2019-12-18 11:01:00-05:00,861.98,862.13,861.96,862.0,0,0,0
2019-12-18 11:02:00-05:00,862.12,862.13,862.04,862.04,0,0,0
2019-12-18 11:03:00-05:00,862.04,862.06,861.98,862.06,0,0,0
2019-12-18 11:04:00-05:00,862.06,862.09,862.06,862.09,0,0,0
2019-12-18 11:05:00-05:00,862.09,862.09,862.04,862.04,0,0,0
2019-12-18 11:06:00-05:00,862.04,862.07,862.04,862.04,0,0,0
2019-12-18 11:07:00-05:00,862.06,862.16,862.06,862.14,0,0,0
2019-12-18 11:08:00-05:00,862.14,862.15,862.01,862.01,0,0,0
2019-12-18 11:09:00-05:00,862.14,862.15,862.01,862.09,0,0,0
2019-12-18 11:10:00-05:00,862.03,862.07,862.02,862.02,0,0,0
2019-12-18 11:11:00-05:00,862.0,862.03,862.0,862.02,0,0,0
2019-12-18 11:12:00-05:00,861.96,862.02,861.96,861.99,0,0,0
2019-12-18 11:13:00-05:00,861.99,862.1,861.7,862.1,0,0,0
2019-12-18 11:14:00-05:00,862.1,862.1,861.68,861.91,0,0,0
2019-12-18 11:15:00-05:00,861.89,861.89,861.7,861.7,0,0,0
2019-12-18 11:16:00-05:00,861.75,861.75,861.69,861.69,0,0,0
2019-12-18 11:17:00-05:00,861.69,861.76,861.69,861.74,0,0,0
2019-12-18 11:18:00-05:00,861.74,861.75,861.73,861.75,0,0,0
2019-12-18 11:19:00-05:00,861.75,861.78,861.73,861.78,0,0,0
2019-12-18 11:20:00-05:00,861.76,861.76,861.76,861.76,0,0,0
2019-12-18 11:21:00-05:00,861.76,861.78,861.76,861.78,0,0,0
2019-12-18 11:22:00-05:00,861.77,861.8,861.76,861.77,0,0,0
2019-12-18 11:23:00-05:00,861.78,861.8,861.78,861.78,0,0,0
2019-12-18 11:24:00-05:00,861.8,861.8,861.78,861.8,0,0,0
2019-12-18 11:25:00-05:00,861.8,861.85,861.8,861.85,0,0,0
2019-12-18 11:26:00-05:00,861.85,861.85,861.83,861.84,0,0,0
2019-12-18 11:27:00-05:00,861.84,861.85,861.73,861.73,0,0,0
2019-12-18 11:28:00-05:00,861.68,861.68,861.62,861.62,0,0,0
2019-12-18 11:29:00-05:00,861.61,861.63,861.61,861.62,0,0,0
2019-12-18 11:30:00-05:00,861.62,861.66,861.62,861.66,0,0,0
2019-12-18 11:31:00-05:00,861.67,861.7,861.67,861.68,0,0,0
2019-12-18 11:32:00-05:00,861.69,861.73,861.69,861.71,0,0,0
2019-12-18 11:33:00-05:00,861.73,861.75,861.73,861.75,0,0,0
2019-12-18 11:34:00-05:00,861.75,861.76,861.75,861.75,0,0,0
2019-12-18 11:35:00-05:00,861.75,861.76,861.75,861.75,0,0,0
2019-12-18 11:36:00-05:00,861.76,861.84,861.76,861.82,0,0,0
2019-12-18 11:37:00-05:00,861.82,861.83,861.79,861.79,0,0,0
2019-12-18 11:38:00-05:00,861.79,861.82,861.79,861.82,0,0,0
2019-12-18 11:39:00-05:00,861.82,861.82,861.8,861.82,0,0,0
2019-12-18 11:40:00-05:00,861.82,861.82,861.79,861.82,0,0,0
2019-12-18 11:41:00-05:00,861.82,861.83,861.79,861.79,0,0,0
2019-12-18 11:42:00-05:00,861.79,861.82,861.79,861.82,0,0,0
2019-12-18 11:43:00-05:00,861.82,861.82,861.79,861.82,0,0,0
2019-12-18 11:44:00-05:00,861.82,861.82,861.79,861.79,0,0,0
2019-12-18 11:45:00-05:00,862.14,862.14,862.14,862.14,0,0,0
2019-12-18 11:46:00-05:00,862.14,862.14,862.14,862.14,0,0,0
2019-12-18 11:47:00-05:00,862.14,862.14,862.14,862.14,0,0,0
2019-12-18 11:48:00-05:00,862.14,862.14,862.14,862.14,0,0,0
2019-12-18 11:49:00-05:00,862.14,862.14,862.14,862.14,0,0,0
2019-12-18 11:50:00-05:00,862.14,862.14,862.14,862.14,0,0,0
2019-12-18 11:51:00-05:00,862.14,862.14,862.14,862.14,0,0,0
2019-12-18 11:52:00-05:00,862.14,862.14,862.14,862.14,0,0,0
2019-12-18 11:53:00-05:00,862.14,862.14,862.14,862.14,0,0,0
2019-12-18 11:54:00-05:00,862.14,862.14,862.14,862.14,0,0,0
2019-12-18 11:55:00-05:00,862.14,862.14,862.14,862.14,0,0,0
2019-12-18 11:56:00-05:00,862.14,862.14,862.14,862.14,0,0,0
2019-12-18 11:57:00-05:00,862.14,862.14,862.14,862.14,0,0,0
2019-12-18 11:58:00-05:00,862.14,862.14,862.14,862.14,0,0,0
2019-12-18 11:59:00-05:00,862.14,862.14,862.14,862.14,0,0,0
2019-12-19 09:30:00-05:00,859.27,859.35,859.27,859.35,0,0,0
2019-12-19 09:31:00-05:00,859.4,859.4,859.3,859.35,0,0,0
2019-12-19 09:32:00-05:00,859.31,859.35,859.31,859.31,0,0,0
2019-12-19 09:33:00-05:00,859.31,859.34,859.15,859.15,0,0,0
2019-12-19 09:34:00-05:00,859.24,859.36,859.13,859.36,0,0,0
2019-12-19 09:35:00-05:00,859.39,859.39,859.22,859.39,0,0,0
2019-12-19 09:36:00-05:00,859.32,859.39,859.31,859.32,0,0,0
2019-12-19 09:37:00-05:00,859.3,859.36,859.3,859.36,0,0,0
2019-12-19 09:38:00-05:00,859.37,859.39,859.3,859.39,0,0,0
2019-12-19 09:39:00-05:00,859.32,859.37,859.2,859.32,0,0,0
2019-12-19 09:40:00-05:00,859.32,859.37,859.27,859.29,0,0,0
2019-12-19 09:41:00-05:00,859.29,859.3,859.28,859.28,0,0,0
2019-12-19 09:42:00-05:00,859.28,859.28,859.15,859.27,0,0,0
2019-12-19 09:43:00-05:00,859.27,859.3,859.25,859.25,0,0,0
