Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-18 11:00:00-05:00,732.27,732.48,732.11,732.31,0,0,0
2019-12-18 11:01:00-05:00,732.33,732.38,731.9,731.91,0,0,0
2019-12-18 11:02:00-05:00,731.95,732.29,731.92,732.04,0,0,0
2019-12-18 11:03:00-05:00,732.29,732.29,731.83,731.83,0,0,0
2019-12-18 11:04:00-05:00,731.84,731.88,731.06,731.06,0,0,0
2019-12-18 11:05:00-05:00,731.02,731.2,731.02,731.19,0,0,0
2019-12-18 11:06:00-05:00,731.1,731.1,730.77,730.77,0,0,0
2019-12-18 11:07:00-05:00,730.83,730.83,730.42,730.58,0,0,0
2019-12-18 11:08:00-05:00,730.33,730.43,730.08,730.43,0,0,0
2019-12-18 11:09:00-05:00,730.48,730.61,730.32,730.41,0,0,0
2019-12-18 11:10:00-05:00,730.44,730.95,730.44,730.89,0,0,0
2019-12-18 11:11:00-05:00,730.67,730.67,730.21,730.21,0,0,0
2019-12-18 11:12:00-05:00,730.29,730.36,730.14,730.31,0,0,0
2019-12-18 11:13:00-05:00,730.31,730.46,730.23,730.34,0,0,0
2019-12-18 11:14:00-05:00,730.28,730.39,730.19,730.39,0,0,0
2019-12-18 11:17:00-05:00,730.36,730.43,730.35,730.35,0,0,0
2019-12-18 11:18:00-05:00,730.35,730.42,730.22,730.22,0,0,0
2019-12-18 11:19:00-05:00,730.18,730.22,729.86,730.15,0,0,0
2019-12-18 11:20:00-05:00,730.07,730.09,729.79,729.79,0,0,0
2019-12-18 11:21:00-05:00,729.38,729.38,728.91,728.91,0,0,0
2019-12-18 11:22:00-05:00,728.92,729.19,728.82,728.82,0,0,0
2019-12-18 11:23:00-05:00,729.0,729.0,728.8,728.88,0,0,0
2019-12-18 11:24:00-05:00,728.92,729.4,728.88,729.08,0,0,0
2019-12-18 11:25:00-05:00,729.2,729.26,729.1,729.12,0,0,0
2019-12-18 11:26:00-05:00,729.13,729.27,729.1,729.17,0,0,0
2019-12-18 11:27:00-05:00,729.13,729.14,728.78,728.78,0,0,0
2019-12-18 11:28:00-05:00,728.84,729.21,728.84,728.91,0,0,0
2019-12-18 11:29:00-05:00,728.99,729.09,728.74,728.74,0,0,0
2019-12-18 11:30:00-05:00,728.89,728.97,728.59,728.67,0,0,0
2019-12-18 11:31:00-05:00,728.62,728.85,728.51,728.85,0,0,0
2019-12-18 11:32:00-05:00,728.8,728.84,728.47,728.47,0,0,0
2019-12-18 11:33:00-05:00,728.46,728.54,727.85,727.85,0,0,0
2019-12-18 11:34:00-05:00,727.79,728.02,727.79,727.91,0,0,0
2019-12-18 11:35:00-05:00,727.92,728.03,727.84,728.03,0,0,0
2019-12-18 11:36:00-05:00,728.04,728.04,727.72,727.72,0,0,0
2019-12-18 11:37:00-05:00,727.83,728.13,727.83,728.08,0,0,0
2019-12-18 11:38:00-05:00,728.2,728.45,728.06,728.45,0,0,0
2019-12-18 11:39:00-05:00,728.35,728.37,728.2,728.22,0,0,0
2019-12-18 11:40:00-05:00,728.29,728.45,727.99,727.99,0,0,0
2019-12-18 11:41:00-05:00,727.94,728.18,727.94,728.02,0,0,0
2019-12-18 11:42:00-05:00,727.86,727.86,727.6,727.62,0,0,0
2019-12-18 11:43:00-05:00,727.76,727.92,727.69,727.87,0,0,0
2019-12-18 11:44:00-05:00,727.89,727.93,727.87,727.93,0,0,0
2019-12-18 11:46:00-05:00,727.98,728.09,727.96,727.96,0,0,0
2019-12-18 11:47:00-05:00,728.07,728.23,728.07,728.23,0,0,0
2019-12-18 11:48:00-05:00,728.22,728.23,728.0,728.09,0,0,0
2019-12-18 11:49:00-05:00,728.11,728.21,727.98,728.16,0,0,0
2019-12-18 11:50:00-05:00,728.11,728.16,728.0,728.08,0,0,0
2019-12-18 11:51:00-05:00,728.12,728.18,728.04,728.1,0,0,0
2019-12-18 11:52:00-05:00,728.08,728.16,727.92,728.14,0,0,0
2019-12-18 11:53:00-05:00,728.17,728.17,727.94,728.13,0,0,0
2019-12-18 11:54:00-05:00,728.01,728.08,727.8,727.8,0,0,0
2019-12-18 11:55:00-05:00,727.83,727.99,727.82,727.84,0,0,0
2019-12-18 11:56:00-05:00,727.8,727.9,727.76,727.76,0,0,0
2019-12-18 11:57:00-05:00,727.79,727.79,727.55,727.73,0,0,0
2019-12-18 11:58:00-05:00,727.58,727.78,727.58,727.73,0,0,0
2019-12-18 11:59:00-05:00,727.68,727.8,727.68,727.8,0,0,0
2019-12-18 12:00:00-05:00,727.75,727.95,727.74,727.84,0,0,0
2019-12-18 12:01:00-05:00,727.83,727.84,727.54,727.55,0,0,0
2019-12-18 12:02:00-05:00,727.52,727.72,727.45,727.45,0,0,0
2019-12-18 12:03:00-05:00,727.38,727.59,727.34,727.52,0,0,0
2019-12-18 12:04:00-05:00,727.51,727.87,727.51,727.78,0,0,0
2019-12-18 12:05:00-05:00,727.78,727.78,727.42,727.65,0,0,0
2019-12-18 12:06:00-05:00,727.65,727.71,727.58,727.69,0,0,0
2019-12-18 12:07:00-05:00,727.63,727.77,727.47,727.67,0,0,0
2019-12-18 12:08:00-05:00,727.64,727.95,727.6,727.87,0,0,0
2019-12-18 12:09:00-05:00,727.97,728.0,727.18,727.33,0,0,0
2019-12-18 12:10:00-05:00,727.36,727.36,727.05,727.2,0,0,0
2019-12-18 12:11:00-05:00,727.08,727.3,727.04,727.21,0,0,0
2019-12-18 12:12:00-05:00,727.29,727.34,726.87,727.01,0,0,0
2019-12-18 12:13:00-05:00,727.02,727.02,726.84,726.96,0,0,0
