Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-18 11:00:00-05:00,691.85,691.85,691.72,691.74,0,0,0
2019-12-18 11:01:00-05:00,691.74,691.79,691.71,691.73,0,0,0
2019-12-18 11:02:00-05:00,691.74,691.77,691.7,691.7,0,0,0
2019-12-18 11:03:00-05:00,691.7,691.74,691.67,691.67,0,0,0
2019-12-18 11:04:00-05:00,691.7,691.7,691.6,691.6,0,0,0
2019-12-18 11:05:00-05:00,691.63,691.67,691.5,691.56,0,0,0
2019-12-18 11:06:00-05:00,691.5,691.5,691.03,691.43,0,0,0
2019-12-18 11:07:00-05:00,690.79,691.14,690.74,690.79,0,0,0
2019-12-18 11:08:00-05:00,690.86,691.05,690.82,690.83,0,0,0
2019-12-18 11:09:00-05:00,690.99,690.99,690.82,690.82,0,0,0
2019-12-18 11:10:00-05:00,690.9,690.9,690.69,690.69,0,0,0
2019-12-18 11:11:00-05:00,690.69,690.75,690.59,690.59,0,0,0
2019-12-18 11:12:00-05:00,690.66,690.9,690.66,690.73,0,0,0
2019-12-18 11:13:00-05:00,690.64,691.05,690.64,691.01,0,0,0
2019-12-18 11:14:00-05:00,691.05,691.05,690.78,690.82,0,0,0
2019-12-18 11:15:00-05:00,690.74,690.79,690.73,690.76,0,0,0
2019-12-18 11:16:00-05:00,690.77,690.88,690.77,690.79,0,0,0
2019-12-18 11:17:00-05:00,690.81,690.81,690.75,690.78,0,0,0
2019-12-18 11:18:00-05:00,690.72,690.78,690.66,690.66,0,0,0
2019-12-18 11:19:00-05:00,690.65,690.75,690.41,690.62,0,0,0
2019-12-18 11:20:00-05:00,690.45,690.45,690.43,690.43,0,0,0
2019-12-18 11:21:00-05:00,690.48,690.53,690.42,690.53,0,0,0
2019-12-18 11:22:00-05:00,690.4,690.62,690.4,690.62,0,0,0
2019-12-18 11:23:00-05:00,690.62,690.67,690.5,690.54,0,0,0
2019-12-18 11:24:00-05:00,690.54,690.91,690.52,690.86,0,0,0
2019-12-18 11:25:00-05:00,690.53,690.89,690.42,690.73,0,0,0
2019-12-18 11:26:00-05:00,690.59,690.89,690.59,690.84,0,0,0
2019-12-18 11:27:00-05:00,690.79,690.97,690.79,690.97,0,0,0
2019-12-18 11:28:00-05:00,690.89,690.95,690.85,690.87,0,0,0
2019-12-18 11:29:00-05:00,690.87,691.12,690.87,691.12,0,0,0
2019-12-18 11:30:00-05:00,690.99,691.13,690.97,690.97,0,0,0
2019-12-18 11:31:00-05:00,690.96,691.01,690.96,691.01,0,0,0
2019-12-18 11:32:00-05:00,691.08,691.11,691.01,691.01,0,0,0
2019-12-18 11:33:00-05:00,691.03,691.2,691.03,691.2,0,0,0
2019-12-18 11:34:00-05:00,691.13,691.38,691.08,691.38,0,0,0
2019-12-18 11:35:00-05:00,691.17,691.31,691.16,691.2,0,0,0
2019-12-18 11:36:00-05:00,691.27,691.3,691.19,691.26,0,0,0
2019-12-18 11:37:00-05:00,691.27,691.28,691.21,691.22,0,0,0
2019-12-18 11:38:00-05:00,691.22,691.23,691.19,691.19,0,0,0
2019-12-18 11:39:00-05:00,691.22,691.4,691.21,691.38,0,0,0
2019-12-18 11:40:00-05:00,691.37,691.51,691.28,691.37,0,0,0
2019-12-18 11:41:00-05:00,691.47,691.47,691.37,691.37,0,0,0
2019-12-18 11:42:00-05:00,691.37,691.37,691.27,691.27,0,0,0
2019-12-18 11:43:00-05:00,691.35,691.38,691.35,691.37,0,0,0
2019-12-18 11:44:00-05:00,691.37,691.41,691.3,691.3,0,0,0
2019-12-18 11:45:00-05:00,691.73,691.73,691.73,691.73,0,0,0
2019-12-18 11:46:00-05:00,691.73,691.73,691.73,691.73,0,0,0
2019-12-18 11:47:00-05:00,691.73,691.73,691.73,691.73,0,0,0
2019-12-18 11:48:00-05:00,691.73,691.73,691.73,691.73,0,0,0
2019-12-18 11:49:00-05:00,691.73,691.73,691.73,691.73,0,0,0
2019-12-18 11:50:00-05:00,691.73,691.73,691.73,691.73,0,0,0
2019-12-18 11:51:00-05:00,691.73,691.73,691.73,691.73,0,0,0
2019-12-18 11:52:00-05:00,691.73,691.73,691.73,691.73,0,0,0
2019-12-18 11:53:00-05:00,691.73,691.73,691.73,691.73,0,0,0
2019-12-18 11:54:00-05:00,691.73,691.73,691.73,691.73,0,0,0
2019-12-18 11:55:00-05:00,691.73,691.73,691.73,691.73,0,0,0
2019-12-18 11:56:00-05:00,691.73,691.73,691.73,691.73,0,0,0
2019-12-18 11:57:00-05:00,691.73,691.73,691.73,691.73,0,0,0
2019-12-18 11:58:00-05:00,691.73,691.73,691.73,691.73,0,0,0
2019-12-18 11:59:00-05:00,691.73,691.73,691.73,691.73,0,0,0
2019-12-19 09:30:00-05:00,697.04,697.34,697.04,697.34,0,0,0
2019-12-19 09:31:00-05:00,697.38,697.72,697.04,697.72,0,0,0
2019-12-19 09:32:00-05:00,697.63,697.84,697.55,697.7,0,0,0
2019-12-19 09:33:00-05:00,697.7,698.13,697.7,698.03,0,0,0
2019-12-19 09:34:00-05:00,698.2,698.29,697.99,698.22,0,0,0
2019-12-19 09:35:00-05:00,697.49,697.95,697.16,697.16,0,0,0
2019-12-19 09:36:00-05:00,696.95,697.3,696.83,697.3,0,0,0
2019-12-19 09:37:00-05:00,697.24,697.68,697.09,697.43,0,0,0
2019-12-19 09:38:00-05:00,697.5,697.63,697.21,697.21,0,0,0
2019-12-19 09:39:00-05:00,697.29,697.57,697.13,697.2,0,0,0
2019-12-19 09:40:00-05:00,697.13,697.33,697.01,697.33,0,0,0
2019-12-19 09:41:00-05:00,697.28,697.49,697.12,697.12,0,0,0
2019-12-19 09:42:00-05:00,697.28,697.4,696.98,697.29,0,0,0
2019-12-19 09:43:00-05:00,697.06,697.48,696.96,697.48,0,0,0
2019-12-19 09:44:00-05:00,697.3,697.61,697.3,697.57,0,0,0
2019-12-19 09:45:00-05:00,697.55,697.55,697.41,697.54,0,0,0
2019-12-19 09:46:00-05:00,697.22,697.41,696.87,696.87,0,0,0
2019-12-19 09:47:00-05:00,696.85,697.07,696.85,696.96,0,0,0
2019-12-19 09:48:00-05:00,696.94,697.01,696.88,696.88,0,0,0
2019-12-19 09:49:00-05:00,697.2,697.43,696.97,697.43,0,0,0
2019-12-19 09:50:00-05:00,697.49,698.2,697.23,698.2,0,0,0
2019-12-19 09:51:00-05:00,698.15,698.37,698.15,698.21,0,0,0
2019-12-19 09:52:00-05:00,698.38,698.56,697.75,698.17,0,0,0
2019-12-19 09:53:00-05:00,697.8,697.99,697.57,697.57,0,0,0
2019-12-19 09:54:00-05:00,697.45,697.53,697.07,697.28,0,0,0
2019-12-19 09:55:00-05:00,697.69,697.7,697.28,697.46,0,0,0
2019-12-19 09:56:00-05:00,697.42,697.67,697.41,697.57,0,0,0
2019-12-19 09:57:00-05:00,697.34,697.75,697.34,697.75,0,0,0
2019-12-19 09:58:00-05:00,697.85,697.86,697.45,697.45,0,0,0
2019-12-19 09:59:00-05:00,697.61,697.61,697.13,697.41,0,0,0
2019-12-19 10:00:00-05:00,697.35,698.13,697.35,697.86,0,0,0
2019-12-19 10:01:00-05:00,698.06,698.1,697.69,698.09,0,0,0
2019-12-19 10:02:00-05:00,697.99,698.19,697.99,698.08,0,0,0
2019-12-19 10:03:00-05:00,698.11,698.11,697.9,697.98,0,0,0
2019-12-19 10:04:00-05:00,697.97,698.19,697.95,697.95,0,0,0
2019-12-19 10:05:00-05:00,697.95,698.17,697.95,698.14,0,0,0
2019-12-19 10:06:00-05:00,698.31,698.31,698.06,698.12,0,0,0
2019-12-19 10:07:00-05:00,697.98,698.25,697.89,697.97,0,0,0
2019-12-19 10:08:00-05:00,698.1,698.37,698.1,698.2,0,0,0
2019-12-19 10:09:00-05:00,698.16,698.2,697.59,697.59,0,0,0
2019-12-19 10:10:00-05:00,698.11,698.24,698.11,698.24,0,0,0
2019-12-19 10:11:00-05:00,698.28,698.41,698.22,698.31,0,0,0
2019-12-19 10:12:00-05:00,698.19,698.21,698.08,698.21,0,0,0
2019-12-19 10:13:00-05:00,698.19,698.24,698.16,698.24,0,0,0
2019-12-19 10:14:00-05:00,698.08,698.14,697.99,698.08,0,0,0
2019-12-19 10:15:00-05:00,698.08,698.08,697.8,697.8,0,0,0
2019-12-19 10:16:00-05:00,697.9,698.44,697.9,698.1,0,0,0
2019-12-19 10:17:00-05:00,698.1,698.3,697.56,697.56,0,0,0
2019-12-19 10:18:00-05:00,697.51,697.72,697.51,697.57,0,0,0
2019-12-19 10:19:00-05:00,697.57,697.86,697.57,697.76,0,0,0
2019-12-19 10:20:00-05:00,697.92,697.92,697.74,697.83,0,0,0
2019-12-19 10:21:00-05:00,697.6,697.84,697.39,697.39,0,0,0
2019-12-19 10:22:00-05:00,697.41,697.41,697.15,697.32,0,0,0
2019-12-19 10:23:00-05:00,697.15,697.31,697.1,697.31,0,0,0
2019-12-19 10:24:00-05:00,697.27,697.38,697.18,697.18,0,0,0
2019-12-19 10:25:00-05:00,697.37,697.45,697.1,697.3,0,0,0
2019-12-19 10:26:00-05:00,697.23,697.23,697.09,697.21,0,0,0
2019-12-19 10:27:00-05:00,696.99,697.23,696.99,697.07,0,0,0
2019-12-19 10:28:00-05:00,697.33,697.36,697.14,697.14,0,0,0
2019-12-19 10:29:00-05:00,697.26,697.54,697.26,697.5,0,0,0
2019-12-19 10:30:00-05:00,697.72,697.72,697.48,697.57,0,0,0
2019-12-19 10:31:00-05:00,697.51,697.58,697.33,697.55,0,0,0
2019-12-19 10:32:00-05:00,697.49,697.59,697.44,697.59,0,0,0
2019-12-19 10:33:00-05:00,697.47,697.57,697.39,697.45,0,0,0
2019-12-19 10:34:00-05:00,697.41,697.75,697.38,697.41,0,0,0
2019-12-19 10:35:00-05:00,697.34,698.13,697.34,697.63,0,0,0
2019-12-19 10:36:00-05:00,697.72,698.43,697.72,698.12,0,0,0
2019-12-19 10:37:00-05:00,697.93,698.24,697.82,698.15,0,0,0
2019-12-19 10:38:00-05:00,698.09,698.76,697.89,698.62,0,0,0
2019-12-19 10:39:00-05:00,698.61,698.61,697.98,698.16,0,0,0
2019-12-19 10:40:00-05:00,698.36,698.44,698.36,698.39,0,0,0
2019-12-19 10:41:00-05:00,698.28,698.36,698.28,698.34,0,0,0
2019-12-19 10:42:00-05:00,698.25,698.31,698.13,698.18,0,0,0
2019-12-19 10:43:00-05:00,698.14,698.23,698.13,698.19,0,0,0
2019-12-19 10:44:00-05:00,698.2,698.21,698.11,698.14,0,0,0
2019-12-19 10:45:00-05:00,698.13,700.43,698.13,700.34,0,0,0
2019-12-19 10:46:00-05:00,700.45,700.45,700.31,700.33,0,0,0
2019-12-19 10:47:00-05:00,700.29,700.34,700.27,700.34,0,0,0
2019-12-19 10:48:00-05:00,700.3,700.39,700.3,700.36,0,0,0
2019-12-19 10:49:00-05:00,700.39,700.4,700.28,700.31,0,0,0
2019-12-19 10:50:00-05:00,700.29,700.31,700.21,700.28,0,0,0
2019-12-19 10:51:00-05:00,700.28,700.31,700.22,700.26,0,0,0
2019-12-19 10:52:00-05:00,700.26,700.26,700.22,700.26,0,0,0
2019-12-19 10:53:00-05:00,700.25,700.25,700.16,700.21,0,0,0
2019-12-19 10:54:00-05:00,700.24,700.27,700.22,700.22,0,0,0
2019-12-19 10:55:00-05:00,700.24,700.24,700.22,700.24,0,0,0
2019-12-19 10:56:00-05:00,700.24,700.39,700.24,700.33,0,0,0
2019-12-19 10:57:00-05:00,700.42,700.42,700.26,700.26,0,0,0
2019-12-19 10:58:00-05:00,700.26,700.27,700.16,700.21,0,0,0
