Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-18 11:00:00-05:00,594.19,594.22,594.15,594.17,0,0,0
2019-12-18 11:01:00-05:00,594.22,594.22,594.03,594.11,0,0,0
2019-12-18 11:02:00-05:00,594.17,594.24,594.17,594.22,0,0,0
2019-12-18 11:03:00-05:00,594.22,594.22,594.15,594.17,0,0,0
2019-12-18 11:04:00-05:00,594.18,594.65,594.18,594.52,0,0,0
2019-12-18 11:05:00-05:00,594.61,594.74,594.52,594.74,0,0,0
2019-12-18 11:06:00-05:00,594.78,595.21,594.66,595.2,0,0,0
2019-12-18 11:07:00-05:00,595.06,595.33,595.0,595.11,0,0,0
2019-12-18 11:08:00-05:00,595.16,595.53,595.15,595.53,0,0,0
2019-12-18 11:09:00-05:00,595.54,595.54,595.27,595.36,0,0,0
2019-12-18 11:10:00-05:00,595.54,595.81,595.44,595.5,0,0,0
2019-12-18 11:11:00-05:00,595.48,595.48,595.31,595.31,0,0,0
2019-12-18 11:12:00-05:00,595.34,595.51,595.32,595.44,0,0,0
2019-12-18 11:13:00-05:00,595.44,595.44,595.32,595.32,0,0,0
2019-12-18 11:14:00-05:00,595.35,595.38,595.09,595.32,0,0,0
2019-12-18 11:17:00-05:00,595.02,595.02,594.8,594.81,0,0,0
2019-12-18 11:18:00-05:00,594.92,594.92,594.8,594.83,0,0,0
2019-12-18 11:19:00-05:00,594.87,594.87,594.79,594.82,0,0,0
2019-12-18 11:20:00-05:00,594.83,594.83,594.77,594.81,0,0,0
2019-12-18 11:21:00-05:00,594.82,594.83,594.74,594.81,0,0,0
2019-12-18 11:22:00-05:00,594.74,594.77,594.74,594.77,0,0,0
2019-12-18 11:23:00-05:00,594.76,594.81,594.59,594.7,0,0,0
2019-12-18 11:24:00-05:00,594.74,594.74,594.42,594.42,0,0,0
2019-12-18 11:25:00-05:00,594.51,594.57,594.39,594.39,0,0,0
2019-12-18 11:26:00-05:00,594.36,594.51,594.26,594.37,0,0,0
2019-12-18 11:27:00-05:00,594.09,594.3,594.04,594.08,0,0,0
2019-12-18 11:28:00-05:00,594.21,594.21,594.04,594.06,0,0,0
2019-12-18 11:29:00-05:00,594.15,594.26,594.13,594.17,0,0,0
2019-12-18 11:30:00-05:00,594.17,594.23,594.14,594.15,0,0,0
2019-12-18 11:31:00-05:00,594.2,594.27,594.18,594.23,0,0,0
2019-12-18 11:32:00-05:00,594.23,594.29,594.23,594.26,0,0,0
2019-12-18 11:33:00-05:00,594.29,594.29,594.24,594.27,0,0,0
2019-12-18 11:34:00-05:00,594.25,594.27,594.22,594.23,0,0,0
2019-12-18 11:35:00-05:00,594.23,594.27,594.2,594.25,0,0,0
2019-12-18 11:36:00-05:00,594.2,594.26,594.2,594.26,0,0,0
2019-12-18 11:37:00-05:00,594.27,594.27,594.22,594.27,0,0,0
2019-12-18 11:38:00-05:00,594.27,594.27,594.21,594.22,0,0,0
2019-12-18 11:39:00-05:00,594.25,594.25,594.19,594.21,0,0,0
2019-12-18 11:40:00-05:00,594.2,594.23,594.04,594.04,0,0,0
2019-12-18 11:41:00-05:00,594.16,594.16,594.03,594.04,0,0,0
2019-12-18 11:42:00-05:00,594.04,594.11,594.04,594.11,0,0,0
2019-12-18 11:43:00-05:00,594.0,594.09,593.98,593.99,0,0,0
2019-12-18 11:44:00-05:00,594.07,594.07,593.97,593.98,0,0,0
2019-12-18 11:46:00-05:00,594.16,594.16,594.16,594.16,0,0,0
2019-12-18 11:47:00-05:00,594.16,594.16,594.16,594.16,0,0,0
2019-12-18 11:48:00-05:00,594.16,594.16,594.16,594.16,0,0,0
2019-12-18 11:49:00-05:00,594.16,594.16,594.16,594.16,0,0,0
