Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-18 11:00:00-05:00,3324.06,3324.06,3323.98,3324.01,0,0,0
2019-12-18 11:01:00-05:00,3324.01,3324.07,3323.97,3323.99,0,0,0
2019-12-18 11:02:00-05:00,3323.99,3324.11,3323.99,3324.05,0,0,0
2019-12-18 11:03:00-05:00,3324.2,3324.45,3324.13,3324.13,0,0,0
2019-12-18 11:04:00-05:00,3324.29,3324.29,3324.14,3324.21,0,0,0
2019-12-18 11:05:00-05:00,3324.07,3324.49,3324.04,3324.49,0,0,0
2019-12-18 11:06:00-05:00,3324.6,3324.6,3324.16,3324.16,0,0,0
2019-12-18 11:07:00-05:00,3324.16,3324.37,3323.95,3323.95,0,0,0
2019-12-18 11:08:00-05:00,3323.98,3323.98,3323.27,3323.27,0,0,0
2019-12-18 11:09:00-05:00,3323.12,3323.12,3322.76,3322.76,0,0,0
2019-12-18 11:10:00-05:00,3322.9,3323.03,3322.54,3322.59,0,0,0
2019-12-18 11:11:00-05:00,3322.57,3322.57,3322.1,3322.13,0,0,0
2019-12-18 11:12:00-05:00,3322.13,3322.13,3321.71,3321.88,0,0,0
2019-12-18 11:13:00-05:00,3321.97,3321.97,3321.83,3321.89,0,0,0
2019-12-18 11:14:00-05:00,3321.98,3321.98,3321.77,3321.83,0,0,0
2019-12-18 11:17:00-05:00,3323.48,3323.93,3323.48,3323.93,0,0,0
2019-12-18 11:18:00-05:00,3323.93,3323.93,3323.4,3323.4,0,0,0
2019-12-18 11:19:00-05:00,3323.46,3323.96,3323.46,3323.96,0,0,0
2019-12-18 11:20:00-05:00,3323.96,3324.07,3323.96,3324.0,0,0,0
2019-12-18 11:21:00-05:00,3324.0,3324.58,3323.98,3324.48,0,0,0
2019-12-18 11:22:00-05:00,3324.43,3324.58,3324.27,3324.58,0,0,0
2019-12-18 11:23:00-05:00,3324.63,3324.63,3323.97,3323.97,0,0,0
2019-12-18 11:24:00-05:00,3323.97,3325.0,3323.97,3325.0,0,0,0
2019-12-18 11:25:00-05:00,3325.0,3325.17,3324.89,3324.89,0,0,0
2019-12-18 11:26:00-05:00,3324.89,3324.98,3324.74,3324.74,0,0,0
2019-12-18 11:27:00-05:00,3324.83,3324.83,3324.61,3324.61,0,0,0
2019-12-18 11:28:00-05:00,3324.61,3325.15,3324.61,3325.07,0,0,0
2019-12-18 11:29:00-05:00,3325.07,3325.07,3324.58,3324.58,0,0,0
