Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-22 09:30:00+03:00,906.47,906.47,902.59,902.59,0,0,0
2019-12-22 09:31:00+03:00,906.47,906.47,906.47,906.47,76825,0,0
2019-12-22 09:32:00+03:00,908.41,908.41,908.41,908.41,61342,0,0
2019-12-22 09:33:00+03:00,909.38,909.38,908.41,908.41,121277,0,0
2019-12-22 09:38:00+03:00,910.21,910.21,910.21,910.21,7026,0,0
2019-12-22 09:39:00+03:00,911.18,911.18,911.18,911.18,19301,0,0
2019-12-22 09:41:00+03:00,910.21,911.18,910.21,911.18,285874,0,0
2019-12-22 09:46:00+03:00,909.38,909.38,909.38,909.38,81530,0,0
2019-12-22 09:52:00+03:00,906.47,906.47,906.47,906.47,18164,0,0
2019-12-22 09:59:00+03:00,908.41,909.38,906.47,909.38,435872,0,0
2019-12-22 10:00:00+03:00,904.68,904.68,904.68,904.68,9000,0,0
2019-12-22 10:01:00+03:00,905.64,905.64,905.64,905.64,2000,0,0
2019-12-22 10:02:00+03:00,907.58,907.58,907.58,907.58,3948,0,0
2019-12-22 10:03:00+03:00,905.64,905.64,905.64,905.64,1974,0,0
2019-12-22 10:04:00+03:00,907.58,907.58,907.58,907.58,29082,0,0
2019-12-22 10:07:00+03:00,909.38,909.38,909.38,909.38,108941,0,0
2019-12-22 10:09:00+03:00,911.32,911.32,911.32,911.32,1855,0,0
2019-12-22 10:12:00+03:00,910.35,910.35,910.35,910.35,3882,0,0
2019-12-22 10:22:00+03:00,911.32,912.29,911.32,912.29,15883,0,0
2019-12-22 10:23:00+03:00,913.26,913.26,913.26,913.26,19117,0,0
2019-12-22 10:27:00+03:00,911.32,912.29,911.32,912.29,8500,0,0
2019-12-22 10:35:00+03:00,914.09,914.09,914.09,914.09,12423,0,0
2019-12-22 10:43:00+03:00,913.12,913.12,913.12,913.12,3000,0,0
2019-12-22 10:45:00+03:00,912.15,912.15,912.15,912.15,30630,0,0
2019-12-22 10:46:00+03:00,910.21,912.15,910.21,912.15,8024,0,0
2019-12-22 10:47:00+03:00,909.24,909.24,909.24,909.24,5000,0,0
2019-12-22 10:49:00+03:00,911.18,911.18,910.21,910.21,8000,0,0
2019-12-22 10:50:00+03:00,912.15,912.15,910.35,910.35,158905,0,0
2019-12-22 10:53:00+03:00,908.41,908.41,907.44,907.44,2500,0,0
2019-12-22 10:56:00+03:00,908.41,908.41,908.41,908.41,472,0,0
2019-12-22 11:01:00+03:00,911.18,911.18,911.18,911.18,13372,0,0
2019-12-22 11:04:00+03:00,909.38,910.35,909.38,910.35,7434,0,0
2019-12-22 11:05:00+03:00,909.38,909.38,909.38,909.38,6000,0,0
2019-12-22 11:14:00+03:00,910.35,910.35,910.35,910.35,6792,0,0
2019-12-22 11:15:00+03:00,909.38,909.38,909.38,909.38,1855,0,0
2019-12-22 11:16:00+03:00,908.41,908.41,908.41,908.41,6000,0,0
2019-12-22 11:17:00+03:00,909.38,909.38,909.38,909.38,4145,0,0
2019-12-22 11:19:00+03:00,911.18,911.18,911.18,911.18,54000,0,0
2019-12-22 11:21:00+03:00,912.15,912.15,912.15,912.15,13176,0,0
2019-12-22 11:24:00+03:00,913.12,913.12,912.15,912.15,48245,0,0
2019-12-22 11:25:00+03:00,913.12,913.12,913.12,913.12,2480,0,0
2019-12-22 11:26:00+03:00,912.15,912.15,912.15,912.15,9428,0,0
2019-12-22 11:27:00+03:00,911.18,912.15,911.18,912.15,10844,0,0
2019-12-22 11:33:00+03:00,910.35,910.35,909.38,910.35,19126,0,0
2019-12-22 11:34:00+03:00,908.41,908.41,908.41,908.41,2959,0,0
2019-12-22 11:36:00+03:00,907.44,907.44,907.44,907.44,43932,0,0
2019-12-22 11:39:00+03:00,908.41,908.41,908.41,908.41,14566,0,0
2019-12-22 11:45:00+03:00,909.38,909.38,909.38,909.38,6000,0,0
2019-12-22 11:54:00+03:00,910.35,910.35,910.35,910.35,34367,0,0
2019-12-22 11:57:00+03:00,909.38,909.38,909.38,909.38,3000,0,0
2019-12-22 11:59:00+03:00,910.35,910.35,907.44,907.44,11383,0,0
2019-12-22 12:04:00+03:00,908.41,908.41,908.41,908.41,268184,0,0
2019-12-22 12:09:00+03:00,909.38,909.38,909.38,909.38,165718,0,0
2019-12-22 12:10:00+03:00,910.35,910.35,910.35,910.35,15458,0,0
