Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-18 11:00:00-05:00,242.77,242.8,242.75,242.8,0,0,0
2019-12-18 11:01:00-05:00,242.83,242.83,242.78,242.78,8881,0,0
2019-12-18 11:02:00-05:00,242.76,242.78,242.76,242.76,5466,0,0
2019-12-18 11:03:00-05:00,242.79,242.79,242.75,242.76,2667,0,0
2019-12-18 11:04:00-05:00,242.81,242.86,242.81,242.84,28579,0,0
2019-12-18 11:05:00-05:00,242.87,242.98,242.87,242.98,53594,0,0
2019-12-18 11:06:00-05:00,242.98,242.98,242.9,242.9,11032,0,0
2019-12-18 11:07:00-05:00,242.87,242.9,242.83,242.83,11213,0,0
2019-12-18 11:08:00-05:00,242.79,242.8,242.78,242.78,8137,0,0
2019-12-18 11:09:00-05:00,242.82,242.82,242.72,242.72,62380,0,0
2019-12-18 11:10:00-05:00,242.78,242.81,242.77,242.77,11215,0,0
2019-12-18 11:11:00-05:00,242.79,242.8,242.79,242.8,5813,0,0
2019-12-18 11:12:00-05:00,242.78,242.8,242.75,242.78,16235,0,0
2019-12-18 11:13:00-05:00,242.81,242.83,242.81,242.83,7228,0,0
2019-12-18 11:14:00-05:00,242.84,242.88,242.84,242.87,5523,0,0
2019-12-18 11:17:00-05:00,243.01,243.04,243.01,243.04,31465,0,0
2019-12-18 11:18:00-05:00,242.96,242.96,242.92,242.92,9733,0,0
2019-12-18 11:19:00-05:00,242.92,242.95,242.92,242.92,9985,0,0
2019-12-18 11:20:00-05:00,242.92,242.95,242.92,242.94,7065,0,0
2019-12-18 11:21:00-05:00,242.94,242.96,242.88,242.96,15560,0,0
2019-12-18 11:22:00-05:00,243.01,243.01,242.98,242.98,3717,0,0
2019-12-18 11:23:00-05:00,242.95,243.0,242.95,242.98,2694,0,0
2019-12-18 11:24:00-05:00,242.98,243.11,242.98,243.11,31193,0,0
2019-12-18 11:25:00-05:00,243.11,243.16,243.11,243.12,6874,0,0
2019-12-18 11:26:00-05:00,243.12,243.12,243.04,243.04,6055,0,0
2019-12-18 11:27:00-05:00,243.04,243.07,243.04,243.05,3360,0,0
