Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-18 11:00:00-05:00,834.83,834.86,834.8,834.84,0,0,0
2019-12-18 11:01:00-05:00,834.83,834.83,834.77,834.8,0,0,0
2019-12-18 11:02:00-05:00,834.81,834.81,834.77,834.78,0,0,0
2019-12-18 11:03:00-05:00,834.79,834.92,834.75,834.88,0,0,0
2019-12-18 11:04:00-05:00,834.89,835.16,834.86,835.16,0,0,0
2019-12-18 11:05:00-05:00,835.16,835.16,835.08,835.11,0,0,0
2019-12-18 11:06:00-05:00,835.08,835.12,834.99,835.01,0,0,0
2019-12-18 11:07:00-05:00,835.02,835.03,834.97,835.0,0,0,0
2019-12-18 11:08:00-05:00,834.99,834.99,834.94,834.99,0,0,0
2019-12-18 11:09:00-05:00,834.97,834.97,834.86,834.9,0,0,0
2019-12-18 11:10:00-05:00,834.91,835.1,834.91,835.01,0,0,0
2019-12-18 11:11:00-05:00,835.0,835.08,834.96,835.06,0,0,0
2019-12-18 11:12:00-05:00,835.04,835.29,835.04,835.29,0,0,0
2019-12-18 11:13:00-05:00,835.27,835.47,835.23,835.43,0,0,0
2019-12-18 11:14:00-05:00,835.41,835.44,835.35,835.35,0,0,0
2019-12-18 11:15:00-05:00,835.35,835.49,835.35,835.47,0,0,0
2019-12-18 11:16:00-05:00,835.49,835.88,835.46,835.87,0,0,0
2019-12-18 11:17:00-05:00,835.86,836.14,835.86,836.13,0,0,0
2019-12-18 11:18:00-05:00,836.12,836.2,836.1,836.2,0,0,0
2019-12-18 11:19:00-05:00,836.24,836.3,836.15,836.16,0,0,0
2019-12-18 11:20:00-05:00,836.14,836.17,836.14,836.17,0,0,0
2019-12-18 11:21:00-05:00,836.21,836.22,836.18,836.22,0,0,0
2019-12-18 11:22:00-05:00,836.2,836.5,836.2,836.45,0,0,0
2019-12-18 11:23:00-05:00,836.44,836.52,836.44,836.47,0,0,0
2019-12-18 11:24:00-05:00,836.48,836.68,836.46,836.68,0,0,0
2019-12-18 11:25:00-05:00,836.67,836.89,836.67,836.85,0,0,0
2019-12-18 11:26:00-05:00,836.84,836.89,836.84,836.89,0,0,0
2019-12-18 11:27:00-05:00,836.88,836.91,836.86,836.86,0,0,0
2019-12-18 11:28:00-05:00,836.85,837.06,836.85,837.06,0,0,0
2019-12-18 11:29:00-05:00,837.06,837.12,836.99,836.99,0,0,0
2019-12-18 11:30:00-05:00,836.97,837.03,836.96,836.99,0,0,0
2019-12-18 11:31:00-05:00,836.98,836.98,836.7,836.7,0,0,0
2019-12-18 11:32:00-05:00,836.71,836.77,836.58,836.58,0,0,0
2019-12-18 11:33:00-05:00,836.54,836.65,836.47,836.47,0,0,0
2019-12-18 11:34:00-05:00,836.46,836.54,836.46,836.52,0,0,0
2019-12-18 11:35:00-05:00,836.52,836.54,836.49,836.49,0,0,0
2019-12-18 11:36:00-05:00,836.51,836.57,836.5,836.53,0,0,0
2019-12-18 11:37:00-05:00,836.5,836.5,836.41,836.41,0,0,0
2019-12-18 11:38:00-05:00,836.39,836.48,836.31,836.48,0,0,0
2019-12-18 11:39:00-05:00,836.49,836.62,836.49,836.62,0,0,0
2019-12-18 11:40:00-05:00,836.63,836.78,836.63,836.78,0,0,0
2019-12-18 11:41:00-05:00,836.76,836.92,836.75,836.92,0,0,0
2019-12-18 11:42:00-05:00,836.95,837.33,836.95,837.33,0,0,0
2019-12-18 11:43:00-05:00,837.35,837.44,837.35,837.38,0,0,0
2019-12-18 11:44:00-05:00,837.41,837.42,837.32,837.32,0,0,0
2019-12-18 11:45:00-05:00,837.29,837.48,837.29,837.43,0,0,0
2019-12-18 11:46:00-05:00,837.41,837.56,837.41,837.56,0,0,0
2019-12-18 11:47:00-05:00,837.56,837.56,837.52,837.55,0,0,0
2019-12-18 11:48:00-05:00,837.55,837.55,837.42,837.42,0,0,0
2019-12-18 11:49:00-05:00,837.47,837.48,837.28,837.33,0,0,0
2019-12-18 11:50:00-05:00,837.32,837.32,837.23,837.25,0,0,0
2019-12-18 11:51:00-05:00,837.25,837.26,837.05,837.05,0,0,0
2019-12-18 11:52:00-05:00,837.04,837.04,836.96,836.96,0,0,0
2019-12-18 11:53:00-05:00,837.01,837.07,836.99,837.03,0,0,0
2019-12-18 11:54:00-05:00,836.98,837.0,836.86,836.86,0,0,0
2019-12-18 11:55:00-05:00,836.84,836.84,836.61,836.62,0,0,0
2019-12-18 11:56:00-05:00,836.59,836.62,836.48,836.48,0,0,0
2019-12-18 11:57:00-05:00,836.45,836.49,836.45,836.49,0,0,0
2019-12-18 11:58:00-05:00,836.49,836.79,836.49,836.79,0,0,0
2019-12-18 11:59:00-05:00,836.82,836.84,836.74,836.74,0,0,0
2019-12-18 12:00:00-05:00,836.72,836.79,836.66,836.79,0,0,0
2019-12-18 12:01:00-05:00,836.81,836.81,836.74,836.74,0,0,0
2019-12-18 12:02:00-05:00,836.73,836.74,836.63,836.64,0,0,0
2019-12-18 12:03:00-05:00,836.66,836.7,836.62,836.69,0,0,0
2019-12-18 12:04:00-05:00,836.68,836.74,836.68,836.72,0,0,0
2019-12-18 12:05:00-05:00,836.73,836.73,836.68,836.7,0,0,0
2019-12-18 12:06:00-05:00,836.75,836.97,836.75,836.97,0,0,0
2019-12-18 12:07:00-05:00,836.97,837.17,836.97,837.14,0,0,0
2019-12-18 12:08:00-05:00,837.1,837.15,837.04,837.08,0,0,0
2019-12-18 12:09:00-05:00,837.08,837.15,837.08,837.12,0,0,0
2019-12-18 12:10:00-05:00,837.13,837.17,837.03,837.03,0,0,0
2019-12-18 12:11:00-05:00,837.04,837.11,837.02,837.11,0,0,0
2019-12-18 12:12:00-05:00,837.11,837.25,837.1,837.23,0,0,0
2019-12-18 12:13:00-05:00,837.23,837.3,837.23,837.26,0,0,0
2019-12-18 12:14:00-05:00,837.33,837.33,837.33,837.33,0,0,0
2019-12-18 12:18:00-05:00,837.4,837.53,837.4,837.53,0,0,0
2019-12-18 12:19:00-05:00,837.53,837.56,837.47,837.51,0,0,0
2019-12-18 12:20:00-05:00,837.51,837.61,837.51,837.52,0,0,0
2019-12-18 12:21:00-05:00,837.54,837.55,837.51,837.52,0,0,0
2019-12-18 12:22:00-05:00,837.53,837.53,837.43,837.47,0,0,0
2019-12-18 12:23:00-05:00,837.48,837.48,837.23,837.23,0,0,0
2019-12-18 12:24:00-05:00,837.22,837.23,837.17,837.17,0,0,0
2019-12-18 12:25:00-05:00,837.13,837.13,837.05,837.07,0,0,0
2019-12-18 12:26:00-05:00,837.02,837.02,837.0,837.02,0,0,0
