Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-18 11:00:00-05:00,158.98,159.0,158.98,158.99,0,0,0
2019-12-18 11:01:00-05:00,158.99,158.99,158.99,158.99,0,0,0
2019-12-18 11:02:00-05:00,158.98,159.0,158.98,159.0,0,0,0
2019-12-18 11:03:00-05:00,158.99,158.99,158.98,158.99,0,0,0
2019-12-18 11:04:00-05:00,158.99,158.99,158.96,158.96,0,0,0
2019-12-18 11:05:00-05:00,158.96,158.98,158.95,158.96,0,0,0
2019-12-18 11:06:00-05:00,158.97,158.98,158.97,158.98,0,0,0
2019-12-18 11:07:00-05:00,158.98,159.0,158.98,159.0,0,0,0
2019-12-18 11:08:00-05:00,159.0,159.01,159.0,159.01,0,0,0
2019-12-18 11:09:00-05:00,159.01,159.03,159.01,159.02,0,0,0
2019-12-18 11:10:00-05:00,159.02,159.03,159.02,159.03,0,0,0
2019-12-18 11:11:00-05:00,159.03,159.04,159.03,159.04,0,0,0
2019-12-18 11:12:00-05:00,159.04,159.04,159.01,159.01,0,0,0
2019-12-18 11:13:00-05:00,159.02,159.02,159.0,159.01,0,0,0
2019-12-18 11:14:00-05:00,159.02,159.02,159.0,159.0,0,0,0
2019-12-18 11:15:00-05:00,159.0,159.0,158.98,158.98,0,0,0
2019-12-18 11:16:00-05:00,158.97,158.97,158.89,158.89,0,0,0
2019-12-18 11:17:00-05:00,158.89,158.89,158.85,158.87,0,0,0
2019-12-18 11:18:00-05:00,158.87,158.9,158.87,158.88,0,0,0
2019-12-18 11:19:00-05:00,158.89,158.9,158.88,158.88,0,0,0
2019-12-18 11:20:00-05:00,158.88,158.89,158.88,158.89,0,0,0
2019-12-18 11:21:00-05:00,158.87,158.88,158.87,158.87,0,0,0
2019-12-18 11:22:00-05:00,158.87,158.88,158.87,158.88,0,0,0
2019-12-18 11:23:00-05:00,158.88,158.91,158.88,158.91,0,0,0
2019-12-18 11:24:00-05:00,158.91,158.91,158.89,158.89,0,0,0
2019-12-18 11:25:00-05:00,158.89,158.89,158.88,158.89,0,0,0
2019-12-18 11:26:00-05:00,158.89,158.9,158.89,158.9,0,0,0
2019-12-18 11:27:00-05:00,158.9,158.9,158.89,158.89,0,0,0
2019-12-18 11:28:00-05:00,158.89,158.89,158.88,158.88,0,0,0
2019-12-18 11:29:00-05:00,158.88,158.9,158.87,158.89,0,0,0
2019-12-18 11:30:00-05:00,158.9,158.9,158.88,158.89,0,0,0
2019-12-18 11:31:00-05:00,158.88,158.9,158.88,158.9,0,0,0
2019-12-18 11:32:00-05:00,158.89,158.92,158.89,158.91,0,0,0
2019-12-18 11:33:00-05:00,158.92,158.94,158.92,158.94,0,0,0
2019-12-18 11:34:00-05:00,158.94,158.97,158.94,158.97,0,0,0
2019-12-18 11:35:00-05:00,158.97,158.97,158.97,158.97,0,0,0
2019-12-18 11:36:00-05:00,158.97,158.97,158.94,158.94,0,0,0
2019-12-18 11:37:00-05:00,158.95,158.97,158.95,158.96,0,0,0
2019-12-18 11:38:00-05:00,158.96,158.96,158.94,158.95,0,0,0
2019-12-18 11:39:00-05:00,158.95,158.97,158.94,158.97,0,0,0
2019-12-18 11:40:00-05:00,158.97,158.97,158.96,158.97,0,0,0
2019-12-18 11:41:00-05:00,158.98,158.99,158.98,158.98,0,0,0
2019-12-18 11:42:00-05:00,158.98,158.98,158.95,158.95,0,0,0
2019-12-18 11:43:00-05:00,158.95,158.99,158.95,158.99,0,0,0
2019-12-18 11:44:00-05:00,158.99,159.0,158.98,159.0,0,0,0
2019-12-18 11:45:00-05:00,159.0,159.0,158.97,158.99,0,0,0
2019-12-18 11:46:00-05:00,158.99,158.99,158.98,158.98,0,0,0
2019-12-18 11:47:00-05:00,158.98,158.99,158.97,158.99,0,0,0
2019-12-18 11:48:00-05:00,158.99,159.0,158.98,158.99,0,0,0
2019-12-18 11:49:00-05:00,158.99,159.0,158.99,158.99,0,0,0
2019-12-18 11:50:00-05:00,159.0,159.02,159.0,159.02,0,0,0
