Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-18 08:02:00+01:00,5.58,5.58,5.58,5.58,0,0,0
2019-12-18 10:55:00+01:00,5.69,5.69,5.69,5.69,0,0,0
2019-12-18 13:57:00+01:00,5.63,5.63,5.63,5.63,0,0,0
2019-12-18 15:39:00+01:00,5.64,5.64,5.64,5.64,0,0,0
2019-12-18 16:06:00+01:00,5.64,5.64,5.64,5.64,0,0,0
2019-12-18 16:47:00+01:00,5.64,5.64,5.64,5.64,0,0,0
2019-12-19 08:02:00+01:00,5.65,5.65,5.65,5.65,0,0,0
2019-12-20 08:03:00+01:00,5.7,5.7,5.7,5.7,0,0,0
2019-12-20 09:21:00+01:00,5.74,5.74,5.74,5.74,0,0,0
2019-12-23 08:05:00+01:00,5.57,5.57,5.57,5.57,0,0,0
2019-12-23 09:11:00+01:00,5.59,5.59,5.59,5.59,0,0,0
2019-12-23 11:05:00+01:00,5.51,5.51,5.51,5.51,0,0,0
2019-12-23 12:44:00+01:00,5.52,5.52,5.52,5.52,0,0,0
2019-12-23 13:46:00+01:00,5.51,5.51,5.51,5.51,0,0,0
2019-12-23 14:47:00+01:00,5.51,5.51,5.51,5.51,0,0,0
2019-12-27 08:06:00+01:00,5.61,5.61,5.61,5.61,0,0,0
2019-12-27 10:51:00+01:00,5.81,5.81,5.81,5.81,0,0,0
2019-12-27 11:08:00+01:00,5.81,5.81,5.81,5.81,0,0,0
2019-12-27 12:27:00+01:00,5.79,5.79,5.79,5.79,0,0,0
2019-12-27 12:37:00+01:00,5.79,5.79,5.79,5.79,0,0,0
2019-12-27 12:45:00+01:00,5.78,5.78,5.78,5.78,0,0,0
2019-12-30 08:07:00+01:00,5.73,5.73,5.73,5.73,0,0,0
2019-12-30 10:22:00+01:00,5.74,5.74,5.74,5.74,0,0,0
2019-12-30 13:02:00+01:00,5.75,5.75,5.75,5.75,0,0,0
2020-01-02 08:27:00+01:00,5.71,5.71,5.71,5.71,0,0,0
2020-01-02 09:51:00+01:00,5.78,5.78,5.78,5.78,0,0,0
2020-01-03 08:02:00+01:00,5.91,5.91,5.91,5.91,0,0,0
2020-01-03 10:12:00+01:00,5.79,5.79,5.79,5.79,0,0,0
2020-01-03 11:16:00+01:00,5.85,5.85,5.85,5.85,0,0,0
2020-01-03 12:16:00+01:00,5.86,5.86,5.86,5.86,0,0,0
2020-01-03 15:16:00+01:00,5.88,5.88,5.88,5.88,0,0,0
2020-01-03 16:16:00+01:00,5.91,5.91,5.91,5.91,0,0,0
2020-01-06 08:06:00+01:00,5.89,5.89,5.89,5.89,0,0,0
