Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 11:01:00-05:00,11.24,11.25,11.24,11.24,0,0,0
2019-12-17 11:02:00-05:00,11.24,11.25,11.24,11.25,5231,0,0
2019-12-17 11:03:00-05:00,11.25,11.27,11.25,11.27,5193,0,0
2019-12-17 11:04:00-05:00,11.26,11.27,11.26,11.27,1506,0,0
2019-12-17 11:05:00-05:00,11.27,11.28,11.27,11.27,2429,0,0
2019-12-17 11:06:00-05:00,11.27,11.28,11.27,11.28,3227,0,0
2019-12-17 11:07:00-05:00,11.27,11.28,11.27,11.28,5080,0,0
2019-12-17 11:08:00-05:00,11.28,11.29,11.27,11.28,14259,0,0
2019-12-17 11:09:00-05:00,11.28,11.29,11.28,11.28,3725,0,0
2019-12-17 11:10:00-05:00,11.28,11.29,11.28,11.28,850,0,0
2019-12-17 11:11:00-05:00,11.28,11.3,11.28,11.3,7343,0,0
2019-12-17 11:12:00-05:00,11.3,11.3,11.28,11.29,4132,0,0
2019-12-17 11:13:00-05:00,11.28,11.3,11.28,11.28,9048,0,0
2019-12-17 11:14:00-05:00,11.29,11.3,11.29,11.29,2301,0,0
2019-12-17 11:15:00-05:00,11.29,11.3,11.29,11.29,820,0,0
2019-12-17 11:16:00-05:00,11.29,11.29,11.28,11.29,4858,0,0
2019-12-17 11:17:00-05:00,11.29,11.3,11.29,11.3,1462,0,0
2019-12-17 11:18:00-05:00,11.29,11.3,11.29,11.29,844,0,0
2019-12-17 11:19:00-05:00,11.3,11.31,11.3,11.31,14068,0,0
2019-12-17 11:20:00-05:00,11.3,11.31,11.29,11.31,6259,0,0
2019-12-17 11:21:00-05:00,11.31,11.31,11.31,11.31,1578,0,0
2019-12-17 11:22:00-05:00,11.31,11.31,11.3,11.3,2052,0,0
2019-12-17 11:23:00-05:00,11.3,11.31,11.3,11.31,4972,0,0
2019-12-17 11:24:00-05:00,11.3,11.31,11.3,11.3,664,0,0
2019-12-17 11:25:00-05:00,11.3,11.3,11.29,11.3,4318,0,0
2019-12-17 11:26:00-05:00,11.3,11.3,11.29,11.29,1109,0,0
2019-12-17 11:27:00-05:00,11.29,11.3,11.29,11.29,8785,0,0
2019-12-17 11:29:00-05:00,11.3,11.3,11.29,11.29,3011,0,0
2019-12-17 11:30:00-05:00,11.29,11.3,11.29,11.3,7224,0,0
2019-12-17 11:31:00-05:00,11.3,11.3,11.29,11.29,10523,0,0
2019-12-17 11:32:00-05:00,11.29,11.3,11.28,11.3,19899,0,0
2019-12-17 11:33:00-05:00,11.3,11.3,11.29,11.3,2989,0,0
2019-12-17 11:34:00-05:00,11.3,11.3,11.3,11.3,865,0,0
2019-12-17 11:35:00-05:00,11.3,11.31,11.3,11.3,5692,0,0
2019-12-17 11:36:00-05:00,11.29,11.29,11.28,11.28,940,0,0
2019-12-17 11:37:00-05:00,11.28,11.29,11.28,11.28,5083,0,0
2019-12-17 11:38:00-05:00,11.28,11.29,11.28,11.29,5001,0,0
2019-12-17 11:39:00-05:00,11.28,11.3,11.28,11.3,4119,0,0
2019-12-17 11:40:00-05:00,11.3,11.3,11.3,11.3,1203,0,0
2019-12-17 11:41:00-05:00,11.3,11.32,11.3,11.32,6052,0,0
2019-12-17 11:42:00-05:00,11.31,11.31,11.31,11.31,1450,0,0
2019-12-17 11:43:00-05:00,11.31,11.32,11.31,11.32,4574,0,0
2019-12-17 11:44:00-05:00,11.31,11.31,11.31,11.31,430,0,0
2019-12-17 11:45:00-05:00,11.31,11.31,11.3,11.3,3839,0,0
2019-12-17 11:46:00-05:00,11.3,11.31,11.3,11.3,9793,0,0
2019-12-17 11:47:00-05:00,11.3,11.3,11.3,11.3,975,0,0
2019-12-17 11:48:00-05:00,11.3,11.32,11.3,11.31,6607,0,0
2019-12-17 11:49:00-05:00,11.31,11.31,11.3,11.3,5300,0,0
