Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 11:17:00-05:00,17.65,17.65,17.65,17.65,0,0.0,0
2019-12-17 11:41:00-05:00,17.64,17.64,17.64,17.64,304,0.0,0
2019-12-17 11:56:00-05:00,17.65,17.65,17.65,17.65,678,0.0,0
2019-12-18 09:30:00-05:00,17.73,17.73,17.73,17.73,0,0.0,0
2019-12-18 09:50:00-05:00,17.66,17.66,17.66,17.66,820,0.0,0
2019-12-18 09:53:00-05:00,17.68,17.68,17.68,17.68,0,0.0,0
2019-12-18 09:58:00-05:00,17.7,17.7,17.7,17.7,3856,0.0,0
2019-12-18 10:13:00-05:00,17.69,17.69,17.69,17.69,711,0.0,0
2019-12-18 10:30:00-05:00,17.71,17.71,17.71,17.71,575,0.0,0
2019-12-18 10:58:00-05:00,17.75,17.75,17.75,17.75,584,0.0,0
2019-12-18 11:23:00-05:00,17.74,17.74,17.74,17.74,344,0.0,0
2019-12-18 11:39:00-05:00,17.77,17.77,17.77,17.77,851,0.0,0
2019-12-18 12:06:00-05:00,17.74,17.74,17.74,17.74,1415,0.0,0
2019-12-18 12:42:00-05:00,17.72,17.72,17.72,17.72,2216,0.0,0
2019-12-18 12:51:00-05:00,17.74,17.74,17.74,17.74,154,0.0,0
2019-12-18 12:53:00-05:00,17.71,17.71,17.71,17.71,306,0.0,0
2019-12-18 12:57:00-05:00,17.71,17.71,17.71,17.71,549,0.0,0
2019-12-18 13:30:00-05:00,17.7,17.7,17.7,17.7,1392,0.0,0
2019-12-18 14:42:00-05:00,17.67,17.67,17.67,17.67,782,0.0,0
2019-12-18 15:23:00-05:00,17.73,17.73,17.73,17.73,647,0.0,0
2019-12-18 15:32:00-05:00,17.7,17.74,17.7,17.73,3170,0.0,0
2019-12-18 15:43:00-05:00,17.73,17.73,17.7,17.7,706,0.0,0
2019-12-19 09:30:00-05:00,17.75,17.75,17.75,17.75,0,0.0,0
2019-12-19 10:47:00-05:00,17.75,17.75,17.75,17.75,350,0.0,0
2019-12-19 11:42:00-05:00,17.82,17.82,17.82,17.82,489,0.0,0
2019-12-19 14:27:00-05:00,17.81,17.83,17.81,17.81,3411,0.0,0
2019-12-19 15:05:00-05:00,17.84,17.84,17.84,17.84,336,0.0,0
2019-12-20 09:30:00-05:00,17.9,17.9,17.9,17.9,0,0.0,0
2019-12-20 09:32:00-05:00,17.99,17.99,17.99,17.99,720,0.0,0
2019-12-20 09:53:00-05:00,17.9,17.9,17.9,17.9,216,0.0,0
2019-12-20 09:54:00-05:00,17.9,17.9,17.9,17.9,248,0.0,0
2019-12-20 10:00:00-05:00,17.91,17.91,17.91,17.91,415,0.0,0
2019-12-20 10:19:00-05:00,17.9,17.9,17.9,17.9,413,0.0,0
2019-12-20 10:47:00-05:00,17.9,17.91,17.9,17.91,959,0.0,0
2019-12-20 10:55:00-05:00,17.92,17.92,17.92,17.92,1108,0.0,0
2019-12-20 12:33:00-05:00,17.95,17.95,17.95,17.95,1135,0.0,0
2019-12-20 13:50:00-05:00,17.93,17.93,17.93,17.93,242,0.0,0
2019-12-20 14:03:00-05:00,17.97,17.97,17.97,17.97,253,0.0,0
2019-12-20 14:05:00-05:00,17.95,17.95,17.95,17.95,783,0.0,0
2019-12-20 14:35:00-05:00,17.95,17.95,17.95,17.95,252,0.0,0
2019-12-20 14:43:00-05:00,17.94,17.94,17.93,17.94,540,0.0,0
2019-12-20 14:53:00-05:00,17.96,17.96,17.96,17.96,216,0.0,0
2019-12-20 14:54:00-05:00,17.93,17.93,17.93,17.93,1280,0.0,0
2019-12-20 15:43:00-05:00,17.95,17.95,17.95,17.95,777,0.0,0
2019-12-23 09:30:00-05:00,18.0,18.0,18.0,18.0,0,0.0,0
2019-12-23 09:35:00-05:00,17.97,17.97,17.97,17.97,300,0.0,0
2019-12-23 09:40:00-05:00,18.0,18.0,18.0,18.0,1001,0.0,0
2019-12-23 09:59:00-05:00,18.01,18.01,18.01,18.01,395,0.0,0
2019-12-23 10:23:00-05:00,17.99,17.99,17.99,17.99,1016,0.0,0
2019-12-23 11:22:00-05:00,18.02,18.02,18.02,18.02,300,0.0,0
2019-12-23 11:31:00-05:00,18.03,18.03,18.01,18.01,323,0.0,0
2019-12-23 11:32:00-05:00,18.01,18.01,18.0,18.0,1408,0.0,0
2019-12-23 11:34:00-05:00,18.03,18.03,18.03,18.03,103,0.0,0
2019-12-23 11:39:00-05:00,18.01,18.01,18.01,18.01,282,0.0,0
2019-12-23 12:02:00-05:00,18.04,18.04,18.04,18.04,108,0.0,0
2019-12-23 12:13:00-05:00,18.03,18.03,18.03,18.03,351,0.0,0
2019-12-23 12:23:00-05:00,18.05,18.05,18.05,18.05,251,0.0,0
2019-12-23 12:49:00-05:00,18.05,18.05,18.04,18.04,417,0.0,0
2019-12-23 13:08:00-05:00,18.04,18.04,18.04,18.04,111,0.0,0
2019-12-23 13:45:00-05:00,18.04,18.05,18.04,18.05,500,0.0,0
2019-12-23 14:34:00-05:00,18.03,18.03,18.03,18.03,210,0.0,0
2019-12-23 14:56:00-05:00,18.05,18.05,18.05,18.05,500,0.0,0
2019-12-23 15:13:00-05:00,18.04,18.04,18.04,18.04,289,0.0,0
2019-12-23 15:47:00-05:00,18.03,18.03,18.03,18.03,100,0.0,0
2019-12-23 15:48:00-05:00,18.03,18.03,18.03,18.03,767,0.0,0
2019-12-24 09:30:00-05:00,18.09,18.09,18.09,18.09,0,0.0,0
2019-12-24 09:42:00-05:00,18.01,18.01,18.01,18.01,238,0.0,0
2019-12-24 09:46:00-05:00,18.02,18.02,18.02,18.02,301,0.0,0
2019-12-24 09:49:00-05:00,18.03,18.03,18.03,18.03,350,0.0,0
2019-12-24 09:50:00-05:00,18.0,18.0,18.0,18.0,250,0.0,0
2019-12-24 09:51:00-05:00,17.94,17.94,17.94,17.94,472,0.0,0
2019-12-24 09:52:00-05:00,18.0,18.0,18.0,18.0,300,0.0,0
2019-12-24 10:06:00-05:00,17.97,17.97,17.97,17.97,462,0.0,0
2019-12-24 10:17:00-05:00,17.98,17.98,17.98,17.98,302,0.0,0
