Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 11:00:00-05:00,31.68,31.74,31.68,31.72,0,0,0
2019-12-17 11:01:00-05:00,31.71,31.73,31.68,31.73,28939,0,0
2019-12-17 11:02:00-05:00,31.74,31.74,31.71,31.72,9797,0,0
2019-12-17 11:03:00-05:00,31.72,31.72,31.67,31.69,23032,0,0
2019-12-17 11:04:00-05:00,31.69,31.72,31.69,31.72,3850,0,0
2019-12-17 11:05:00-05:00,31.72,31.72,31.7,31.71,7419,0,0
2019-12-17 11:06:00-05:00,31.72,31.73,31.72,31.72,2341,0,0
2019-12-17 11:07:00-05:00,31.73,31.73,31.69,31.69,10523,0,0
2019-12-17 11:08:00-05:00,31.68,31.69,31.67,31.69,23352,0,0
2019-12-17 11:09:00-05:00,31.68,31.69,31.68,31.69,1449,0,0
2019-12-17 11:10:00-05:00,31.69,31.69,31.69,31.69,2489,0,0
2019-12-17 11:11:00-05:00,31.7,31.72,31.69,31.72,3960,0,0
2019-12-17 11:12:00-05:00,31.73,31.75,31.7,31.7,15838,0,0
2019-12-17 11:13:00-05:00,31.7,31.73,31.69,31.73,17327,0,0
2019-12-17 11:14:00-05:00,31.73,31.73,31.72,31.72,5504,0,0
2019-12-17 11:15:00-05:00,31.71,31.71,31.7,31.71,1992,0,0
2019-12-17 11:16:00-05:00,31.71,31.72,31.7,31.7,2712,0,0
2019-12-17 11:17:00-05:00,31.71,31.72,31.71,31.71,1766,0,0
2019-12-17 11:18:00-05:00,31.71,31.72,31.7,31.71,3240,0,0
2019-12-17 11:19:00-05:00,31.71,31.72,31.71,31.71,7711,0,0
2019-12-17 11:20:00-05:00,31.7,31.7,31.7,31.7,762,0,0
2019-12-17 11:21:00-05:00,31.7,31.7,31.7,31.7,400,0,0
2019-12-17 11:22:00-05:00,31.71,31.72,31.7,31.72,6115,0,0
2019-12-17 11:23:00-05:00,31.72,31.72,31.72,31.72,283,0,0
2019-12-17 11:24:00-05:00,31.72,31.72,31.72,31.72,970,0,0
2019-12-17 11:25:00-05:00,31.72,31.72,31.72,31.72,928,0,0
2019-12-17 11:26:00-05:00,31.72,31.72,31.72,31.72,1242,0,0
2019-12-17 11:27:00-05:00,31.72,31.74,31.71,31.72,18003,0,0
2019-12-17 11:28:00-05:00,31.68,31.72,31.68,31.71,42530,0,0
2019-12-17 11:29:00-05:00,31.72,31.72,31.71,31.71,6777,0,0
2019-12-17 11:30:00-05:00,31.7,31.72,31.7,31.7,5287,0,0
2019-12-17 11:31:00-05:00,31.71,31.72,31.7,31.72,2660,0,0
2019-12-17 11:32:00-05:00,31.72,31.72,31.72,31.72,499,0,0
2019-12-17 11:33:00-05:00,31.72,31.72,31.72,31.72,858,0,0
2019-12-17 11:34:00-05:00,31.72,31.72,31.7,31.7,7268,0,0
2019-12-17 11:35:00-05:00,31.71,31.73,31.7,31.73,5746,0,0
2019-12-17 11:36:00-05:00,31.72,31.73,31.68,31.69,24675,0,0
2019-12-17 11:37:00-05:00,31.69,31.72,31.69,31.7,7611,0,0
2019-12-17 11:38:00-05:00,31.7,31.74,31.7,31.72,9868,0,0
2019-12-17 11:39:00-05:00,31.72,31.73,31.68,31.69,13211,0,0
2019-12-17 11:40:00-05:00,31.68,31.7,31.68,31.68,24532,0,0
2019-12-17 11:41:00-05:00,31.68,31.68,31.67,31.68,13272,0,0
2019-12-17 11:42:00-05:00,31.68,31.68,31.68,31.68,6137,0,0
2019-12-17 11:43:00-05:00,31.68,31.7,31.68,31.7,61148,0,0
2019-12-17 11:44:00-05:00,31.69,31.69,31.69,31.69,2257,0,0
2019-12-17 11:45:00-05:00,31.69,31.7,31.69,31.7,1218,0,0
2019-12-17 11:46:00-05:00,31.7,31.75,31.69,31.75,17339,0,0
2019-12-17 11:47:00-05:00,31.74,31.75,31.69,31.74,23161,0,0
2019-12-17 11:48:00-05:00,31.74,31.74,31.73,31.74,828,0,0
2019-12-17 11:49:00-05:00,31.73,31.73,31.71,31.71,2344,0,0
2019-12-17 11:50:00-05:00,31.72,31.73,31.71,31.72,4403,0,0
2019-12-17 11:51:00-05:00,31.71,31.72,31.71,31.72,1895,0,0
2019-12-17 11:52:00-05:00,31.72,31.72,31.71,31.71,391,0,0
2019-12-17 11:53:00-05:00,31.72,31.72,31.71,31.72,2554,0,0
2019-12-17 11:54:00-05:00,31.73,31.75,31.71,31.73,10788,0,0
2019-12-17 11:55:00-05:00,31.73,31.75,31.73,31.75,8255,0,0
2019-12-17 11:56:00-05:00,31.75,31.75,31.75,31.75,1076,0,0
2019-12-17 11:58:00-05:00,31.75,31.77,31.75,31.77,6663,0,0
2019-12-17 11:59:00-05:00,31.77,31.81,31.77,31.81,6167,0,0
2019-12-17 12:00:00-05:00,31.81,31.81,31.78,31.78,10085,0,0
2019-12-17 12:01:00-05:00,31.78,31.79,31.78,31.78,1334,0,0
2019-12-17 12:02:00-05:00,31.79,31.79,31.79,31.79,200,0,0
2019-12-17 12:03:00-05:00,31.78,31.78,31.78,31.78,2529,0,0
2019-12-17 12:04:00-05:00,31.79,31.83,31.78,31.83,29172,0,0
2019-12-17 12:05:00-05:00,31.83,31.83,31.8,31.81,9957,0,0
2019-12-17 12:06:00-05:00,31.81,31.81,31.79,31.8,2899,0,0
2019-12-17 12:07:00-05:00,31.8,31.8,31.79,31.79,2169,0,0
2019-12-17 12:08:00-05:00,31.8,31.8,31.8,31.8,812,0,0
2019-12-17 12:09:00-05:00,31.8,31.82,31.8,31.82,11322,0,0
2019-12-17 12:10:00-05:00,31.82,31.82,31.82,31.82,2261,0,0
2019-12-17 12:11:00-05:00,31.81,31.82,31.77,31.8,30758,0,0
2019-12-17 12:12:00-05:00,31.81,31.81,31.81,31.81,986,0,0
2019-12-17 12:13:00-05:00,31.81,31.82,31.8,31.82,2932,0,0
2019-12-17 12:14:00-05:00,31.82,31.84,31.82,31.83,6270,0,0
2019-12-17 12:15:00-05:00,31.82,31.82,31.81,31.82,6191,0,0
2019-12-17 12:16:00-05:00,31.82,31.83,31.82,31.83,1625,0,0
2019-12-17 12:17:00-05:00,31.83,31.83,31.82,31.83,4288,0,0
2019-12-17 12:18:00-05:00,31.83,31.83,31.83,31.83,699,0,0
2019-12-17 12:19:00-05:00,31.83,31.84,31.83,31.84,6383,0,0
2019-12-17 12:20:00-05:00,31.85,31.91,31.84,31.88,24323,0,0
2019-12-17 12:21:00-05:00,31.88,31.9,31.88,31.88,8564,0,0
2019-12-17 12:22:00-05:00,31.87,31.89,31.87,31.87,2730,0,0
2019-12-17 12:23:00-05:00,31.88,31.89,31.88,31.89,1294,0,0
2019-12-17 12:24:00-05:00,31.89,31.89,31.87,31.88,5015,0,0
2019-12-17 12:25:00-05:00,31.88,31.89,31.87,31.89,5249,0,0
2019-12-17 12:26:00-05:00,31.89,31.89,31.88,31.88,911,0,0
2019-12-17 12:27:00-05:00,31.89,31.89,31.88,31.89,802,0,0
2019-12-17 12:28:00-05:00,31.89,31.89,31.88,31.89,594,0,0
2019-12-17 12:29:00-05:00,31.89,31.89,31.83,31.84,20437,0,0
2019-12-17 12:30:00-05:00,31.84,31.85,31.84,31.84,3955,0,0
2019-12-17 12:31:00-05:00,31.84,31.84,31.84,31.84,1612,0,0
