Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 11:00:00-05:00,60.53,60.53,60.51,60.52,0,0,0
2019-12-17 11:01:00-05:00,60.52,60.54,60.52,60.54,5565,0,0
2019-12-17 11:02:00-05:00,60.54,60.55,60.53,60.54,16374,0,0
2019-12-17 11:03:00-05:00,60.53,60.56,60.53,60.53,7075,0,0
2019-12-17 11:04:00-05:00,60.53,60.53,60.51,60.51,15661,0,0
2019-12-17 11:05:00-05:00,60.51,60.52,60.5,60.51,4273,0,0
2019-12-17 11:06:00-05:00,60.52,60.52,60.5,60.51,8634,0,0
2019-12-17 11:07:00-05:00,60.51,60.51,60.49,60.49,13557,0,0
2019-12-17 11:08:00-05:00,60.49,60.49,60.47,60.47,12239,0,0
2019-12-17 11:09:00-05:00,60.47,60.47,60.41,60.43,11703,0,0
2019-12-17 11:10:00-05:00,60.42,60.43,60.4,60.41,13903,0,0
2019-12-17 11:11:00-05:00,60.42,60.43,60.4,60.41,9161,0,0
2019-12-17 11:12:00-05:00,60.42,60.45,60.42,60.44,14789,0,0
2019-12-17 11:13:00-05:00,60.43,60.44,60.43,60.44,4753,0,0
2019-12-17 11:14:00-05:00,60.44,60.44,60.4,60.42,6108,0,0
2019-12-17 11:15:00-05:00,60.42,60.47,60.41,60.44,16346,0,0
2019-12-17 11:16:00-05:00,60.44,60.45,60.42,60.44,5077,0,0
2019-12-17 11:17:00-05:00,60.44,60.44,60.42,60.42,13217,0,0
2019-12-17 11:18:00-05:00,60.43,60.44,60.4,60.42,8668,0,0
2019-12-17 11:19:00-05:00,60.41,60.42,60.41,60.42,4923,0,0
2019-12-17 11:20:00-05:00,60.42,60.44,60.42,60.43,13266,0,0
2019-12-17 11:21:00-05:00,60.42,60.42,60.42,60.42,4648,0,0
2019-12-17 11:22:00-05:00,60.42,60.42,60.37,60.37,37099,0,0
2019-12-17 11:23:00-05:00,60.37,60.37,60.3,60.31,5137,0,0
2019-12-17 11:24:00-05:00,60.31,60.32,60.3,60.32,8468,0,0
2019-12-17 11:25:00-05:00,60.32,60.38,60.31,60.36,19729,0,0
2019-12-17 11:26:00-05:00,60.36,60.37,60.32,60.32,11034,0,0
2019-12-17 11:27:00-05:00,60.33,60.35,60.33,60.35,5232,0,0
2019-12-17 11:29:00-05:00,60.33,60.33,60.3,60.33,16590,0,0
2019-12-17 11:30:00-05:00,60.33,60.33,60.31,60.31,6437,0,0
2019-12-17 11:31:00-05:00,60.31,60.32,60.31,60.31,8382,0,0
2019-12-17 11:32:00-05:00,60.31,60.32,60.31,60.31,5382,0,0
2019-12-17 11:33:00-05:00,60.31,60.31,60.28,60.29,5910,0,0
2019-12-17 11:34:00-05:00,60.29,60.31,60.29,60.31,10047,0,0
2019-12-17 11:35:00-05:00,60.32,60.36,60.32,60.36,12934,0,0
2019-12-17 11:36:00-05:00,60.35,60.36,60.33,60.36,9389,0,0
