Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 11:02:00-05:00,39.7,39.7,39.7,39.7,0,0,0
2019-12-17 11:11:00-05:00,39.67,39.67,39.67,39.67,135,0,0
2019-12-17 11:19:00-05:00,39.65,39.67,39.65,39.67,503,0,0
2019-12-17 11:20:00-05:00,39.6,39.6,39.6,39.6,299,0,0
2019-12-17 11:32:00-05:00,39.43,39.55,39.43,39.45,845,0,0
2019-12-17 11:33:00-05:00,39.55,39.55,39.55,39.55,184,0,0
2019-12-17 12:19:00-05:00,39.59,39.6,39.59,39.6,1026,0,0
2019-12-17 13:33:00-05:00,39.54,39.54,39.54,39.54,591,0,0
2019-12-17 13:40:00-05:00,39.54,39.54,39.54,39.54,101,0,0
2019-12-17 13:42:00-05:00,39.54,39.54,39.54,39.54,295,0,0
2019-12-17 13:51:00-05:00,39.56,39.56,39.56,39.56,141,0,0
2019-12-17 13:53:00-05:00,39.6,39.6,39.6,39.6,100,0,0
2019-12-17 13:59:00-05:00,39.62,39.62,39.62,39.62,201,0,0
2019-12-17 14:05:00-05:00,39.5,39.5,39.41,39.41,1384,0,0
2019-12-17 14:06:00-05:00,39.23,39.54,39.22,39.25,800,0,0
2019-12-17 14:07:00-05:00,39.33,39.54,39.33,39.54,1486,0,0
2019-12-17 14:31:00-05:00,39.5,39.5,39.47,39.47,228,0,0
2019-12-17 14:37:00-05:00,39.17,39.38,39.17,39.38,593,0,0
2019-12-17 14:57:00-05:00,39.22,39.59,39.22,39.59,323,0,0
2019-12-17 15:08:00-05:00,39.6,39.6,39.6,39.6,102,0,0
2019-12-17 15:11:00-05:00,39.6,39.6,39.6,39.6,344,0,0
2019-12-17 15:20:00-05:00,39.72,39.72,39.72,39.72,503,0,0
2019-12-17 15:29:00-05:00,39.76,39.76,39.76,39.76,104,0,0
2019-12-17 15:34:00-05:00,39.53,39.53,39.53,39.53,218,0,0
2019-12-17 15:37:00-05:00,39.7,39.71,39.56,39.71,912,0,0
2019-12-17 15:51:00-05:00,39.75,39.75,39.75,39.75,102,0,0
2019-12-17 15:53:00-05:00,39.54,39.74,39.54,39.74,618,0,0
2019-12-17 15:59:00-05:00,39.53,39.53,39.53,39.53,449,0,0
2019-12-18 09:30:00-05:00,39.84,39.84,39.84,39.84,850,0,0
2019-12-18 10:38:00-05:00,39.4,39.4,39.4,39.4,9979,0,0
2019-12-18 10:41:00-05:00,39.61,39.61,39.61,39.61,209,0,0
2019-12-18 10:56:00-05:00,39.32,39.32,39.32,39.32,246,0,0
2019-12-18 10:57:00-05:00,39.36,39.36,39.36,39.36,103,0,0
2019-12-18 11:06:00-05:00,39.45,39.45,39.45,39.45,318,0,0
2019-12-18 11:30:00-05:00,39.56,39.56,39.56,39.56,3132,0,0
2019-12-18 11:49:00-05:00,39.62,39.62,39.61,39.61,211,0,0
2019-12-18 12:14:00-05:00,39.24,39.24,39.24,39.24,426,0,0
2019-12-18 14:17:00-05:00,39.4,39.4,39.4,39.4,310,0,0
2019-12-18 14:24:00-05:00,39.54,39.54,39.54,39.54,300,0,0
2019-12-18 14:30:00-05:00,39.55,39.55,39.55,39.55,241,0,0
2019-12-18 14:42:00-05:00,39.65,39.65,39.65,39.65,787,0,0
2019-12-18 15:55:00-05:00,39.54,39.54,39.54,39.54,276,0,0
2019-12-18 15:57:00-05:00,39.44,39.44,39.44,39.44,245,0,0
2019-12-18 15:59:00-05:00,39.67,39.67,39.67,39.67,316,0,0
2019-12-19 09:30:00-05:00,39.57,39.57,39.57,39.57,0,0,0
2019-12-19 09:46:00-05:00,39.61,39.61,39.61,39.61,548,0,0
2019-12-19 10:03:00-05:00,39.63,39.63,39.63,39.63,876,0,0
2019-12-19 12:18:00-05:00,39.68,39.68,39.48,39.48,706,0,0
2019-12-19 13:27:00-05:00,39.37,39.37,39.37,39.37,218,0,0
2019-12-19 13:28:00-05:00,39.28,39.28,39.15,39.15,202,0,0
2019-12-19 13:29:00-05:00,39.3,39.4,39.3,39.4,202,0,0
2019-12-19 13:30:00-05:00,39.21,39.4,39.1,39.16,1919,0,0
2019-12-19 13:31:00-05:00,39.19,39.19,39.19,39.19,110,0,0
2019-12-19 13:32:00-05:00,39.07,39.07,39.07,39.07,112,0,0
2019-12-19 13:33:00-05:00,39.1,39.31,39.01,39.31,1417,0,0
2019-12-19 13:34:00-05:00,39.1,39.1,39.1,39.1,361,0,0
2019-12-19 13:40:00-05:00,39.52,39.52,39.33,39.33,772,0,0
2019-12-19 14:04:00-05:00,39.08,39.08,39.08,39.08,321,0,0
2019-12-19 14:47:00-05:00,39.3,39.3,39.3,39.3,317,0,0
2019-12-19 15:04:00-05:00,39.41,39.41,39.41,39.41,442,0,0
2019-12-19 15:41:00-05:00,39.4,39.4,39.4,39.4,724,0,0
2019-12-19 15:55:00-05:00,39.32,39.32,39.32,39.32,331,0,0
2019-12-19 15:58:00-05:00,39.48,39.48,39.48,39.48,823,0,0
2019-12-19 15:59:00-05:00,39.39,39.39,39.36,39.36,535,0,0
2019-12-20 09:30:00-05:00,39.63,39.63,39.63,39.63,12874,0,0
2019-12-20 11:01:00-05:00,39.48,39.48,39.48,39.48,245,0,0
2019-12-20 11:20:00-05:00,39.6,39.6,39.6,39.6,209,0,0
2019-12-20 11:39:00-05:00,39.74,39.74,39.74,39.74,103,0,0
2019-12-20 11:52:00-05:00,39.72,39.72,39.72,39.72,206,0,0
2019-12-20 12:17:00-05:00,39.7,39.7,39.7,39.7,114,0,0
2019-12-20 12:31:00-05:00,39.58,39.58,39.58,39.58,100,0,0
2019-12-20 12:43:00-05:00,39.68,39.68,39.68,39.68,175,0,0
2019-12-20 12:48:00-05:00,39.69,39.69,39.49,39.49,537,0,0
2019-12-20 12:51:00-05:00,39.54,39.54,39.54,39.54,110,0,0
2019-12-20 12:52:00-05:00,39.6,39.61,39.54,39.61,909,0,0
2019-12-20 12:53:00-05:00,39.58,39.58,39.58,39.58,249,0,0
2019-12-20 13:10:00-05:00,39.6,39.7,39.6,39.7,1305,0,0
2019-12-20 13:22:00-05:00,39.69,39.69,39.69,39.69,100,0,0
2019-12-20 13:23:00-05:00,39.67,39.67,39.63,39.63,966,0,0
2019-12-20 13:50:00-05:00,39.6,39.6,39.6,39.6,106,0,0
2019-12-20 13:54:00-05:00,39.65,39.65,39.65,39.65,100,0,0
2019-12-20 13:58:00-05:00,39.65,39.65,39.65,39.65,100,0,0
2019-12-20 14:02:00-05:00,39.65,39.65,39.65,39.65,100,0,0
2019-12-20 14:06:00-05:00,39.65,39.65,39.65,39.65,100,0,0
2019-12-20 14:10:00-05:00,39.65,39.65,39.65,39.65,100,0,0
2019-12-20 14:14:00-05:00,39.65,39.65,39.65,39.65,151,0,0
2019-12-20 14:16:00-05:00,39.65,39.65,39.65,39.65,102,0,0
2019-12-20 14:19:00-05:00,39.65,39.65,39.65,39.65,100,0,0
2019-12-20 14:23:00-05:00,39.64,39.64,39.49,39.49,471,0,0
2019-12-20 14:27:00-05:00,39.65,39.65,39.65,39.65,100,0,0
2019-12-20 14:31:00-05:00,39.62,39.62,39.62,39.62,100,0,0
2019-12-20 14:32:00-05:00,39.53,39.53,39.53,39.53,103,0,0
2019-12-20 14:39:00-05:00,39.65,39.65,39.65,39.65,200,0,0
2019-12-20 14:43:00-05:00,39.65,39.65,39.65,39.65,250,0,0
2019-12-20 14:47:00-05:00,39.65,39.65,39.65,39.65,157,0,0
2019-12-20 14:51:00-05:00,39.64,39.64,39.64,39.64,100,0,0
2019-12-20 14:55:00-05:00,39.65,39.65,39.65,39.65,100,0,0
2019-12-20 14:57:00-05:00,39.52,39.52,39.52,39.52,228,0,0
2019-12-20 15:02:00-05:00,39.64,39.78,39.64,39.64,607,0,0
2019-12-20 15:04:00-05:00,39.6,39.6,39.6,39.6,100,0,0
2019-12-20 15:06:00-05:00,39.7,39.7,39.7,39.7,103,0,0
2019-12-20 15:07:00-05:00,39.6,39.63,39.6,39.63,200,0,0
2019-12-20 15:09:00-05:00,39.77,39.77,39.77,39.77,108,0,0
2019-12-20 15:10:00-05:00,39.64,39.64,39.64,39.64,107,0,0
2019-12-20 15:16:00-05:00,39.77,39.77,39.65,39.65,361,0,0
2019-12-20 15:22:00-05:00,39.77,39.77,39.77,39.77,358,0,0
2019-12-20 15:24:00-05:00,39.8,39.8,39.79,39.79,639,0,0
2019-12-20 15:28:00-05:00,39.74,39.74,39.74,39.74,289,0,0
2019-12-20 15:31:00-05:00,39.8,39.8,39.8,39.8,930,0,0
2019-12-20 15:32:00-05:00,39.8,39.8,39.8,39.8,154,0,0
2019-12-20 15:34:00-05:00,39.74,39.74,39.74,39.74,100,0,0
2019-12-20 15:37:00-05:00,39.74,39.74,39.74,39.74,100,0,0
2019-12-20 15:40:00-05:00,39.94,39.95,39.94,39.95,403,0,0
2019-12-20 15:41:00-05:00,39.9,39.9,39.9,39.9,103,0,0
2019-12-20 15:45:00-05:00,40.57,40.57,40.57,40.57,100,0,0
2019-12-20 15:46:00-05:00,39.9,40.15,39.9,40.09,751,0,0
2019-12-20 15:47:00-05:00,40.14,40.14,39.93,39.93,640,0,0
2019-12-20 15:50:00-05:00,39.95,40.05,39.88,40.05,1109,0,0
2019-12-20 15:52:00-05:00,40.15,40.15,40.13,40.13,382,0,0
2019-12-20 15:54:00-05:00,40.13,40.13,40.0,40.02,700,0,0
2019-12-20 15:55:00-05:00,40.0,40.25,39.97,40.25,2086,0,0
2019-12-20 15:56:00-05:00,40.02,40.02,40.02,40.02,186,0,0
2019-12-20 15:57:00-05:00,40.09,40.09,40.03,40.03,403,0,0
2019-12-20 15:58:00-05:00,40.22,40.22,40.19,40.19,647,0,0
2019-12-20 15:59:00-05:00,40.19,40.28,40.16,40.25,4543,0,0
2019-12-23 09:30:00-05:00,40.13,40.13,40.13,40.13,181,0,0
2019-12-23 09:32:00-05:00,39.55,39.56,39.55,39.56,747,0,0
2019-12-23 09:33:00-05:00,39.7,39.7,39.7,39.7,0,0,0
2019-12-23 09:34:00-05:00,39.59,39.62,39.59,39.62,3114,0,0
2019-12-23 09:35:00-05:00,39.94,39.94,39.94,39.94,223,0,0
2019-12-23 09:43:00-05:00,39.65,39.66,39.65,39.65,652,0,0
2019-12-23 10:00:00-05:00,39.4,39.4,39.3,39.3,895,0,0
2019-12-23 10:04:00-05:00,39.27,39.27,39.27,39.27,1775,0,0
2019-12-23 10:06:00-05:00,39.51,39.51,39.51,39.51,1600,0,0
2019-12-23 10:07:00-05:00,39.51,39.51,39.49,39.51,2423,0,0
2019-12-23 10:11:00-05:00,39.51,39.51,39.51,39.51,173,0,0
2019-12-23 10:17:00-05:00,40.02,40.02,39.88,39.88,201,0,0
2019-12-23 10:19:00-05:00,39.72,39.72,39.72,39.72,215,0,0
2019-12-23 10:20:00-05:00,40.24,40.24,39.68,40.24,3933,0,0
2019-12-23 10:21:00-05:00,40.24,40.24,40.24,40.24,589,0,0
2019-12-23 10:40:00-05:00,40.15,40.15,40.15,40.15,1168,0,0
2019-12-23 10:52:00-05:00,40.14,40.15,40.14,40.15,3002,0,0
2019-12-23 10:53:00-05:00,40.15,40.15,40.14,40.14,1074,0,0
2019-12-23 10:54:00-05:00,40.14,40.14,40.14,40.14,100,0,0
2019-12-23 10:55:00-05:00,40.15,40.15,40.15,40.15,647,0,0
2019-12-23 11:48:00-05:00,39.72,39.72,39.72,39.72,1216,0,0
2019-12-23 12:20:00-05:00,39.85,39.85,39.85,39.85,191,0,0
2019-12-23 12:35:00-05:00,40.0,40.05,40.0,40.05,230,0,0
2019-12-23 12:36:00-05:00,39.95,39.95,39.95,39.95,135,0,0
2019-12-23 12:43:00-05:00,40.05,40.05,40.05,40.05,212,0,0
2019-12-23 12:47:00-05:00,40.05,40.05,40.05,40.05,335,0,0
2019-12-23 12:49:00-05:00,40.0,40.0,40.0,40.0,548,0,0
2019-12-23 12:50:00-05:00,39.92,39.96,39.92,39.96,611,0,0
2019-12-23 12:53:00-05:00,39.91,39.91,39.87,39.91,396,0,0
2019-12-23 12:55:00-05:00,39.85,39.85,39.85,39.85,232,0,0
2019-12-23 13:08:00-05:00,39.95,39.95,39.95,39.95,176,0,0
2019-12-23 13:13:00-05:00,39.9,39.9,39.9,39.9,335,0,0
2019-12-23 13:31:00-05:00,39.89,39.91,39.89,39.91,484,0,0
2019-12-23 13:50:00-05:00,39.88,39.88,39.88,39.88,600,0,0
2019-12-23 13:53:00-05:00,40.0,40.0,40.0,40.0,454,0,0
2019-12-23 13:56:00-05:00,40.0,40.0,40.0,40.0,193,0,0
2019-12-23 14:02:00-05:00,40.0,40.0,40.0,40.0,113,0,0
2019-12-23 14:03:00-05:00,39.99,39.99,39.99,39.99,343,0,0
2019-12-23 14:06:00-05:00,39.94,39.94,39.94,39.94,232,0,0
2019-12-23 14:08:00-05:00,39.95,40.0,39.95,40.0,985,0,0
2019-12-23 14:40:00-05:00,39.95,39.95,39.95,39.95,341,0,0
2019-12-23 14:41:00-05:00,40.0,40.0,40.0,40.0,709,0,0
2019-12-23 15:48:00-05:00,39.95,39.95,39.95,39.95,400,0,0
2019-12-23 15:57:00-05:00,39.76,39.76,39.76,39.76,295,0,0
2019-12-23 15:59:00-05:00,39.83,39.83,39.68,39.68,1024,0,0
2019-12-24 09:59:00-05:00,40.5,40.5,40.5,40.5,0,0,0
2019-12-24 10:06:00-05:00,40.3,40.3,40.3,40.3,215,0,0
2019-12-24 10:08:00-05:00,39.81,39.89,39.65,39.65,871,0,0
2019-12-24 10:09:00-05:00,39.95,39.99,39.7,39.99,397,0,0
2019-12-24 10:10:00-05:00,40.06,40.06,40.06,40.06,101,0,0
2019-12-24 10:11:00-05:00,40.0,40.0,39.96,39.96,456,0,0
2019-12-24 10:13:00-05:00,40.11,40.11,40.0,40.09,1122,0,0
2019-12-24 10:16:00-05:00,40.0,40.0,40.0,40.0,169,0,0
2019-12-24 10:20:00-05:00,39.93,40.0,39.93,40.0,300,0,0
2019-12-24 10:21:00-05:00,39.9,39.9,39.9,39.9,595,0,0
2019-12-24 10:47:00-05:00,40.0,40.0,40.0,40.0,122,0,0
2019-12-24 11:06:00-05:00,39.93,39.93,39.93,39.93,0,0,0
2019-12-24 11:23:00-05:00,40.0,40.0,40.0,40.0,100,0,0
2019-12-24 11:24:00-05:00,39.97,40.0,39.97,40.0,2106,0,0
2019-12-24 11:38:00-05:00,40.0,40.0,40.0,40.0,100,0,0
2019-12-24 11:39:00-05:00,39.86,39.86,39.86,39.86,164,0,0
2019-12-24 11:46:00-05:00,40.0,40.0,40.0,40.0,100,0,0
2019-12-24 11:56:00-05:00,40.0,40.0,40.0,40.0,215,0,0
2019-12-24 12:06:00-05:00,40.0,40.05,40.0,40.02,599,0,0
2019-12-24 12:07:00-05:00,40.0,40.0,40.0,40.0,302,0,0
2019-12-24 12:08:00-05:00,40.0,40.0,40.0,40.0,100,0,0
2019-12-24 12:15:00-05:00,40.0,40.0,40.0,40.0,100,0,0
2019-12-24 12:26:00-05:00,39.92,39.92,39.92,39.92,400,0,0
2019-12-24 12:30:00-05:00,39.92,39.92,39.92,39.92,102,0,0
2019-12-24 12:34:00-05:00,39.94,39.94,39.94,39.94,387,0,0
2019-12-24 12:43:00-05:00,40.0,40.0,40.0,40.0,103,0,0
2019-12-24 12:49:00-05:00,39.88,39.88,39.88,39.88,101,0,0
2019-12-24 12:50:00-05:00,39.87,39.88,39.87,39.88,200,0,0
2019-12-24 12:51:00-05:00,39.99,39.99,39.99,39.99,700,0,0
2019-12-24 12:59:00-05:00,39.99,40.18,39.99,40.18,1139,0,0
2019-12-24 13:00:00-05:00,40.07,40.07,40.07,40.07,11801,0,0
2019-12-26 10:15:00-05:00,40.0,40.13,40.0,40.13,0,0,0
2019-12-26 10:19:00-05:00,40.02,40.02,40.02,40.02,164,0,0
2019-12-26 10:57:00-05:00,39.97,39.97,39.97,39.97,358,0,0
2019-12-26 10:59:00-05:00,39.97,39.97,39.97,39.97,704,0,0
2019-12-26 13:06:00-05:00,39.77,39.82,39.72,39.82,734,0,0
2019-12-26 15:13:00-05:00,39.85,39.85,39.85,39.85,306,0,0
2019-12-26 15:17:00-05:00,39.8,39.88,39.8,39.83,1336,0,0
2019-12-26 15:18:00-05:00,39.85,39.85,39.85,39.85,302,0,0
2019-12-26 15:24:00-05:00,39.84,39.84,39.84,39.84,141,0,0
2019-12-26 15:27:00-05:00,39.78,39.78,39.78,39.78,323,0,0
2019-12-26 15:59:00-05:00,39.83,39.83,39.78,39.78,492,0,0
2019-12-27 09:36:00-05:00,39.65,39.65,39.65,39.65,0,0,0
2019-12-27 09:37:00-05:00,39.7,39.7,39.7,39.7,322,0,0
2019-12-27 09:43:00-05:00,39.85,39.85,39.85,39.85,460,0,0
2019-12-27 09:47:00-05:00,39.31,39.31,39.31,39.31,604,0,0
2019-12-27 09:48:00-05:00,39.85,39.85,39.85,39.85,200,0,0
2019-12-27 09:49:00-05:00,39.62,39.62,39.62,39.62,200,0,0
2019-12-27 09:55:00-05:00,39.79,39.79,39.79,39.79,565,0,0
2019-12-27 09:58:00-05:00,39.48,39.48,39.48,39.48,100,0,0
2019-12-27 09:59:00-05:00,39.43,39.84,39.42,39.84,2886,0,0
2019-12-27 10:28:00-05:00,39.75,39.75,39.75,39.75,295,0,0
2019-12-27 10:58:00-05:00,39.41,39.41,39.41,39.41,101,0,0
2019-12-27 11:37:00-05:00,39.47,39.47,39.47,39.47,100,0,0
2019-12-27 11:58:00-05:00,39.67,39.67,39.67,39.67,177,0,0
2019-12-27 12:11:00-05:00,39.65,39.65,39.65,39.65,145,0,0
2019-12-27 12:12:00-05:00,39.58,39.58,39.58,39.58,773,0,0
2019-12-27 13:33:00-05:00,39.35,39.35,39.35,39.35,139,0,0
2019-12-27 14:28:00-05:00,39.29,39.29,39.29,39.29,100,0,0
2019-12-27 14:32:00-05:00,39.32,39.32,39.32,39.32,165,0,0
2019-12-27 14:59:00-05:00,39.31,39.31,39.31,39.31,249,0,0
2019-12-27 15:12:00-05:00,39.42,39.42,39.42,39.42,387,0,0
2019-12-27 15:23:00-05:00,39.5,39.5,39.5,39.5,345,0,0
2019-12-27 15:33:00-05:00,39.48,39.53,39.48,39.53,464,0,0
2019-12-27 15:36:00-05:00,39.58,39.58,39.58,39.58,461,0,0
