Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 11:49:00-05:00,15.53,15.53,15.51,15.51,0,0,0
2019-12-17 12:44:00-05:00,15.53,15.53,15.53,15.53,173,0,0
2019-12-17 15:33:00-05:00,15.53,15.53,15.53,15.53,100,0,0
2019-12-18 09:41:00-05:00,15.56,15.56,15.56,15.56,0,0,0
2019-12-18 09:42:00-05:00,15.56,15.56,15.56,15.56,1000,0,0
2019-12-18 09:53:00-05:00,15.63,15.65,15.63,15.65,700,0,0
2019-12-18 10:02:00-05:00,15.71,15.71,15.71,15.71,100,0,0
2019-12-18 10:08:00-05:00,15.65,15.65,15.65,15.65,657,0,0
2019-12-18 10:09:00-05:00,15.66,15.66,15.66,15.66,736,0,0
2019-12-18 12:12:00-05:00,15.87,15.87,15.87,15.87,101,0,0
2019-12-18 12:48:00-05:00,15.76,15.76,15.76,15.76,250,0,0
2019-12-18 13:50:00-05:00,15.79,15.85,15.79,15.85,1520,0,0
2019-12-18 13:58:00-05:00,15.84,15.9,15.84,15.9,2936,0,0
2019-12-18 14:19:00-05:00,15.83,15.87,15.83,15.87,1904,0,0
2019-12-18 15:14:00-05:00,15.93,15.98,15.93,15.98,500,0,0
2019-12-18 15:34:00-05:00,15.95,15.95,15.95,15.95,1212,0,0
2019-12-18 15:46:00-05:00,16.0,16.0,16.0,16.0,14825,0,0
2019-12-19 09:31:00-05:00,16.05,16.05,16.05,16.05,0,0,0
2019-12-19 10:33:00-05:00,15.95,15.95,15.95,15.95,105,0,0
2019-12-19 10:58:00-05:00,15.95,15.95,15.95,15.95,106,0,0
2019-12-19 13:03:00-05:00,15.95,15.95,15.95,15.95,621,0,0
2019-12-19 13:06:00-05:00,16.0,16.0,16.0,16.0,1236,0,0
2019-12-19 13:36:00-05:00,16.04,16.04,16.04,16.04,414,0,0
2019-12-19 14:03:00-05:00,15.94,15.94,15.94,15.94,667,0,0
2019-12-20 09:30:00-05:00,15.89,15.89,15.89,15.89,0,0,0
2019-12-20 09:36:00-05:00,16.02,16.02,16.02,16.02,100,0,0
2019-12-20 09:37:00-05:00,15.94,15.94,15.94,15.94,573,0,0
2019-12-20 09:46:00-05:00,16.03,16.04,16.03,16.04,361,0,0
2019-12-20 09:48:00-05:00,16.08,16.08,16.08,16.08,101,0,0
2019-12-20 11:07:00-05:00,16.1,16.1,16.05,16.07,902,0,0
2019-12-20 11:52:00-05:00,16.12,16.12,16.12,16.12,244,0,0
2019-12-20 15:31:00-05:00,15.94,15.94,15.94,15.94,900,0,0
2019-12-20 15:51:00-05:00,15.9,15.9,15.9,15.9,222,0,0
2019-12-20 15:59:00-05:00,16.0,16.0,16.0,16.0,5177,0,0
2019-12-23 10:54:00-05:00,15.98,15.98,15.98,15.98,0,0,0
2019-12-23 10:55:00-05:00,16.01,16.01,16.01,16.01,1070,0,0
2019-12-23 12:04:00-05:00,16.0,16.0,16.0,16.0,102,0,0
2019-12-23 13:14:00-05:00,15.89,15.94,15.88,15.94,1200,0,0
2019-12-23 14:02:00-05:00,15.98,15.98,15.98,15.98,112,0,0
2019-12-23 14:52:00-05:00,15.95,15.95,15.95,15.95,200,0,0
2019-12-23 15:09:00-05:00,15.93,15.93,15.93,15.93,200,0,0
2019-12-23 15:11:00-05:00,15.99,15.99,15.99,15.99,2550,0,0
2019-12-23 15:12:00-05:00,16.0,16.0,16.0,16.0,1100,0,0
2019-12-23 15:33:00-05:00,16.06,16.06,16.06,16.06,6758,0,0
2019-12-23 12:04:00-05:00,16.0,16.0,16.0,16.0,0,0,0
2019-12-23 13:14:00-05:00,15.89,15.94,15.88,15.94,1200,0,0
2019-12-23 14:02:00-05:00,15.98,15.98,15.98,15.98,112,0,0
2019-12-23 14:52:00-05:00,15.95,15.95,15.95,15.95,200,0,0
2019-12-23 15:09:00-05:00,15.93,15.93,15.93,15.93,200,0,0
2019-12-23 15:11:00-05:00,15.99,15.99,15.99,15.99,2550,0,0
2019-12-23 15:12:00-05:00,16.0,16.0,16.0,16.0,1100,0,0
2019-12-23 15:33:00-05:00,16.06,16.06,16.06,16.06,6758,0,0
2019-12-24 11:32:00-05:00,15.94,15.94,15.94,15.94,0,0,0
2019-12-24 12:14:00-05:00,15.97,15.98,15.97,15.98,403,0,0
2019-12-24 12:24:00-05:00,15.93,15.93,15.93,15.93,643,0,0
2019-12-26 09:30:00-05:00,16.17,16.17,16.17,16.17,0,0,0
2019-12-26 09:45:00-05:00,16.09,16.1,16.09,16.1,1000,0,0
2019-12-26 09:46:00-05:00,16.1,16.1,16.1,16.1,900,0,0
2019-12-26 09:49:00-05:00,16.17,16.17,16.17,16.17,126,0,0
