Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 11:22:00-05:00,0.0039,0.0039,0.0039,0.0039,0,0,0
2019-12-17 11:31:00-05:00,0.0036,0.0036,0.0036,0.0036,15000,0,0
2019-12-17 11:47:00-05:00,0.0039,0.0039,0.0039,0.0039,3300,0,0
2019-12-17 11:53:00-05:00,0.0037,0.0037,0.0037,0.0037,500,0,0
2019-12-17 12:06:00-05:00,0.0039,0.0039,0.0039,0.0039,113903,0,0
2019-12-17 12:12:00-05:00,0.0039,0.0039,0.0039,0.0039,10000,0,0
2019-12-17 12:25:00-05:00,0.0039,0.0039,0.0039,0.0039,35790,0,0
2019-12-17 12:29:00-05:00,0.0039,0.0039,0.0039,0.0039,125000,0,0
2019-12-17 12:36:00-05:00,0.004,0.004,0.004,0.004,49500,0,0
2019-12-17 12:37:00-05:00,0.004,0.004,0.004,0.004,500000,0,0
2019-12-17 13:21:00-05:00,0.004,0.004,0.004,0.004,10000,0,0
2019-12-17 13:33:00-05:00,0.004,0.004,0.004,0.004,25000,0,0
2019-12-17 13:51:00-05:00,0.0039,0.0039,0.0039,0.0039,7500,0,0
2019-12-17 13:53:00-05:00,0.004,0.004,0.004,0.004,525500,0,0
2019-12-17 13:54:00-05:00,0.0041,0.0041,0.0041,0.0041,25000,0,0
2019-12-17 13:56:00-05:00,0.005,0.005,0.005,0.005,480,0,0
2019-12-17 14:11:00-05:00,0.0045,0.0045,0.0045,0.0045,100,0,0
2019-12-17 14:29:00-05:00,0.006,0.006,0.006,0.006,10000,0,0
2019-12-17 14:35:00-05:00,0.0045,0.0045,0.0045,0.0045,4999,0,0
2019-12-17 14:36:00-05:00,0.006,0.006,0.006,0.006,3800,0,0
2019-12-17 14:37:00-05:00,0.0041,0.0041,0.004,0.004,130237,0,0
2019-12-17 14:43:00-05:00,0.0047,0.0047,0.0047,0.0047,4900,0,0
2019-12-17 14:56:00-05:00,0.0047,0.0047,0.0047,0.0047,15000,0,0
2019-12-17 14:58:00-05:00,0.0042,0.0042,0.0041,0.0041,202000,0,0
2019-12-17 15:53:00-05:00,0.0046,0.0046,0.0045,0.0045,50000,0,0
2019-12-18 09:30:00-05:00,0.0045,0.0045,0.0045,0.0045,0,0,0
2019-12-18 09:37:00-05:00,0.0052,0.0052,0.0052,0.0052,100,0,0
2019-12-18 09:40:00-05:00,0.0046,0.0046,0.0046,0.0046,1000,0,0
2019-12-18 09:55:00-05:00,0.0052,0.0052,0.0052,0.0052,50000,0,0
2019-12-18 09:56:00-05:00,0.005,0.005,0.005,0.005,8500,0,0
2019-12-18 10:33:00-05:00,0.0045,0.0045,0.0045,0.0045,5000,0,0
2019-12-18 10:41:00-05:00,0.0052,0.0052,0.0052,0.0052,200,0,0
2019-12-18 10:48:00-05:00,0.0045,0.0045,0.0045,0.0045,1200,0,0
2019-12-18 11:48:00-05:00,0.0047,0.0047,0.0045,0.0045,31000,0,0
2019-12-18 11:57:00-05:00,0.0055,0.0055,0.0055,0.0055,2000,0,0
2019-12-18 12:18:00-05:00,0.005,0.005,0.005,0.005,72727,0,0
2019-12-18 12:42:00-05:00,0.0052,0.0052,0.0052,0.0052,25000,0,0
2019-12-18 12:47:00-05:00,0.0054,0.0054,0.0054,0.0054,3500,0,0
2019-12-18 12:51:00-05:00,0.0055,0.0055,0.0055,0.0055,100,0,0
2019-12-18 12:52:00-05:00,0.0054,0.0054,0.0054,0.0054,100000,0,0
2019-12-18 12:53:00-05:00,0.0054,0.0054,0.0054,0.0054,200000,0,0
2019-12-18 12:58:00-05:00,0.005,0.005,0.005,0.005,40000,0,0
2019-12-18 13:02:00-05:00,0.0052,0.0052,0.0052,0.0052,10636,0,0
2019-12-18 13:10:00-05:00,0.005,0.005,0.005,0.005,100,0,0
2019-12-18 13:14:00-05:00,0.0051,0.0051,0.0051,0.0051,1300,0,0
2019-12-18 13:45:00-05:00,0.0051,0.0051,0.0051,0.0051,200,0,0
2019-12-18 13:51:00-05:00,0.005,0.005,0.005,0.005,37100,0,0
2019-12-18 14:09:00-05:00,0.0047,0.0047,0.0047,0.0047,1000,0,0
2019-12-18 14:26:00-05:00,0.0046,0.0046,0.0046,0.0046,1300,0,0
2019-12-18 14:33:00-05:00,0.0045,0.0045,0.0045,0.0045,26200,0,0
2019-12-18 14:39:00-05:00,0.0045,0.0045,0.0045,0.0045,1000,0,0
2019-12-18 14:41:00-05:00,0.0045,0.0045,0.0045,0.0045,1000,0,0
2019-12-18 14:53:00-05:00,0.004,0.004,0.004,0.004,1500,0,0
2019-12-18 15:05:00-05:00,0.0041,0.0041,0.0041,0.0041,15000,0,0
2019-12-18 15:09:00-05:00,0.004,0.004,0.004,0.004,1500,0,0
