Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 11:00:00-05:00,227.82,227.86,227.82,227.86,0,0,0
2019-12-17 11:01:00-05:00,227.87,227.91,227.87,227.89,4591,0,0
2019-12-17 11:02:00-05:00,227.89,227.96,227.89,227.96,2815,0,0
2019-12-17 11:03:00-05:00,227.96,227.96,227.94,227.96,3301,0,0
2019-12-17 11:04:00-05:00,227.95,227.98,227.92,227.97,5476,0,0
2019-12-17 11:05:00-05:00,227.97,227.98,227.91,227.91,3169,0,0
2019-12-17 11:06:00-05:00,227.91,227.95,227.91,227.92,1826,0,0
2019-12-17 11:07:00-05:00,227.95,227.96,227.91,227.96,2063,0,0
2019-12-17 11:08:00-05:00,227.96,227.96,227.89,227.91,6953,0,0
2019-12-17 11:09:00-05:00,227.95,227.95,227.91,227.91,2499,0,0
2019-12-17 11:10:00-05:00,227.91,227.98,227.9,227.9,2591,0,0
2019-12-17 11:11:00-05:00,227.93,227.95,227.93,227.93,1787,0,0
2019-12-17 11:12:00-05:00,227.94,227.99,227.94,227.96,4493,0,0
2019-12-17 11:13:00-05:00,227.95,228.01,227.95,228.0,8606,0,0
2019-12-17 11:14:00-05:00,227.99,228.02,227.96,227.99,5938,0,0
2019-12-17 11:15:00-05:00,228.0,228.07,228.0,228.05,2389,0,0
2019-12-17 11:16:00-05:00,228.03,228.05,228.0,228.03,3887,0,0
2019-12-17 11:17:00-05:00,228.05,228.06,227.95,227.95,8458,0,0
2019-12-17 11:18:00-05:00,227.97,227.99,227.92,227.94,6548,0,0
2019-12-17 11:19:00-05:00,227.98,228.06,227.98,228.05,9766,0,0
2019-12-17 11:20:00-05:00,228.03,228.08,227.96,227.98,1576,0,0
2019-12-17 11:21:00-05:00,227.99,227.99,227.96,227.97,7601,0,0
2019-12-17 11:22:00-05:00,227.98,228.03,227.98,228.03,4564,0,0
2019-12-17 11:23:00-05:00,228.05,228.07,228.03,228.03,5134,0,0
2019-12-17 11:24:00-05:00,228.0,228.0,227.86,227.86,3851,0,0
2019-12-17 11:25:00-05:00,227.84,227.85,227.75,227.75,5398,0,0
2019-12-17 11:26:00-05:00,227.75,227.87,227.75,227.87,6259,0,0
2019-12-17 11:27:00-05:00,227.85,227.86,227.8,227.8,924,0,0
2019-12-17 11:29:00-05:00,227.8,227.8,227.8,227.8,4428,0,0
2019-12-17 11:30:00-05:00,227.78,227.79,227.72,227.72,4167,0,0
2019-12-17 11:31:00-05:00,227.7,227.73,227.7,227.73,1112,0,0
2019-12-17 11:32:00-05:00,227.7,227.7,227.61,227.61,3521,0,0
2019-12-17 11:33:00-05:00,227.61,227.64,227.56,227.64,4610,0,0
2019-12-17 11:34:00-05:00,227.67,227.67,227.53,227.54,7292,0,0
2019-12-17 11:35:00-05:00,227.56,227.6,227.53,227.6,7903,0,0
2019-12-17 11:36:00-05:00,227.6,227.65,227.58,227.63,3960,0,0
2019-12-17 11:37:00-05:00,227.65,227.74,227.65,227.67,6454,0,0
2019-12-17 11:38:00-05:00,227.71,227.72,227.69,227.71,1923,0,0
2019-12-17 11:39:00-05:00,227.71,227.78,227.69,227.7,3442,0,0
2019-12-17 11:40:00-05:00,227.7,227.77,227.7,227.76,1302,0,0
2019-12-17 11:41:00-05:00,227.74,227.77,227.74,227.77,3449,0,0
2019-12-17 11:42:00-05:00,227.79,227.82,227.78,227.82,2711,0,0
2019-12-17 11:43:00-05:00,227.8,227.8,227.74,227.75,4742,0,0
2019-12-17 11:44:00-05:00,227.75,227.78,227.75,227.76,3040,0,0
2019-12-17 11:45:00-05:00,227.77,227.82,227.76,227.79,4451,0,0
2019-12-17 11:46:00-05:00,227.79,227.85,227.77,227.82,4025,0,0
2019-12-17 11:47:00-05:00,227.81,227.84,227.78,227.8,4422,0,0
2019-12-17 11:48:00-05:00,227.8,227.82,227.79,227.79,2275,0,0
2019-12-17 11:49:00-05:00,227.78,227.81,227.74,227.79,4482,0,0
2019-12-17 11:50:00-05:00,227.79,227.81,227.79,227.81,2682,0,0
2019-12-17 11:51:00-05:00,227.79,227.79,227.74,227.74,1188,0,0
2019-12-17 11:52:00-05:00,227.71,227.71,227.67,227.71,6267,0,0
2019-12-17 11:53:00-05:00,227.74,227.74,227.71,227.71,3154,0,0
2019-12-17 11:54:00-05:00,227.74,227.81,227.74,227.81,4428,0,0
2019-12-17 11:55:00-05:00,227.81,227.83,227.76,227.78,5061,0,0
2019-12-17 11:56:00-05:00,227.78,227.79,227.78,227.78,947,0,0
2019-12-17 11:57:00-05:00,227.79,227.8,227.79,227.8,642,0,0
2019-12-17 11:58:00-05:00,227.85,227.92,227.85,227.9,15842,0,0
2019-12-17 11:59:00-05:00,227.88,227.91,227.87,227.9,3452,0,0
2019-12-17 12:01:00-05:00,227.95,227.95,227.93,227.94,10835,0,0
2019-12-17 12:02:00-05:00,227.93,227.93,227.85,227.85,5854,0,0
2019-12-17 12:03:00-05:00,227.86,227.88,227.85,227.86,3547,0,0
