Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 11:00:00-05:00,48.9,48.9,48.9,48.9,0,0,0
2019-12-17 11:01:00-05:00,48.91,48.95,48.91,48.94,1865,0,0
2019-12-17 11:02:00-05:00,48.95,48.95,48.89,48.89,4654,0,0
2019-12-17 11:03:00-05:00,48.89,48.9,48.88,48.89,2417,0,0
2019-12-17 11:04:00-05:00,48.88,48.89,48.87,48.89,1477,0,0
2019-12-17 11:05:00-05:00,48.88,48.88,48.87,48.87,982,0,0
2019-12-17 11:06:00-05:00,48.84,48.87,48.83,48.87,2216,0,0
2019-12-17 11:07:00-05:00,48.86,48.9,48.86,48.9,793,0,0
2019-12-17 11:08:00-05:00,48.9,48.91,48.89,48.89,2022,0,0
2019-12-17 11:09:00-05:00,48.89,48.9,48.89,48.9,973,0,0
2019-12-17 11:10:00-05:00,48.91,48.94,48.9,48.91,1235,0,0
2019-12-17 11:11:00-05:00,48.92,48.92,48.89,48.89,1233,0,0
2019-12-17 11:12:00-05:00,48.91,48.93,48.91,48.93,1417,0,0
2019-12-17 11:13:00-05:00,48.94,48.94,48.94,48.94,201,0,0
2019-12-17 11:14:00-05:00,48.93,48.93,48.91,48.91,1298,0,0
2019-12-17 11:15:00-05:00,48.9,48.94,48.9,48.94,719,0,0
2019-12-17 11:16:00-05:00,48.93,48.93,48.9,48.9,1151,0,0
2019-12-17 11:17:00-05:00,48.9,48.9,48.9,48.9,304,0,0
2019-12-17 11:18:00-05:00,48.88,48.88,48.87,48.88,975,0,0
2019-12-17 11:19:00-05:00,48.86,48.86,48.85,48.85,470,0,0
2019-12-17 11:20:00-05:00,48.86,48.88,48.84,48.84,2977,0,0
2019-12-17 11:21:00-05:00,48.84,48.84,48.83,48.84,611,0,0
2019-12-17 11:22:00-05:00,48.84,48.85,48.84,48.85,317,0,0
2019-12-17 11:23:00-05:00,48.86,48.86,48.85,48.85,252,0,0
2019-12-17 11:24:00-05:00,48.85,48.85,48.83,48.84,2173,0,0
2019-12-17 11:25:00-05:00,48.83,48.83,48.83,48.83,936,0,0
2019-12-17 11:26:00-05:00,48.84,48.85,48.84,48.85,1233,0,0
2019-12-17 11:27:00-05:00,48.86,48.87,48.86,48.87,741,0,0
2019-12-17 11:28:00-05:00,48.86,48.86,48.86,48.86,0,0,0
2019-12-17 11:29:00-05:00,48.84,48.84,48.81,48.82,211369,0,0
2019-12-17 11:30:00-05:00,48.82,48.83,48.82,48.82,1205,0,0
2019-12-17 11:31:00-05:00,48.84,48.85,48.81,48.81,2058,0,0
2019-12-17 11:32:00-05:00,48.81,48.82,48.8,48.81,2437,0,0
2019-12-17 11:33:00-05:00,48.81,48.83,48.79,48.8,2770,0,0
2019-12-17 11:34:00-05:00,48.79,48.79,48.75,48.77,8480,0,0
2019-12-17 11:35:00-05:00,48.78,48.83,48.78,48.83,2414,0,0
2019-12-17 11:36:00-05:00,48.83,48.85,48.78,48.81,6330,0,0
2019-12-17 11:37:00-05:00,48.82,48.84,48.82,48.83,611,0,0
2019-12-17 11:38:00-05:00,48.84,48.86,48.84,48.86,730,0,0
2019-12-17 11:39:00-05:00,48.87,48.93,48.87,48.93,2178,0,0
2019-12-17 11:41:00-05:00,48.92,48.93,48.91,48.93,3531,0,0
2019-12-17 11:42:00-05:00,48.95,49.0,48.95,48.99,2453,0,0
2019-12-17 11:43:00-05:00,48.99,49.0,48.99,49.0,450,0,0
2019-12-17 11:44:00-05:00,48.98,48.98,48.97,48.98,1353,0,0
2019-12-17 11:45:00-05:00,48.98,48.98,48.96,48.96,1281,0,0
2019-12-17 11:46:00-05:00,48.97,48.99,48.96,48.98,3337,0,0
2019-12-17 11:47:00-05:00,48.98,48.98,48.96,48.96,1808,0,0
2019-12-17 11:48:00-05:00,48.97,48.97,48.91,48.91,2134,0,0
2019-12-17 11:49:00-05:00,48.89,48.89,48.89,48.89,856,0,0
2019-12-17 11:50:00-05:00,48.9,48.92,48.9,48.92,678,0,0
2019-12-17 11:51:00-05:00,48.93,48.94,48.93,48.94,365,0,0
2019-12-17 11:52:00-05:00,48.95,48.96,48.95,48.96,670,0,0
2019-12-17 11:53:00-05:00,48.97,48.97,48.95,48.95,2130,0,0
2019-12-17 11:54:00-05:00,48.98,49.0,48.98,49.0,596,0,0
2019-12-17 11:55:00-05:00,49.0,49.0,49.0,49.0,1248,0,0
2019-12-17 11:56:00-05:00,49.01,49.01,49.01,49.01,214,0,0
2019-12-17 11:58:00-05:00,49.01,49.03,49.01,49.03,3310,0,0
2019-12-17 11:59:00-05:00,49.02,49.03,49.02,49.02,1520,0,0
2019-12-17 12:00:00-05:00,49.03,49.04,49.02,49.03,6919,0,0
2019-12-17 12:01:00-05:00,49.02,49.02,49.01,49.01,1868,0,0
2019-12-17 12:02:00-05:00,49.01,49.01,48.98,48.99,1929,0,0
2019-12-17 12:03:00-05:00,48.98,48.99,48.98,48.99,2480,0,0
2019-12-17 12:05:00-05:00,49.0,49.02,49.0,49.02,1525,0,0
2019-12-17 12:06:00-05:00,49.02,49.02,49.01,49.02,945,0,0
2019-12-17 12:07:00-05:00,49.01,49.03,49.01,49.03,1455,0,0
2019-12-17 12:08:00-05:00,49.03,49.03,49.03,49.03,383,0,0
2019-12-17 12:09:00-05:00,49.03,49.03,48.99,48.99,3169,0,0
2019-12-17 12:10:00-05:00,48.98,48.98,48.98,48.98,500,0,0
2019-12-17 12:11:00-05:00,48.99,48.99,48.99,48.99,300,0,0
2019-12-17 12:12:00-05:00,48.99,49.0,48.98,49.0,1047,0,0
2019-12-17 12:13:00-05:00,49.0,49.01,48.99,49.01,3056,0,0
2019-12-17 12:14:00-05:00,49.01,49.05,49.01,49.04,2095,0,0
2019-12-17 12:15:00-05:00,49.03,49.03,49.01,49.01,2630,0,0
2019-12-17 12:16:00-05:00,49.02,49.05,49.02,49.03,4324,0,0
2019-12-17 12:17:00-05:00,49.04,49.04,49.03,49.04,1503,0,0
2019-12-17 12:18:00-05:00,49.05,49.07,49.04,49.07,1938,0,0
2019-12-17 12:19:00-05:00,49.07,49.07,49.05,49.06,4645,0,0
2019-12-17 12:20:00-05:00,49.06,49.07,49.06,49.07,2230,0,0
2019-12-17 12:21:00-05:00,49.07,49.07,49.06,49.06,2174,0,0
2019-12-17 12:23:00-05:00,49.08,49.08,49.07,49.07,953,0,0
2019-12-17 12:24:00-05:00,49.08,49.08,49.08,49.08,405,0,0
2019-12-17 12:25:00-05:00,49.08,49.1,49.08,49.1,1197,0,0
2019-12-17 12:26:00-05:00,49.1,49.1,49.09,49.09,2103,0,0
2019-12-17 12:27:00-05:00,49.1,49.1,49.1,49.1,308,0,0
2019-12-17 12:28:00-05:00,49.11,49.14,49.11,49.14,1102,0,0
2019-12-17 12:29:00-05:00,49.13,49.14,49.13,49.13,835,0,0
2019-12-17 12:30:00-05:00,49.14,49.14,49.12,49.12,1371,0,0
2019-12-17 12:31:00-05:00,49.14,49.14,49.13,49.13,748,0,0
2019-12-17 12:32:00-05:00,49.13,49.14,49.12,49.12,1653,0,0
2019-12-17 12:34:00-05:00,49.13,49.13,49.12,49.13,1088,0,0
2019-12-17 12:35:00-05:00,49.13,49.13,49.12,49.12,1023,0,0
2019-12-17 12:36:00-05:00,49.12,49.13,49.12,49.13,4082,0,0
2019-12-17 12:37:00-05:00,49.12,49.12,49.1,49.1,1944,0,0
2019-12-17 12:38:00-05:00,49.1,49.13,49.08,49.13,2897,0,0
2019-12-17 12:39:00-05:00,49.13,49.13,49.13,49.13,201,0,0
2019-12-17 12:40:00-05:00,49.13,49.16,49.13,49.15,1104,0,0
2019-12-17 12:41:00-05:00,49.15,49.15,49.15,49.15,1649,0,0
2019-12-17 12:42:00-05:00,49.15,49.15,49.15,49.15,213,0,0
2019-12-17 12:43:00-05:00,49.15,49.16,49.15,49.16,1132,0,0
2019-12-17 12:44:00-05:00,49.15,49.16,49.14,49.15,4085,0,0
2019-12-17 12:45:00-05:00,49.15,49.15,49.09,49.1,6908,0,0
2019-12-17 12:46:00-05:00,49.09,49.09,49.05,49.05,5490,0,0
2019-12-17 12:47:00-05:00,49.03,49.03,49.0,49.02,12355,0,0
2019-12-17 12:48:00-05:00,49.01,49.09,49.01,49.06,14011,0,0
2019-12-17 12:49:00-05:00,49.07,49.07,49.04,49.05,2574,0,0
2019-12-17 12:50:00-05:00,49.05,49.05,48.99,49.0,9281,0,0
2019-12-17 12:51:00-05:00,49.01,49.01,48.96,48.96,15242,0,0
2019-12-17 12:52:00-05:00,48.96,48.98,48.93,48.97,13742,0,0
2019-12-17 12:53:00-05:00,48.97,48.99,48.95,48.98,13219,0,0
2019-12-17 12:54:00-05:00,48.97,48.99,48.97,48.99,4023,0,0
2019-12-17 12:55:00-05:00,48.98,49.08,48.97,49.08,11911,0,0
2019-12-17 12:56:00-05:00,49.08,49.12,49.08,49.12,1184,0,0
2019-12-17 12:57:00-05:00,49.12,49.13,49.12,49.13,1453,0,0
2019-12-17 12:58:00-05:00,49.13,49.13,49.12,49.13,2164,0,0
2019-12-17 12:59:00-05:00,49.14,49.15,49.12,49.13,5638,0,0
2019-12-17 13:00:00-05:00,49.14,49.15,49.13,49.13,1589,0,0
2019-12-17 13:01:00-05:00,49.14,49.14,49.12,49.12,907,0,0
2019-12-17 13:02:00-05:00,49.12,49.15,49.12,49.13,4506,0,0
2019-12-17 13:03:00-05:00,49.13,49.14,49.13,49.14,1460,0,0
2019-12-17 13:04:00-05:00,49.14,49.14,49.13,49.13,569,0,0
2019-12-17 13:07:00-05:00,49.13,49.13,49.13,49.13,202,0,0
2019-12-17 13:08:00-05:00,49.12,49.15,49.12,49.15,2536,0,0
2019-12-17 13:09:00-05:00,49.15,49.17,49.15,49.17,820,0,0
2019-12-17 13:10:00-05:00,49.17,49.17,49.17,49.17,875,0,0
2019-12-17 13:11:00-05:00,49.17,49.19,49.17,49.19,924,0,0
2019-12-17 13:12:00-05:00,49.21,49.22,49.21,49.21,1381,0,0
2019-12-17 13:14:00-05:00,49.2,49.2,49.16,49.17,2373,0,0
2019-12-17 13:15:00-05:00,49.17,49.21,49.17,49.2,1260,0,0
2019-12-17 13:16:00-05:00,49.2,49.2,49.18,49.18,1258,0,0
2019-12-17 13:17:00-05:00,49.19,49.19,49.19,49.19,699,0,0
2019-12-17 13:18:00-05:00,49.19,49.19,49.18,49.18,601,0,0
2019-12-17 13:20:00-05:00,49.19,49.19,49.19,49.19,543,0,0
2019-12-17 13:21:00-05:00,49.19,49.19,49.18,49.18,2657,0,0
2019-12-17 13:22:00-05:00,49.18,49.18,49.17,49.17,1029,0,0
2019-12-17 13:23:00-05:00,49.17,49.17,49.14,49.14,874,0,0
2019-12-17 13:24:00-05:00,49.15,49.17,49.15,49.17,1516,0,0
2019-12-17 13:25:00-05:00,49.14,49.15,49.14,49.15,721,0,0
2019-12-17 13:26:00-05:00,49.14,49.14,49.14,49.14,189,0,0
2019-12-17 13:27:00-05:00,49.14,49.14,49.14,49.14,241,0,0
2019-12-17 13:28:00-05:00,49.16,49.19,49.16,49.19,2685,0,0
2019-12-17 13:29:00-05:00,49.19,49.19,49.19,49.19,879,0,0
2019-12-17 13:30:00-05:00,49.19,49.19,49.16,49.17,2632,0,0
2019-12-17 13:31:00-05:00,49.17,49.17,49.17,49.17,272,0,0
2019-12-17 13:32:00-05:00,49.16,49.17,49.16,49.17,5297,0,0
2019-12-17 13:33:00-05:00,49.17,49.18,49.12,49.12,9215,0,0
2019-12-17 13:34:00-05:00,49.12,49.18,49.12,49.18,7653,0,0
2019-12-17 13:35:00-05:00,49.16,49.16,49.12,49.15,9032,0,0
2019-12-17 13:36:00-05:00,49.15,49.17,49.15,49.17,1239,0,0
2019-12-17 13:37:00-05:00,49.18,49.18,49.17,49.18,3801,0,0
2019-12-17 13:38:00-05:00,49.17,49.2,49.17,49.18,4870,0,0
2019-12-17 13:39:00-05:00,49.17,49.18,49.17,49.18,1692,0,0
2019-12-17 13:40:00-05:00,49.18,49.18,49.15,49.16,10456,0,0
2019-12-17 13:41:00-05:00,49.15,49.17,49.14,49.15,18410,0,0
2019-12-17 13:42:00-05:00,49.16,49.17,49.16,49.17,939,0,0
2019-12-17 13:43:00-05:00,49.17,49.17,49.17,49.17,1040,0,0
2019-12-17 13:44:00-05:00,49.18,49.2,49.18,49.19,11306,0,0
2019-12-17 13:45:00-05:00,49.19,49.19,49.17,49.17,2523,0,0
2019-12-17 13:46:00-05:00,49.17,49.19,49.15,49.16,10456,0,0
2019-12-17 13:47:00-05:00,49.2,49.21,49.17,49.17,6835,0,0
2019-12-17 13:48:00-05:00,49.2,49.25,49.2,49.21,5503,0,0
2019-12-17 13:49:00-05:00,49.21,49.25,49.2,49.23,2991,0,0
2019-12-17 13:50:00-05:00,49.23,49.25,49.23,49.25,752,0,0
2019-12-17 13:51:00-05:00,49.24,49.24,49.23,49.23,3143,0,0
2019-12-17 13:52:00-05:00,49.23,49.25,49.23,49.25,1991,0,0
2019-12-17 13:53:00-05:00,49.23,49.23,49.23,49.23,121,0,0
2019-12-17 13:54:00-05:00,49.23,49.25,49.21,49.21,4647,0,0
2019-12-17 13:55:00-05:00,49.21,49.24,49.21,49.23,4029,0,0
2019-12-17 13:56:00-05:00,49.24,49.24,49.18,49.18,3769,0,0
2019-12-17 13:57:00-05:00,49.19,49.21,49.17,49.19,4427,0,0
2019-12-17 13:58:00-05:00,49.18,49.19,49.16,49.16,4538,0,0
2019-12-17 13:59:00-05:00,49.18,49.19,49.14,49.14,4543,0,0
2019-12-17 14:00:00-05:00,49.15,49.23,49.15,49.2,5651,0,0
2019-12-17 14:01:00-05:00,49.2,49.2,49.19,49.19,1076,0,0
2019-12-17 14:02:00-05:00,49.17,49.17,49.16,49.16,1036,0,0
2019-12-17 14:03:00-05:00,49.16,49.17,49.16,49.16,1814,0,0
2019-12-17 14:04:00-05:00,49.15,49.16,49.15,49.16,2136,0,0
2019-12-17 14:05:00-05:00,49.15,49.17,49.15,49.17,2166,0,0
2019-12-17 14:06:00-05:00,49.18,49.2,49.18,49.2,1834,0,0
2019-12-17 14:07:00-05:00,49.2,49.2,49.19,49.2,1230,0,0
2019-12-17 14:08:00-05:00,49.19,49.2,49.19,49.2,968,0,0
2019-12-17 14:10:00-05:00,49.22,49.22,49.22,49.22,555,0,0
2019-12-17 14:11:00-05:00,49.23,49.26,49.23,49.26,925,0,0
2019-12-17 14:12:00-05:00,49.25,49.26,49.25,49.26,651,0,0
2019-12-17 14:13:00-05:00,49.27,49.29,49.26,49.29,1594,0,0
2019-12-17 14:14:00-05:00,49.3,49.33,49.29,49.32,2211,0,0
2019-12-17 14:15:00-05:00,49.31,49.35,49.31,49.35,2034,0,0
