Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 11:00:00-05:00,19.11,19.13,19.11,19.13,0,0,0
2019-12-17 11:01:00-05:00,19.11,19.11,19.06,19.1,21006,0,0
2019-12-17 11:03:00-05:00,19.1,19.1,19.09,19.09,200,0,0
2019-12-17 11:05:00-05:00,19.09,19.1,19.09,19.1,1089,0,0
2019-12-17 11:06:00-05:00,19.1,19.1,19.1,19.1,425,0,0
2019-12-17 11:07:00-05:00,19.09,19.11,19.08,19.08,23429,0,0
2019-12-17 11:10:00-05:00,19.07,19.1,19.07,19.09,491,0,0
2019-12-17 11:11:00-05:00,19.1,19.1,19.05,19.05,4867,0,0
2019-12-17 11:12:00-05:00,19.08,19.08,19.06,19.07,700,0,0
2019-12-17 11:13:00-05:00,19.06,19.06,19.06,19.06,100,0,0
2019-12-17 11:14:00-05:00,19.06,19.06,19.06,19.06,427,0,0
2019-12-17 11:16:00-05:00,19.06,19.06,19.06,19.06,150,0,0
2019-12-17 11:21:00-05:00,19.06,19.06,19.05,19.05,2213,0,0
2019-12-17 11:24:00-05:00,19.02,19.02,19.0,19.0,3585,0,0
2019-12-17 11:25:00-05:00,19.0,19.0,19.0,19.0,1013,0,0
2019-12-17 11:33:00-05:00,18.99,18.99,18.93,18.99,10633,0,0
2019-12-17 11:36:00-05:00,18.96,18.96,18.93,18.93,900,0,0
2019-12-17 11:37:00-05:00,18.92,18.92,18.9,18.92,2556,0,0
2019-12-17 11:39:00-05:00,18.91,18.93,18.89,18.89,1533,0,0
2019-12-17 11:40:00-05:00,18.89,18.89,18.88,18.88,858,0,0
2019-12-17 11:47:00-05:00,18.92,18.92,18.92,18.92,191,0,0
2019-12-17 11:57:00-05:00,18.9,18.9,18.9,18.9,0,0,0
2019-12-17 12:03:00-05:00,18.93,18.93,18.9,18.9,138825,0,0
2019-12-17 12:07:00-05:00,18.89,18.89,18.88,18.88,1780,0,0
2019-12-17 12:10:00-05:00,18.87,18.87,18.87,18.87,420,0,0
2019-12-17 12:11:00-05:00,18.87,18.87,18.87,18.87,102,0,0
2019-12-17 12:15:00-05:00,18.87,18.87,18.87,18.87,253,0,0
2019-12-17 12:20:00-05:00,18.86,18.86,18.79,18.8,4241,0,0
2019-12-17 12:21:00-05:00,18.81,18.81,18.81,18.81,1222,0,0
2019-12-17 12:23:00-05:00,18.83,18.84,18.83,18.84,400,0,0
2019-12-17 12:25:00-05:00,18.85,18.85,18.85,18.85,250,0,0
2019-12-17 12:34:00-05:00,18.83,18.83,18.79,18.79,2264,0,0
2019-12-17 12:37:00-05:00,18.8,18.8,18.8,18.8,100,0,0
2019-12-17 12:41:00-05:00,18.78,18.78,18.77,18.77,1875,0,0
2019-12-17 12:42:00-05:00,18.8,18.8,18.8,18.8,200,0,0
2019-12-17 12:43:00-05:00,18.78,18.79,18.78,18.79,400,0,0
2019-12-17 12:47:00-05:00,18.78,18.78,18.76,18.76,850,0,0
2019-12-17 12:52:00-05:00,18.76,18.76,18.76,18.76,325,0,0
2019-12-17 12:55:00-05:00,18.78,18.81,18.78,18.81,851,0,0
2019-12-17 12:56:00-05:00,18.82,18.82,18.82,18.82,205,0,0
2019-12-17 13:04:00-05:00,18.83,18.83,18.83,18.83,100,0,0
2019-12-17 13:07:00-05:00,18.81,18.81,18.81,18.81,1200,0,0
2019-12-17 13:08:00-05:00,18.82,18.85,18.82,18.85,1341,0,0
2019-12-17 13:10:00-05:00,18.86,18.86,18.85,18.85,420,0,0
2019-12-17 13:16:00-05:00,18.84,18.84,18.83,18.83,460,0,0
2019-12-17 13:21:00-05:00,18.82,18.82,18.8,18.8,300,0,0
2019-12-17 13:22:00-05:00,18.8,18.81,18.79,18.8,1700,0,0
2019-12-17 13:26:00-05:00,18.8,18.8,18.79,18.79,411,0,0
2019-12-17 13:31:00-05:00,18.77,18.78,18.76,18.78,500,0,0
2019-12-17 13:35:00-05:00,18.76,18.76,18.76,18.76,300,0,0
2019-12-17 13:37:00-05:00,18.75,18.75,18.75,18.75,100,0,0
2019-12-17 13:39:00-05:00,18.75,18.75,18.74,18.75,2871,0,0
