Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 11:00:00-05:00,77.55,77.55,77.55,77.55,0,0,0
2019-12-17 11:01:00-05:00,77.59,77.72,77.59,77.72,148043,0,0
2019-12-17 11:02:00-05:00,77.72,77.75,77.62,77.75,1201,0,0
2019-12-17 11:03:00-05:00,77.82,77.82,77.82,77.82,401,0,0
2019-12-17 11:04:00-05:00,77.75,77.75,77.75,77.75,352,0,0
2019-12-17 11:05:00-05:00,77.75,77.76,77.69,77.69,1388,0,0
2019-12-17 11:06:00-05:00,77.69,77.75,77.64,77.73,2280,0,0
2019-12-17 11:07:00-05:00,77.75,77.76,77.75,77.76,227,0,0
2019-12-17 11:08:00-05:00,77.84,77.84,77.47,77.47,4148,0,0
2019-12-17 11:09:00-05:00,77.58,77.58,77.46,77.46,517,0,0
2019-12-17 11:10:00-05:00,77.51,77.55,77.51,77.55,1852,0,0
2019-12-17 11:13:00-05:00,77.57,77.57,77.57,77.57,106,0,0
2019-12-17 11:14:00-05:00,77.57,77.62,77.49,77.51,1216,0,0
2019-12-17 11:15:00-05:00,77.54,77.57,77.43,77.5,1964,0,0
2019-12-17 11:16:00-05:00,77.46,77.5,77.46,77.5,2435,0,0
2019-12-17 11:17:00-05:00,77.65,77.79,77.65,77.79,201,0,0
2019-12-17 11:18:00-05:00,77.72,77.72,77.72,77.72,100,0,0
2019-12-17 11:19:00-05:00,77.65,77.65,77.65,77.65,214,0,0
2019-12-17 11:21:00-05:00,77.58,77.68,77.58,77.59,1117,0,0
2019-12-17 11:22:00-05:00,77.7,77.78,77.35,77.48,6245,0,0
2019-12-17 11:23:00-05:00,77.43,77.43,77.42,77.43,520,0,0
2019-12-17 11:24:00-05:00,77.44,77.64,77.44,77.62,2718,0,0
2019-12-17 11:26:00-05:00,77.49,77.49,77.47,77.48,1101,0,0
2019-12-17 11:27:00-05:00,77.5,77.5,77.31,77.32,787,0,0
2019-12-17 11:29:00-05:00,77.49,77.49,77.49,77.49,0,0,0
2019-12-17 11:30:00-05:00,77.51,77.52,77.28,77.28,187760,0,0
2019-12-17 11:31:00-05:00,77.32,77.32,77.32,77.32,100,0,0
2019-12-17 11:32:00-05:00,77.33,77.4,77.33,77.4,1983,0,0
2019-12-17 11:33:00-05:00,77.36,77.36,77.36,77.36,100,0,0
2019-12-17 11:34:00-05:00,77.36,77.36,77.36,77.36,121,0,0
2019-12-17 11:35:00-05:00,77.39,77.39,77.23,77.23,7382,0,0
2019-12-17 11:36:00-05:00,77.28,77.34,77.28,77.34,3986,0,0
2019-12-17 11:37:00-05:00,77.34,77.34,77.26,77.31,2886,0,0
2019-12-17 11:38:00-05:00,77.32,77.32,77.32,77.32,103,0,0
2019-12-17 11:39:00-05:00,77.33,77.43,77.33,77.43,840,0,0
2019-12-17 11:41:00-05:00,77.43,77.43,77.43,77.43,107,0,0
2019-12-17 11:42:00-05:00,77.35,77.35,77.35,77.35,113,0,0
2019-12-17 11:43:00-05:00,77.42,77.54,77.42,77.54,911,0,0
2019-12-17 11:44:00-05:00,77.63,77.64,77.62,77.62,394,0,0
2019-12-17 11:46:00-05:00,77.64,77.64,77.64,77.64,100,0,0
2019-12-17 11:47:00-05:00,77.66,77.68,77.55,77.55,314,0,0
2019-12-17 11:48:00-05:00,77.67,77.67,77.55,77.61,4331,0,0
2019-12-17 11:49:00-05:00,77.6,77.6,77.6,77.6,991,0,0
2019-12-17 11:51:00-05:00,77.54,77.54,77.54,77.54,343,0,0
2019-12-17 11:52:00-05:00,77.55,77.55,77.55,77.55,209,0,0
2019-12-17 11:55:00-05:00,77.58,77.58,77.47,77.47,1384,0,0
2019-12-17 11:56:00-05:00,77.5,77.5,77.44,77.44,214,0,0
2019-12-17 11:57:00-05:00,77.47,77.51,77.47,77.51,1916,0,0
2019-12-17 11:58:00-05:00,77.5,77.5,77.5,77.5,450,0,0
2019-12-17 11:59:00-05:00,77.54,77.55,77.47,77.47,2851,0,0
2019-12-17 12:00:00-05:00,77.49,77.49,77.49,77.49,143,0,0
2019-12-17 12:02:00-05:00,77.47,77.51,77.47,77.5,896,0,0
2019-12-17 12:03:00-05:00,77.5,77.5,77.43,77.5,936,0,0
2019-12-17 12:05:00-05:00,77.51,77.51,77.51,77.51,158,0,0
2019-12-17 12:06:00-05:00,77.46,77.46,77.4,77.45,980,0,0
2019-12-17 12:07:00-05:00,77.51,77.51,77.5,77.5,201,0,0
2019-12-17 12:08:00-05:00,77.5,77.5,77.5,77.5,100,0,0
2019-12-17 12:09:00-05:00,77.49,77.5,77.49,77.5,884,0,0
2019-12-17 12:10:00-05:00,77.54,77.54,77.54,77.54,193,0,0
2019-12-17 12:12:00-05:00,77.48,77.55,77.44,77.49,699,0,0
2019-12-17 12:13:00-05:00,77.46,77.46,77.46,77.46,400,0,0
2019-12-17 12:14:00-05:00,77.49,77.49,77.37,77.37,883,0,0
2019-12-17 12:15:00-05:00,77.43,77.43,77.4,77.4,563,0,0
2019-12-17 12:16:00-05:00,77.46,77.5,77.46,77.5,675,0,0
2019-12-17 12:17:00-05:00,77.54,77.54,77.54,77.54,100,0,0
2019-12-17 12:18:00-05:00,77.54,77.55,77.54,77.55,351,0,0
2019-12-17 12:20:00-05:00,77.48,77.48,77.48,77.48,101,0,0
2019-12-17 12:21:00-05:00,77.52,77.52,77.52,77.52,100,0,0
2019-12-17 12:22:00-05:00,77.51,77.51,77.46,77.46,300,0,0
2019-12-17 12:23:00-05:00,77.45,77.5,77.45,77.5,952,0,0
2019-12-17 12:24:00-05:00,77.5,77.51,77.5,77.51,1786,0,0
2019-12-17 12:25:00-05:00,77.5,77.51,77.37,77.38,2821,0,0
2019-12-17 12:26:00-05:00,77.48,77.5,77.44,77.46,750,0,0
2019-12-17 12:27:00-05:00,77.49,77.49,77.44,77.44,743,0,0
2019-12-17 12:29:00-05:00,77.42,77.43,77.28,77.4,2254,0,0
2019-12-17 12:31:00-05:00,77.33,77.33,77.33,77.33,123,0,0
2019-12-17 12:32:00-05:00,77.35,77.39,77.34,77.34,2034,0,0
2019-12-17 12:33:00-05:00,77.41,77.47,77.41,77.47,789,0,0
2019-12-17 12:35:00-05:00,77.37,77.37,77.37,77.37,100,0,0
2019-12-17 12:37:00-05:00,77.42,77.42,77.36,77.36,537,0,0
2019-12-17 12:38:00-05:00,77.38,77.39,77.36,77.37,925,0,0
2019-12-17 12:39:00-05:00,77.42,77.42,77.42,77.42,138,0,0
2019-12-17 12:40:00-05:00,77.4,77.4,77.32,77.36,2275,0,0
2019-12-17 12:41:00-05:00,77.4,77.4,77.4,77.4,110,0,0
2019-12-17 12:42:00-05:00,77.37,77.42,77.37,77.41,822,0,0
2019-12-17 12:44:00-05:00,77.45,77.47,77.45,77.47,221,0,0
2019-12-17 12:45:00-05:00,77.42,77.45,77.39,77.39,1169,0,0
2019-12-17 12:46:00-05:00,77.45,77.49,77.45,77.49,608,0,0
2019-12-17 12:48:00-05:00,77.5,77.5,77.5,77.5,1216,0,0
2019-12-17 12:49:00-05:00,77.48,77.51,77.48,77.5,315,0,0
2019-12-17 12:50:00-05:00,77.5,77.52,77.48,77.52,500,0,0
2019-12-17 12:51:00-05:00,77.5,77.5,77.43,77.47,988,0,0
2019-12-17 12:52:00-05:00,77.47,77.5,77.47,77.47,827,0,0
2019-12-17 12:53:00-05:00,77.5,77.54,77.5,77.53,2334,0,0
2019-12-17 12:54:00-05:00,77.52,77.52,77.52,77.52,300,0,0
2019-12-17 12:55:00-05:00,77.52,77.57,77.44,77.44,2824,0,0
2019-12-17 12:56:00-05:00,77.5,77.5,77.5,77.5,120,0,0
2019-12-17 12:58:00-05:00,77.42,77.48,77.42,77.48,374,0,0
2019-12-17 12:59:00-05:00,77.49,77.49,77.49,77.49,100,0,0
2019-12-17 13:00:00-05:00,77.48,77.51,77.48,77.51,891,0,0
2019-12-17 13:01:00-05:00,77.45,77.47,77.45,77.47,588,0,0
2019-12-17 13:05:00-05:00,77.46,77.46,77.46,77.46,200,0,0
2019-12-17 13:06:00-05:00,77.45,77.45,77.45,77.45,121,0,0
2019-12-17 13:08:00-05:00,77.47,77.51,77.45,77.51,1621,0,0
2019-12-17 13:10:00-05:00,77.5,77.53,77.5,77.5,400,0,0
2019-12-17 13:11:00-05:00,77.5,77.53,77.5,77.53,831,0,0
2019-12-17 13:12:00-05:00,77.58,77.6,77.58,77.6,621,0,0
2019-12-17 13:14:00-05:00,77.65,77.78,77.65,77.78,4459,0,0
2019-12-17 13:15:00-05:00,77.83,77.83,77.79,77.79,679,0,0
2019-12-17 13:16:00-05:00,77.85,77.85,77.75,77.75,2642,0,0
2019-12-17 13:17:00-05:00,77.75,77.75,77.71,77.75,3345,0,0
2019-12-17 13:18:00-05:00,77.75,77.75,77.72,77.72,1515,0,0
2019-12-17 13:21:00-05:00,77.76,77.76,77.75,77.75,438,0,0
2019-12-17 13:22:00-05:00,77.77,77.77,77.77,77.77,123,0,0
2019-12-17 13:23:00-05:00,77.71,77.74,77.71,77.74,666,0,0
2019-12-17 13:24:00-05:00,77.73,77.73,77.73,77.73,546,0,0
2019-12-17 13:25:00-05:00,77.8,77.8,77.8,77.8,442,0,0
2019-12-17 13:26:00-05:00,77.85,77.85,77.85,77.85,454,0,0
2019-12-17 13:27:00-05:00,77.86,77.89,77.83,77.89,967,0,0
