Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 11:00:00-05:00,76.32,76.32,76.23,76.23,0,0,0
2019-12-17 11:01:00-05:00,76.24,76.24,76.19,76.19,2586,0,0
2019-12-17 11:02:00-05:00,76.18,76.18,76.1,76.1,2205,0,0
2019-12-17 11:03:00-05:00,76.13,76.13,76.08,76.08,2470,0,0
2019-12-17 11:04:00-05:00,76.07,76.1,76.07,76.08,1566,0,0
2019-12-17 11:05:00-05:00,76.08,76.08,76.0,76.0,1244,0,0
2019-12-17 11:06:00-05:00,75.99,76.04,75.99,76.04,1284,0,0
2019-12-17 11:08:00-05:00,76.01,76.06,76.01,76.06,485,0,0
2019-12-17 11:09:00-05:00,76.05,76.05,76.02,76.05,828,0,0
2019-12-17 11:10:00-05:00,76.01,76.01,75.97,75.98,1469,0,0
2019-12-17 11:11:00-05:00,75.95,75.95,75.94,75.94,677,0,0
2019-12-17 11:12:00-05:00,76.0,76.0,76.0,76.0,1477,0,0
2019-12-17 11:13:00-05:00,76.0,76.04,75.98,76.0,2723,0,0
2019-12-17 11:15:00-05:00,76.0,76.0,76.0,76.0,401,0,0
2019-12-17 11:16:00-05:00,76.0,76.0,75.97,75.97,1823,0,0
2019-12-17 11:17:00-05:00,75.93,75.99,75.93,75.99,202,0,0
2019-12-17 11:18:00-05:00,75.99,75.99,75.99,75.99,240,0,0
2019-12-17 11:19:00-05:00,75.93,75.94,75.83,75.83,1837,0,0
2019-12-17 11:20:00-05:00,75.83,75.83,75.63,75.63,8224,0,0
2019-12-17 11:21:00-05:00,75.7,75.86,75.7,75.78,1036,0,0
2019-12-17 11:22:00-05:00,75.77,75.84,75.77,75.84,637,0,0
2019-12-17 11:23:00-05:00,75.89,75.9,75.85,75.9,3626,0,0
2019-12-17 11:24:00-05:00,75.9,75.9,75.86,75.88,1307,0,0
2019-12-17 11:25:00-05:00,75.97,75.97,75.92,75.93,938,0,0
2019-12-17 11:26:00-05:00,75.93,76.0,75.93,75.96,2954,0,0
2019-12-17 11:27:00-05:00,75.97,75.97,75.93,75.93,1717,0,0
2019-12-17 11:29:00-05:00,75.98,75.98,75.98,75.98,15291,0,0
2019-12-17 11:30:00-05:00,75.98,75.98,75.87,75.92,5167,0,0
2019-12-17 11:32:00-05:00,75.95,76.02,75.94,76.02,648,0,0
2019-12-17 11:33:00-05:00,76.0,76.05,76.0,76.01,820,0,0
2019-12-17 11:34:00-05:00,76.01,76.07,76.01,76.07,1138,0,0
2019-12-17 11:35:00-05:00,76.07,76.07,76.07,76.07,338,0,0
2019-12-17 11:36:00-05:00,76.05,76.05,76.02,76.02,784,0,0
2019-12-17 11:37:00-05:00,76.02,76.02,75.99,76.01,934,0,0
2019-12-17 11:38:00-05:00,76.0,76.0,75.98,75.98,240,0,0
2019-12-17 11:39:00-05:00,75.97,76.01,75.96,75.96,1580,0,0
2019-12-17 11:40:00-05:00,76.0,76.01,76.0,76.01,703,0,0
2019-12-17 11:41:00-05:00,76.0,76.0,76.0,76.0,364,0,0
2019-12-17 11:42:00-05:00,75.99,75.99,75.96,75.96,651,0,0
2019-12-17 11:43:00-05:00,75.96,75.96,75.92,75.96,705,0,0
2019-12-17 11:44:00-05:00,75.95,76.0,75.95,76.0,652,0,0
2019-12-17 11:45:00-05:00,76.0,76.0,76.0,76.0,394,0,0
2019-12-17 11:46:00-05:00,76.03,76.03,76.03,76.03,201,0,0
2019-12-17 11:47:00-05:00,76.03,76.03,75.98,75.98,1208,0,0
2019-12-17 11:48:00-05:00,75.97,75.98,75.97,75.98,310,0,0
2019-12-17 11:49:00-05:00,75.99,75.99,75.99,75.99,111,0,0
2019-12-17 11:50:00-05:00,75.98,75.98,75.98,75.98,100,0,0
2019-12-17 11:51:00-05:00,76.01,76.01,75.98,76.01,1603,0,0
2019-12-17 11:52:00-05:00,75.99,75.99,75.98,75.98,563,0,0
2019-12-17 11:53:00-05:00,75.96,75.96,75.93,75.93,860,0,0
2019-12-17 11:54:00-05:00,75.93,75.93,75.93,75.93,102,0,0
2019-12-17 11:55:00-05:00,75.92,75.94,75.92,75.94,453,0,0
2019-12-17 11:56:00-05:00,75.94,75.94,75.94,75.94,112,0,0
2019-12-17 11:58:00-05:00,75.9,75.9,75.9,75.9,2057,0,0
2019-12-17 12:01:00-05:00,75.88,75.88,75.88,75.88,2143,0,0
2019-12-17 12:02:00-05:00,75.86,75.86,75.86,75.86,103,0,0
2019-12-17 12:03:00-05:00,75.85,75.88,75.85,75.85,301,0,0
2019-12-17 12:04:00-05:00,75.85,75.85,75.85,75.85,506,0,0
2019-12-17 12:05:00-05:00,75.85,75.85,75.84,75.85,302,0,0
2019-12-17 12:06:00-05:00,75.85,75.85,75.85,75.85,405,0,0
2019-12-17 12:07:00-05:00,75.85,75.86,75.82,75.84,1447,0,0
2019-12-17 12:09:00-05:00,75.84,75.84,75.84,75.84,244,0,0
2019-12-17 12:10:00-05:00,75.84,75.84,75.82,75.84,801,0,0
2019-12-17 12:11:00-05:00,75.86,75.86,75.86,75.86,395,0,0
2019-12-17 12:13:00-05:00,75.93,75.96,75.93,75.96,483,0,0
2019-12-17 12:14:00-05:00,75.94,75.95,75.94,75.95,501,0,0
2019-12-17 12:15:00-05:00,75.95,75.95,75.95,75.95,101,0,0
2019-12-17 12:16:00-05:00,75.95,75.95,75.95,75.95,100,0,0
2019-12-17 12:17:00-05:00,75.96,75.96,75.95,75.95,202,0,0
2019-12-17 12:18:00-05:00,75.94,75.94,75.88,75.93,1529,0,0
2019-12-17 12:19:00-05:00,75.91,75.92,75.91,75.92,1485,0,0
2019-12-17 12:20:00-05:00,75.9,75.92,75.87,75.89,1556,0,0
2019-12-17 12:21:00-05:00,75.88,75.88,75.88,75.88,121,0,0
2019-12-17 12:23:00-05:00,75.88,75.9,75.88,75.9,940,0,0
2019-12-17 12:25:00-05:00,75.96,75.96,75.93,75.93,306,0,0
2019-12-17 12:27:00-05:00,75.94,75.94,75.94,75.94,189,0,0
2019-12-17 12:28:00-05:00,75.95,75.95,75.94,75.94,417,0,0
2019-12-17 12:29:00-05:00,75.94,75.94,75.94,75.94,114,0,0
2019-12-17 12:30:00-05:00,75.94,75.94,75.91,75.93,702,0,0
2019-12-17 12:31:00-05:00,75.93,75.97,75.93,75.97,819,0,0
2019-12-17 12:32:00-05:00,75.99,75.99,75.97,75.97,402,0,0
2019-12-17 12:33:00-05:00,75.97,75.97,75.96,75.96,325,0,0
2019-12-17 12:34:00-05:00,75.96,75.96,75.96,75.96,101,0,0
2019-12-17 12:35:00-05:00,75.97,75.97,75.95,75.95,547,0,0
2019-12-17 12:36:00-05:00,75.95,75.95,75.95,75.95,203,0,0
2019-12-17 12:37:00-05:00,75.95,75.95,75.93,75.93,646,0,0
2019-12-17 12:39:00-05:00,75.93,75.93,75.92,75.92,1768,0,0
2019-12-17 12:40:00-05:00,75.95,75.96,75.89,75.89,502,0,0
2019-12-17 12:41:00-05:00,75.95,75.96,75.93,75.96,414,0,0
2019-12-17 12:42:00-05:00,75.95,75.95,75.95,75.95,236,0,0
2019-12-17 12:43:00-05:00,75.94,75.99,75.94,75.96,1465,0,0
2019-12-17 12:45:00-05:00,75.97,75.97,75.97,75.97,137,0,0
2019-12-17 12:46:00-05:00,75.96,75.96,75.95,75.95,309,0,0
2019-12-17 12:47:00-05:00,75.95,75.96,75.93,75.96,600,0,0
2019-12-17 12:48:00-05:00,75.97,75.98,75.97,75.98,201,0,0
2019-12-17 12:49:00-05:00,75.99,75.99,75.99,75.99,101,0,0
2019-12-17 12:50:00-05:00,75.99,76.07,75.98,76.07,3525,0,0
2019-12-17 12:52:00-05:00,76.06,76.06,76.06,76.06,208,0,0
2019-12-17 12:53:00-05:00,76.08,76.08,76.06,76.06,671,0,0
2019-12-17 12:54:00-05:00,76.06,76.06,76.05,76.05,224,0,0
2019-12-17 12:56:00-05:00,76.05,76.06,76.05,76.06,758,0,0
2019-12-17 12:57:00-05:00,76.05,76.05,76.05,76.05,227,0,0
2019-12-17 12:58:00-05:00,76.07,76.11,76.02,76.02,4909,0,0
2019-12-17 12:59:00-05:00,76.04,76.11,76.04,76.11,907,0,0
2019-12-17 13:00:00-05:00,76.1,76.12,76.1,76.12,543,0,0
2019-12-17 13:01:00-05:00,76.12,76.12,76.12,76.12,111,0,0
2019-12-17 13:02:00-05:00,76.12,76.12,76.12,76.12,120,0,0
2019-12-17 13:03:00-05:00,76.12,76.12,76.12,76.12,307,0,0
2019-12-17 13:04:00-05:00,76.12,76.12,76.08,76.08,1486,0,0
2019-12-17 13:05:00-05:00,76.07,76.16,76.07,76.16,1731,0,0
2019-12-17 13:06:00-05:00,76.2,76.2,76.11,76.11,1757,0,0
2019-12-17 13:07:00-05:00,76.12,76.12,76.09,76.09,203,0,0
2019-12-17 13:08:00-05:00,76.14,76.14,76.14,76.14,218,0,0
2019-12-17 13:09:00-05:00,76.13,76.14,76.11,76.11,865,0,0
2019-12-17 13:10:00-05:00,76.11,76.11,76.11,76.11,412,0,0
2019-12-17 13:11:00-05:00,76.11,76.11,76.08,76.11,1413,0,0
