Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 11:06:00-05:00,91.3,91.45,91.3,91.45,0,0,0
2019-12-17 11:12:00-05:00,91.22,91.22,91.22,91.22,122,0,0
2019-12-17 11:16:00-05:00,91.25,91.25,91.16,91.19,1529,0,0
2019-12-17 11:17:00-05:00,91.5,91.5,91.3,91.5,810,0,0
2019-12-17 11:18:00-05:00,91.5,91.5,91.3,91.3,1221,0,0
2019-12-17 11:23:00-05:00,91.37,91.37,91.37,91.37,520,0,0
2019-12-17 11:24:00-05:00,91.48,91.49,91.48,91.49,265,0,0
2019-12-17 11:26:00-05:00,91.38,91.38,91.38,91.38,149,0,0
2019-12-17 11:29:00-05:00,91.47,91.47,91.47,91.47,135,0,0
2019-12-17 11:35:00-05:00,91.46,91.46,91.46,91.46,156,0,0
2019-12-17 11:36:00-05:00,91.42,91.42,91.42,91.42,100,0,0
2019-12-17 11:37:00-05:00,91.5,91.5,91.47,91.47,1238,0,0
2019-12-17 11:38:00-05:00,91.71,91.74,91.71,91.74,451,0,0
2019-12-17 11:49:00-05:00,91.58,91.58,91.56,91.56,870,0,0
2019-12-17 11:51:00-05:00,91.59,91.59,91.59,91.59,245,0,0
2019-12-17 11:59:00-05:00,91.64,91.73,91.64,91.73,499,0,0
2019-12-17 12:02:00-05:00,91.67,91.86,91.67,91.7,1137,0,0
2019-12-17 12:03:00-05:00,91.69,91.7,91.65,91.65,1410,0,0
2019-12-17 12:04:00-05:00,91.65,91.65,91.61,91.61,961,0,0
2019-12-17 12:10:00-05:00,91.67,91.67,91.67,91.67,120,0,0
2019-12-17 12:11:00-05:00,91.67,91.77,91.67,91.77,420,0,0
2019-12-17 12:12:00-05:00,91.8,91.81,91.8,91.81,340,0,0
2019-12-17 12:19:00-05:00,91.95,91.95,91.95,91.95,212,0,0
2019-12-17 12:20:00-05:00,92.04,92.04,92.04,92.04,446,0,0
2019-12-17 12:29:00-05:00,92.03,92.03,92.03,92.03,464,0,0
2019-12-17 12:37:00-05:00,92.02,92.02,92.02,92.02,136,0,0
2019-12-17 12:44:00-05:00,92.12,92.12,92.12,92.12,658,0,0
2019-12-17 12:59:00-05:00,92.04,92.09,91.94,91.94,962,0,0
2019-12-17 13:10:00-05:00,92.02,92.02,92.02,92.02,454,0,0
2019-12-17 13:19:00-05:00,91.85,91.88,91.85,91.88,200,0,0
2019-12-17 13:20:00-05:00,91.9,91.9,91.9,91.9,1592,0,0
2019-12-17 13:41:00-05:00,91.86,91.86,91.76,91.78,1689,0,0
2019-12-17 14:03:00-05:00,91.73,91.73,91.71,91.71,708,0,0
2019-12-17 14:04:00-05:00,91.64,91.64,91.64,91.64,100,0,0
2019-12-17 14:05:00-05:00,91.62,91.62,91.62,91.62,145,0,0
2019-12-17 14:06:00-05:00,91.6,91.6,91.6,91.6,101,0,0
2019-12-17 14:07:00-05:00,91.56,91.57,91.47,91.57,1026,0,0
