Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 11:00:00-05:00,125.71,125.71,125.71,125.71,0,0,0
2019-12-17 11:01:00-05:00,125.7,125.73,125.6,125.69,10191,0,0
2019-12-17 11:02:00-05:00,125.7,125.8,125.68,125.76,14593,0,0
2019-12-17 11:03:00-05:00,125.78,125.94,125.78,125.93,29939,0,0
2019-12-17 11:04:00-05:00,125.94,125.98,125.88,125.97,16539,0,0
2019-12-17 11:05:00-05:00,125.99,126.04,125.97,126.04,17619,0,0
2019-12-17 11:06:00-05:00,126.03,126.05,126.0,126.04,12328,0,0
2019-12-17 11:07:00-05:00,126.02,126.07,126.0,126.05,27163,0,0
2019-12-17 11:08:00-05:00,126.05,126.11,126.03,126.11,14614,0,0
2019-12-17 11:09:00-05:00,126.13,126.13,126.02,126.08,8517,0,0
2019-12-17 11:10:00-05:00,126.13,126.16,126.09,126.11,9560,0,0
2019-12-17 11:11:00-05:00,126.13,126.13,126.07,126.1,9883,0,0
2019-12-17 11:12:00-05:00,126.1,126.1,125.99,125.99,13616,0,0
2019-12-17 11:13:00-05:00,125.99,126.15,125.99,126.15,14165,0,0
2019-12-17 11:14:00-05:00,126.14,126.26,126.13,126.26,10623,0,0
2019-12-17 11:15:00-05:00,126.26,126.35,126.26,126.31,13205,0,0
2019-12-17 11:16:00-05:00,126.29,126.31,126.18,126.26,14581,0,0
2019-12-17 11:17:00-05:00,126.27,126.33,126.26,126.32,18057,0,0
2019-12-17 11:18:00-05:00,126.29,126.49,126.27,126.44,18518,0,0
2019-12-17 11:19:00-05:00,126.42,126.7,126.42,126.54,35546,0,0
2019-12-17 11:20:00-05:00,126.5,126.71,126.45,126.58,41691,0,0
2019-12-17 11:21:00-05:00,126.59,126.66,126.58,126.64,17343,0,0
2019-12-17 11:22:00-05:00,126.69,126.87,126.68,126.84,29188,0,0
2019-12-17 11:23:00-05:00,126.81,126.92,126.7,126.74,36127,0,0
2019-12-17 11:24:00-05:00,126.73,126.8,126.62,126.78,24368,0,0
2019-12-17 11:25:00-05:00,126.78,126.83,126.42,126.45,26532,0,0
2019-12-17 11:26:00-05:00,126.42,126.42,126.13,126.19,19801,0,0
2019-12-17 11:27:00-05:00,126.22,126.24,126.13,126.14,9017,0,0
2019-12-17 11:29:00-05:00,126.12,126.13,126.12,126.13,18421,0,0
2019-12-17 11:30:00-05:00,126.14,126.25,126.13,126.21,7868,0,0
2019-12-17 11:31:00-05:00,126.22,126.24,126.11,126.11,5695,0,0
2019-12-17 11:32:00-05:00,126.14,126.15,126.02,126.02,12548,0,0
2019-12-17 11:33:00-05:00,126.02,126.06,125.98,126.0,8716,0,0
2019-12-17 11:34:00-05:00,126.02,126.07,126.01,126.05,9536,0,0
2019-12-17 11:35:00-05:00,126.07,126.31,126.07,126.28,13802,0,0
2019-12-17 11:36:00-05:00,126.26,126.38,126.26,126.31,10202,0,0
