Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 11:00:00-05:00,54.07,54.07,54.07,54.07,0,0,0
2019-12-17 11:01:00-05:00,54.05,54.05,54.04,54.04,1527,0,0
2019-12-17 11:02:00-05:00,54.04,54.04,54.01,54.01,779,0,0
2019-12-17 11:03:00-05:00,54.01,54.02,54.01,54.02,661,0,0
2019-12-17 11:04:00-05:00,54.03,54.03,54.03,54.03,1352,0,0
2019-12-17 11:05:00-05:00,54.02,54.02,54.01,54.01,1620,0,0
2019-12-17 11:06:00-05:00,54.02,54.03,54.0,54.0,3878,0,0
2019-12-17 11:07:00-05:00,54.01,54.01,54.01,54.01,927,0,0
2019-12-17 11:08:00-05:00,54.0,54.01,54.0,54.01,2661,0,0
2019-12-17 11:09:00-05:00,54.0,54.03,53.99,53.99,3467,0,0
2019-12-17 11:10:00-05:00,53.99,54.01,53.98,54.01,2401,0,0
2019-12-17 11:11:00-05:00,54.01,54.04,54.01,54.03,6605,0,0
2019-12-17 11:12:00-05:00,54.02,54.02,53.96,53.98,3841,0,0
2019-12-17 11:13:00-05:00,53.99,54.01,53.99,54.01,5037,0,0
2019-12-17 11:14:00-05:00,54.02,54.04,54.02,54.03,1774,0,0
2019-12-17 11:15:00-05:00,54.02,54.02,54.0,54.01,2265,0,0
2019-12-17 11:16:00-05:00,54.01,54.03,54.01,54.03,746,0,0
2019-12-17 11:17:00-05:00,54.03,54.03,54.01,54.02,2086,0,0
2019-12-17 11:18:00-05:00,54.03,54.03,54.0,54.0,2222,0,0
2019-12-17 11:19:00-05:00,53.99,53.99,53.99,53.99,1000,0,0
2019-12-17 11:20:00-05:00,54.0,54.01,54.0,54.01,689,0,0
2019-12-17 11:21:00-05:00,54.01,54.03,54.01,54.03,2704,0,0
2019-12-17 11:22:00-05:00,54.03,54.03,54.02,54.03,3519,0,0
2019-12-17 11:23:00-05:00,54.03,54.03,54.03,54.03,493,0,0
2019-12-17 11:24:00-05:00,54.03,54.03,54.01,54.01,1019,0,0
2019-12-17 11:25:00-05:00,54.01,54.01,53.98,53.98,3238,0,0
2019-12-17 11:26:00-05:00,54.0,54.0,53.99,53.99,1226,0,0
2019-12-17 11:27:00-05:00,54.0,54.0,54.0,54.0,810,0,0
2019-12-17 11:29:00-05:00,54.03,54.03,54.03,54.03,1882,0,0
2019-12-17 11:30:00-05:00,54.05,54.06,54.05,54.06,2040,0,0
2019-12-17 11:31:00-05:00,54.05,54.05,54.04,54.05,1577,0,0
2019-12-17 11:32:00-05:00,54.04,54.06,54.04,54.06,1929,0,0
2019-12-17 11:33:00-05:00,54.03,54.03,54.01,54.02,1729,0,0
2019-12-17 11:34:00-05:00,54.01,54.01,53.99,53.99,1233,0,0
2019-12-17 11:35:00-05:00,54.0,54.0,54.0,54.0,512,0,0
2019-12-17 11:36:00-05:00,54.0,54.0,54.0,54.0,1945,0,0
2019-12-17 11:37:00-05:00,54.0,54.01,54.0,54.01,1313,0,0
2019-12-17 11:38:00-05:00,54.02,54.02,54.01,54.01,618,0,0
2019-12-17 11:39:00-05:00,54.02,54.03,54.01,54.01,910,0,0
2019-12-17 11:40:00-05:00,54.01,54.03,54.01,54.03,2265,0,0
2019-12-17 11:41:00-05:00,54.03,54.04,54.03,54.03,820,0,0
2019-12-17 11:42:00-05:00,54.03,54.03,53.99,53.99,3823,0,0
2019-12-17 11:43:00-05:00,53.99,54.03,53.99,54.03,2780,0,0
2019-12-17 11:44:00-05:00,54.01,54.01,53.97,53.97,1699,0,0
2019-12-17 11:45:00-05:00,53.97,53.97,53.95,53.95,11509,0,0
2019-12-17 11:46:00-05:00,53.95,53.97,53.94,53.94,1713,0,0
2019-12-17 11:47:00-05:00,53.95,53.97,53.95,53.97,2622,0,0
2019-12-17 11:48:00-05:00,53.99,54.0,53.99,54.0,1352,0,0
2019-12-17 11:50:00-05:00,54.0,54.0,53.98,53.98,1084,0,0
2019-12-17 11:51:00-05:00,53.97,53.97,53.97,53.97,916,0,0
2019-12-17 11:53:00-05:00,53.97,53.99,53.97,53.99,1143,0,0
2019-12-17 11:54:00-05:00,53.99,53.99,53.98,53.99,446,0,0
2019-12-17 11:55:00-05:00,53.98,53.98,53.95,53.95,1491,0,0
2019-12-17 11:56:00-05:00,53.95,53.95,53.92,53.92,1732,0,0
2019-12-17 11:57:00-05:00,53.92,53.93,53.92,53.93,435,0,0
2019-12-17 11:58:00-05:00,53.91,53.91,53.91,53.91,985,0,0
2019-12-17 11:59:00-05:00,53.91,53.91,53.91,53.91,160,0,0
2019-12-17 12:00:00-05:00,53.94,53.94,53.94,53.94,3015,0,0
2019-12-17 12:01:00-05:00,53.94,53.94,53.94,53.94,308,0,0
2019-12-17 12:02:00-05:00,53.92,53.94,53.92,53.93,969,0,0
2019-12-17 12:03:00-05:00,53.93,53.94,53.93,53.93,677,0,0
2019-12-17 12:04:00-05:00,53.93,53.94,53.92,53.94,1486,0,0
2019-12-17 12:05:00-05:00,53.94,53.94,53.93,53.94,612,0,0
2019-12-17 12:06:00-05:00,53.94,53.96,53.93,53.93,1964,0,0
2019-12-17 12:07:00-05:00,53.94,53.94,53.93,53.94,626,0,0
2019-12-17 12:08:00-05:00,53.94,53.96,53.94,53.94,2199,0,0
2019-12-17 12:09:00-05:00,53.95,53.95,53.95,53.95,238,0,0
2019-12-17 12:10:00-05:00,53.95,53.96,53.95,53.95,950,0,0
2019-12-17 12:11:00-05:00,53.95,53.97,53.95,53.97,2011,0,0
2019-12-17 12:12:00-05:00,53.96,53.96,53.93,53.93,2000,0,0
2019-12-17 12:13:00-05:00,53.93,53.93,53.9,53.92,1294,0,0
2019-12-17 12:14:00-05:00,53.93,53.93,53.92,53.93,1702,0,0
2019-12-17 12:15:00-05:00,53.92,53.94,53.92,53.93,876,0,0
2019-12-17 12:16:00-05:00,53.93,53.93,53.92,53.93,3145,0,0
2019-12-17 12:17:00-05:00,53.93,53.93,53.92,53.92,830,0,0
2019-12-17 12:18:00-05:00,53.93,53.93,53.9,53.92,3083,0,0
2019-12-17 12:19:00-05:00,53.92,53.94,53.92,53.94,1575,0,0
2019-12-17 12:20:00-05:00,53.94,53.96,53.94,53.95,3165,0,0
2019-12-17 12:21:00-05:00,53.95,53.95,53.94,53.95,1275,0,0
2019-12-17 12:22:00-05:00,53.95,53.96,53.92,53.92,1914,0,0
2019-12-17 12:23:00-05:00,53.93,53.95,53.93,53.95,962,0,0
2019-12-17 12:24:00-05:00,53.94,53.94,53.92,53.94,2394,0,0
2019-12-17 12:25:00-05:00,53.94,53.96,53.94,53.96,1218,0,0
2019-12-17 12:26:00-05:00,53.96,53.96,53.95,53.95,1173,0,0
2019-12-17 12:27:00-05:00,53.97,53.97,53.94,53.94,2283,0,0
2019-12-17 12:28:00-05:00,53.95,53.96,53.95,53.96,1443,0,0
2019-12-17 12:29:00-05:00,53.95,53.96,53.94,53.95,1114,0,0
2019-12-17 12:30:00-05:00,53.94,53.95,53.92,53.93,4403,0,0
2019-12-17 12:31:00-05:00,53.93,53.94,53.92,53.92,1631,0,0
2019-12-17 12:32:00-05:00,53.92,53.94,53.92,53.92,1862,0,0
2019-12-17 12:33:00-05:00,53.93,53.96,53.93,53.96,1030,0,0
2019-12-17 12:34:00-05:00,53.96,53.97,53.96,53.96,2009,0,0
2019-12-17 12:35:00-05:00,53.97,53.97,53.94,53.94,1154,0,0
2019-12-17 12:36:00-05:00,53.93,53.94,53.91,53.91,5201,0,0
2019-12-17 12:37:00-05:00,53.92,53.94,53.92,53.94,2381,0,0
2019-12-17 12:38:00-05:00,53.95,53.96,53.95,53.95,708,0,0
2019-12-17 12:39:00-05:00,53.96,53.97,53.96,53.97,712,0,0
2019-12-17 12:40:00-05:00,53.96,53.96,53.94,53.94,1118,0,0
2019-12-17 12:41:00-05:00,53.93,53.93,53.92,53.92,2174,0,0
2019-12-17 12:42:00-05:00,53.93,53.93,53.92,53.92,1193,0,0
2019-12-17 12:43:00-05:00,53.9,53.91,53.9,53.91,2650,0,0
2019-12-17 12:44:00-05:00,53.92,53.94,53.92,53.93,791,0,0
2019-12-17 12:45:00-05:00,53.92,53.93,53.92,53.93,340,0,0
2019-12-17 12:46:00-05:00,53.94,53.95,53.94,53.94,820,0,0
2019-12-17 12:47:00-05:00,53.95,53.95,53.94,53.94,432,0,0
2019-12-17 12:48:00-05:00,53.94,53.94,53.93,53.94,1543,0,0
2019-12-17 12:49:00-05:00,53.93,53.93,53.92,53.92,1243,0,0
2019-12-17 12:50:00-05:00,53.91,53.93,53.91,53.92,1199,0,0
2019-12-17 12:51:00-05:00,53.94,53.94,53.92,53.92,641,0,0
2019-12-17 12:52:00-05:00,53.93,53.96,53.93,53.95,1880,0,0
2019-12-17 12:53:00-05:00,53.93,53.93,53.92,53.93,2391,0,0
2019-12-17 12:54:00-05:00,53.94,53.94,53.92,53.93,2778,0,0
2019-12-17 12:55:00-05:00,53.93,53.94,53.93,53.94,1118,0,0
2019-12-17 12:56:00-05:00,53.96,53.97,53.94,53.95,4633,0,0
2019-12-17 12:57:00-05:00,53.95,53.96,53.95,53.96,1872,0,0
2019-12-17 12:58:00-05:00,53.96,53.97,53.95,53.97,3435,0,0
2019-12-17 12:59:00-05:00,53.96,53.97,53.94,53.94,4877,0,0
2019-12-17 13:00:00-05:00,53.94,53.94,53.93,53.94,2486,0,0
2019-12-17 13:01:00-05:00,53.94,53.94,53.94,53.94,254,0,0
2019-12-17 13:02:00-05:00,53.94,53.94,53.93,53.93,1489,0,0
2019-12-17 13:03:00-05:00,53.93,53.94,53.92,53.92,2510,0,0
2019-12-17 13:04:00-05:00,53.91,53.92,53.91,53.91,1095,0,0
2019-12-17 13:05:00-05:00,53.91,53.93,53.91,53.92,2286,0,0
2019-12-17 13:06:00-05:00,53.92,53.92,53.92,53.92,1684,0,0
2019-12-17 13:07:00-05:00,53.91,53.92,53.91,53.92,752,0,0
2019-12-17 13:08:00-05:00,53.91,53.91,53.9,53.9,1325,0,0
2019-12-17 13:09:00-05:00,53.89,53.9,53.89,53.89,1266,0,0
2019-12-17 13:10:00-05:00,53.88,53.9,53.87,53.9,1978,0,0
2019-12-17 13:11:00-05:00,53.9,53.9,53.89,53.89,1140,0,0
2019-12-17 13:12:00-05:00,53.9,53.92,53.9,53.91,1355,0,0
2019-12-17 13:13:00-05:00,53.91,53.91,53.9,53.9,1081,0,0
2019-12-17 13:14:00-05:00,53.9,53.91,53.9,53.9,403,0,0
2019-12-17 13:15:00-05:00,53.9,53.92,53.9,53.9,2167,0,0
2019-12-17 13:16:00-05:00,53.9,53.9,53.9,53.9,1252,0,0
2019-12-17 13:17:00-05:00,53.9,53.9,53.9,53.9,421,0,0
2019-12-17 13:18:00-05:00,53.9,53.91,53.9,53.9,1970,0,0
2019-12-17 13:19:00-05:00,53.9,53.9,53.9,53.9,943,0,0
2019-12-17 13:20:00-05:00,53.9,53.91,53.9,53.9,647,0,0
2019-12-17 13:21:00-05:00,53.91,53.92,53.91,53.92,1603,0,0
2019-12-17 13:22:00-05:00,53.91,53.91,53.9,53.9,1953,0,0
2019-12-17 13:23:00-05:00,53.9,53.9,53.9,53.9,241,0,0
2019-12-17 13:24:00-05:00,53.91,53.92,53.9,53.92,2333,0,0
2019-12-17 13:25:00-05:00,53.92,53.92,53.91,53.92,1380,0,0
2019-12-17 13:26:00-05:00,53.91,53.93,53.91,53.93,1672,0,0
2019-12-17 13:27:00-05:00,53.94,53.94,53.93,53.93,1356,0,0
2019-12-17 13:28:00-05:00,53.95,53.95,53.94,53.94,862,0,0
2019-12-17 13:29:00-05:00,53.93,53.93,53.92,53.92,260,0,0
2019-12-17 13:30:00-05:00,53.92,53.92,53.9,53.9,1945,0,0
2019-12-17 13:31:00-05:00,53.9,53.9,53.89,53.89,1365,0,0
2019-12-17 13:32:00-05:00,53.9,53.92,53.9,53.91,5463,0,0
2019-12-17 13:33:00-05:00,53.91,53.92,53.9,53.91,2116,0,0
2019-12-17 13:34:00-05:00,53.91,53.91,53.9,53.9,582,0,0
2019-12-17 13:35:00-05:00,53.9,53.9,53.89,53.89,1504,0,0
2019-12-17 13:36:00-05:00,53.88,53.88,53.88,53.88,1530,0,0
2019-12-17 13:37:00-05:00,53.87,53.9,53.87,53.87,3744,0,0
2019-12-17 13:38:00-05:00,53.87,53.88,53.87,53.88,1191,0,0
2019-12-17 13:39:00-05:00,53.88,53.89,53.88,53.88,1648,0,0
2019-12-17 13:40:00-05:00,53.89,53.9,53.89,53.9,858,0,0
2019-12-17 13:41:00-05:00,53.9,53.9,53.89,53.9,1621,0,0
2019-12-17 13:42:00-05:00,53.9,53.9,53.89,53.89,3276,0,0
2019-12-17 13:43:00-05:00,53.89,53.9,53.89,53.9,1629,0,0
2019-12-17 13:44:00-05:00,53.9,53.9,53.88,53.88,1186,0,0
2019-12-17 13:45:00-05:00,53.88,53.88,53.88,53.88,332,0,0
2019-12-17 13:46:00-05:00,53.88,53.89,53.88,53.89,850,0,0
2019-12-17 13:47:00-05:00,53.89,53.89,53.89,53.89,256,0,0
2019-12-17 13:48:00-05:00,53.89,53.91,53.89,53.9,1989,0,0
2019-12-17 13:49:00-05:00,53.91,53.92,53.91,53.92,1436,0,0
2019-12-17 13:50:00-05:00,53.92,53.92,53.9,53.9,1046,0,0
2019-12-17 13:51:00-05:00,53.9,53.91,53.9,53.9,2473,0,0
2019-12-17 13:52:00-05:00,53.9,53.91,53.9,53.9,1251,0,0
2019-12-17 13:53:00-05:00,53.9,53.9,53.9,53.9,331,0,0
2019-12-17 13:54:00-05:00,53.89,53.91,53.89,53.9,2446,0,0
2019-12-17 13:55:00-05:00,53.9,53.9,53.9,53.9,462,0,0
2019-12-17 13:56:00-05:00,53.91,53.91,53.9,53.9,2216,0,0
2019-12-17 13:57:00-05:00,53.9,53.91,53.9,53.9,935,0,0
2019-12-17 13:58:00-05:00,53.9,53.91,53.9,53.9,606,0,0
2019-12-17 13:59:00-05:00,53.9,53.91,53.9,53.9,1187,0,0
2019-12-17 14:00:00-05:00,53.91,53.91,53.87,53.88,6732,0,0
2019-12-17 14:01:00-05:00,53.88,53.9,53.88,53.89,4732,0,0
2019-12-17 14:02:00-05:00,53.88,53.89,53.88,53.88,927,0,0
2019-12-17 14:03:00-05:00,53.88,53.89,53.87,53.87,2429,0,0
2019-12-17 14:04:00-05:00,53.88,53.88,53.87,53.88,864,0,0
2019-12-17 14:05:00-05:00,53.87,53.87,53.86,53.86,2276,0,0
2019-12-17 14:06:00-05:00,53.86,53.86,53.84,53.84,1231,0,0
2019-12-17 14:07:00-05:00,53.85,53.85,53.84,53.85,1587,0,0
2019-12-17 14:08:00-05:00,53.85,53.87,53.85,53.85,1810,0,0
2019-12-17 14:09:00-05:00,53.85,53.85,53.85,53.85,563,0,0
2019-12-17 14:10:00-05:00,53.85,53.85,53.84,53.84,901,0,0
2019-12-17 14:11:00-05:00,53.85,53.86,53.85,53.85,1324,0,0
2019-12-17 14:12:00-05:00,53.86,53.86,53.85,53.86,631,0,0
2019-12-17 14:13:00-05:00,53.87,53.88,53.87,53.88,887,0,0
2019-12-17 14:14:00-05:00,53.88,53.89,53.88,53.88,1359,0,0
2019-12-17 14:15:00-05:00,53.89,53.89,53.89,53.89,1849,0,0
2019-12-17 14:17:00-05:00,53.89,53.9,53.89,53.9,822,0,0
2019-12-17 14:18:00-05:00,53.9,53.91,53.9,53.9,1363,0,0
2019-12-17 14:19:00-05:00,53.9,53.9,53.9,53.9,671,0,0
2019-12-17 14:20:00-05:00,53.9,53.9,53.9,53.9,913,0,0
2019-12-17 14:21:00-05:00,53.9,53.9,53.88,53.88,2802,0,0
2019-12-17 14:22:00-05:00,53.87,53.88,53.86,53.86,950,0,0
2019-12-17 14:23:00-05:00,53.85,53.85,53.85,53.85,391,0,0
2019-12-17 14:24:00-05:00,53.86,53.87,53.86,53.87,939,0,0
2019-12-17 14:25:00-05:00,53.86,53.86,53.86,53.86,1022,0,0
2019-12-17 14:26:00-05:00,53.87,53.87,53.87,53.87,776,0,0
2019-12-17 14:27:00-05:00,53.88,53.88,53.88,53.88,108,0,0
2019-12-17 14:28:00-05:00,53.88,53.88,53.87,53.88,719,0,0
2019-12-17 14:29:00-05:00,53.88,53.88,53.87,53.87,783,0,0
2019-12-17 14:30:00-05:00,53.87,53.87,53.86,53.86,321,0,0
2019-12-17 14:31:00-05:00,53.87,53.87,53.86,53.87,615,0,0
2019-12-17 14:32:00-05:00,53.87,53.87,53.87,53.87,206,0,0
2019-12-17 14:33:00-05:00,53.86,53.86,53.84,53.84,2862,0,0
2019-12-17 14:34:00-05:00,53.85,53.85,53.85,53.85,1142,0,0
2019-12-17 14:35:00-05:00,53.85,53.86,53.85,53.86,636,0,0
2019-12-17 14:36:00-05:00,53.85,53.86,53.85,53.86,1683,0,0
2019-12-17 14:37:00-05:00,53.87,53.87,53.86,53.87,1127,0,0
2019-12-17 14:38:00-05:00,53.88,53.9,53.88,53.9,2203,0,0
2019-12-17 14:39:00-05:00,53.9,53.9,53.88,53.88,1545,0,0
2019-12-17 14:40:00-05:00,53.88,53.88,53.88,53.88,989,0,0
2019-12-17 14:41:00-05:00,53.87,53.87,53.86,53.86,2411,0,0
2019-12-17 14:42:00-05:00,53.87,53.87,53.85,53.85,1130,0,0
2019-12-17 14:43:00-05:00,53.86,53.86,53.85,53.85,1093,0,0
2019-12-17 14:44:00-05:00,53.86,53.87,53.86,53.87,1053,0,0
2019-12-17 14:45:00-05:00,53.87,53.87,53.82,53.84,3973,0,0
2019-12-17 14:46:00-05:00,53.84,53.86,53.84,53.86,1354,0,0
2019-12-17 14:47:00-05:00,53.85,53.87,53.85,53.87,1847,0,0
2019-12-17 14:48:00-05:00,53.87,53.89,53.87,53.89,1252,0,0
2019-12-17 14:49:00-05:00,53.89,53.9,53.89,53.89,1532,0,0
2019-12-17 14:50:00-05:00,53.89,53.89,53.88,53.88,794,0,0
2019-12-17 14:51:00-05:00,53.89,53.89,53.88,53.88,1081,0,0
2019-12-17 14:52:00-05:00,53.88,53.88,53.86,53.86,2348,0,0
2019-12-17 14:53:00-05:00,53.86,53.87,53.86,53.86,792,0,0
2019-12-17 14:54:00-05:00,53.86,53.86,53.85,53.85,2403,0,0
2019-12-17 14:55:00-05:00,53.84,53.85,53.84,53.84,791,0,0
2019-12-17 14:56:00-05:00,53.84,53.84,53.84,53.84,391,0,0
2019-12-17 14:57:00-05:00,53.85,53.86,53.85,53.86,2633,0,0
2019-12-17 14:58:00-05:00,53.86,53.87,53.86,53.87,2558,0,0
2019-12-17 14:59:00-05:00,53.88,53.89,53.88,53.88,1388,0,0
2019-12-17 15:00:00-05:00,53.88,53.88,53.87,53.88,1012,0,0
2019-12-17 15:01:00-05:00,53.88,53.88,53.87,53.87,1404,0,0
2019-12-17 15:02:00-05:00,53.86,53.87,53.86,53.86,2109,0,0
2019-12-17 15:03:00-05:00,53.86,53.86,53.85,53.85,1951,0,0
2019-12-17 15:04:00-05:00,53.86,53.86,53.85,53.85,2812,0,0
