Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 11:00:00-05:00,54.7,54.7,54.7,54.7,0,0,0
2019-12-17 11:01:00-05:00,54.7,54.7,54.66,54.69,9890,0,0
2019-12-17 11:02:00-05:00,54.69,54.7,54.68,54.69,3759,0,0
2019-12-17 11:03:00-05:00,54.69,54.7,54.67,54.68,5321,0,0
2019-12-17 11:04:00-05:00,54.68,54.68,54.65,54.66,3840,0,0
2019-12-17 11:05:00-05:00,54.66,54.69,54.66,54.69,3323,0,0
2019-12-17 11:06:00-05:00,54.69,54.71,54.68,54.71,3691,0,0
2019-12-17 11:07:00-05:00,54.71,54.71,54.68,54.71,6024,0,0
2019-12-17 11:08:00-05:00,54.71,54.71,54.69,54.71,4903,0,0
2019-12-17 11:09:00-05:00,54.71,54.75,54.71,54.75,5275,0,0
2019-12-17 11:10:00-05:00,54.75,54.76,54.72,54.72,7103,0,0
2019-12-17 11:11:00-05:00,54.74,54.74,54.71,54.72,5216,0,0
2019-12-17 11:12:00-05:00,54.71,54.74,54.71,54.72,5472,0,0
2019-12-17 11:13:00-05:00,54.72,54.73,54.72,54.72,2329,0,0
2019-12-17 11:14:00-05:00,54.72,54.72,54.67,54.67,5141,0,0
2019-12-17 11:15:00-05:00,54.67,54.69,54.65,54.69,3051,0,0
2019-12-17 11:16:00-05:00,54.69,54.69,54.66,54.66,2315,0,0
2019-12-17 11:17:00-05:00,54.67,54.67,54.66,54.67,3331,0,0
2019-12-17 11:18:00-05:00,54.68,54.72,54.68,54.71,2748,0,0
2019-12-17 11:19:00-05:00,54.72,54.72,54.68,54.68,4883,0,0
2019-12-17 11:20:00-05:00,54.69,54.69,54.65,54.65,4395,0,0
2019-12-17 11:21:00-05:00,54.65,54.66,54.64,54.64,1454,0,0
2019-12-17 11:22:00-05:00,54.65,54.65,54.64,54.65,8959,0,0
2019-12-17 11:23:00-05:00,54.66,54.67,54.65,54.66,3043,0,0
2019-12-17 11:24:00-05:00,54.67,54.67,54.65,54.66,3302,0,0
2019-12-17 11:25:00-05:00,54.66,54.68,54.66,54.68,1536,0,0
2019-12-17 11:26:00-05:00,54.68,54.7,54.66,54.7,4888,0,0
2019-12-17 11:27:00-05:00,54.69,54.69,54.67,54.68,3947,0,0
2019-12-17 11:29:00-05:00,54.68,54.68,54.68,54.68,4229,0,0
2019-12-17 11:30:00-05:00,54.69,54.71,54.69,54.7,3594,0,0
2019-12-17 11:31:00-05:00,54.71,54.72,54.68,54.7,7943,0,0
2019-12-17 11:32:00-05:00,54.71,54.73,54.71,54.71,2697,0,0
2019-12-17 11:33:00-05:00,54.71,54.72,54.71,54.72,1952,0,0
2019-12-17 11:34:00-05:00,54.72,54.73,54.69,54.69,7966,0,0
2019-12-17 11:35:00-05:00,54.69,54.75,54.69,54.75,5792,0,0
2019-12-17 11:36:00-05:00,54.75,54.76,54.74,54.76,1662,0,0
2019-12-17 11:37:00-05:00,54.76,54.77,54.75,54.76,2178,0,0
2019-12-17 11:38:00-05:00,54.76,54.82,54.76,54.82,6105,0,0
2019-12-17 11:39:00-05:00,54.81,54.82,54.79,54.82,3601,0,0
2019-12-17 11:40:00-05:00,54.82,54.82,54.79,54.8,3655,0,0
2019-12-17 11:41:00-05:00,54.8,54.8,54.79,54.79,2114,0,0
2019-12-17 11:42:00-05:00,54.8,54.82,54.8,54.81,2755,0,0
2019-12-17 11:43:00-05:00,54.81,54.82,54.81,54.81,3115,0,0
2019-12-17 11:44:00-05:00,54.81,54.82,54.81,54.81,10376,0,0
2019-12-17 11:45:00-05:00,54.82,54.83,54.82,54.83,1710,0,0
2019-12-17 11:46:00-05:00,54.82,54.82,54.79,54.8,9901,0,0
2019-12-17 11:47:00-05:00,54.79,54.83,54.79,54.83,1965,0,0
2019-12-17 11:48:00-05:00,54.82,54.83,54.82,54.82,2656,0,0
2019-12-17 11:49:00-05:00,54.83,54.83,54.81,54.81,5970,0,0
2019-12-17 11:50:00-05:00,54.81,54.83,54.8,54.83,2945,0,0
2019-12-17 11:51:00-05:00,54.82,54.82,54.81,54.81,3710,0,0
2019-12-17 11:52:00-05:00,54.81,54.81,54.79,54.79,5464,0,0
2019-12-17 11:53:00-05:00,54.79,54.8,54.78,54.79,4973,0,0
2019-12-17 11:54:00-05:00,54.79,54.79,54.77,54.77,4707,0,0
2019-12-17 11:55:00-05:00,54.78,54.78,54.77,54.77,1830,0,0
2019-12-17 11:56:00-05:00,54.78,54.8,54.78,54.79,4049,0,0
2019-12-17 11:57:00-05:00,54.79,54.79,54.79,54.79,243,0,0
2019-12-17 11:58:00-05:00,54.81,54.83,54.81,54.83,9160,0,0
2019-12-17 11:59:00-05:00,54.83,54.83,54.82,54.83,5150,0,0
2019-12-17 12:01:00-05:00,54.81,54.81,54.81,54.81,19219,0,0
2019-12-17 12:02:00-05:00,54.81,54.82,54.8,54.8,5260,0,0
