Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 11:01:00-05:00,16.34,16.34,16.34,16.34,0,0,0
2019-12-17 11:03:00-05:00,16.34,16.34,16.34,16.34,100,0,0
2019-12-17 11:06:00-05:00,16.34,16.34,16.34,16.34,100,0,0
2019-12-17 11:09:00-05:00,16.34,16.34,16.34,16.34,100,0,0
2019-12-17 11:12:00-05:00,16.34,16.34,16.34,16.34,100,0,0
2019-12-17 11:13:00-05:00,16.34,16.34,16.34,16.34,3100,0,0
2019-12-17 11:15:00-05:00,16.35,16.35,16.35,16.35,100,0,0
2019-12-17 11:19:00-05:00,16.35,16.35,16.35,16.35,100,0,0
2019-12-17 11:20:00-05:00,16.34,16.34,16.34,16.34,700,0,0
2019-12-17 11:21:00-05:00,16.34,16.35,16.34,16.35,1500,0,0
2019-12-17 11:23:00-05:00,16.35,16.35,16.35,16.35,100,0,0
2019-12-17 11:24:00-05:00,16.34,16.34,16.34,16.34,500,0,0
2019-12-17 11:26:00-05:00,16.34,16.34,16.34,16.34,100,0,0
2019-12-17 11:29:00-05:00,16.34,16.34,16.34,16.34,100,0,0
2019-12-17 11:31:00-05:00,16.35,16.35,16.35,16.35,500,0,0
2019-12-17 11:33:00-05:00,16.34,16.35,16.34,16.35,1900,0,0
2019-12-17 11:35:00-05:00,16.34,16.34,16.34,16.34,100,0,0
2019-12-17 11:39:00-05:00,16.34,16.34,16.34,16.34,332,0,0
2019-12-17 11:52:00-05:00,16.35,16.35,16.35,16.35,3059,0,0
2019-12-17 11:54:00-05:00,16.35,16.35,16.35,16.35,1890,0,0
2019-12-17 11:59:00-05:00,16.34,16.34,16.34,16.34,661,0,0
2019-12-17 12:01:00-05:00,16.35,16.35,16.35,16.35,200,0,0
2019-12-17 12:02:00-05:00,16.35,16.35,16.35,16.35,200,0,0
2019-12-17 12:03:00-05:00,16.35,16.35,16.35,16.35,100,0,0
2019-12-17 12:04:00-05:00,16.35,16.35,16.35,16.35,200,0,0
2019-12-17 12:05:00-05:00,16.35,16.35,16.35,16.35,100,0,0
2019-12-17 12:06:00-05:00,16.35,16.35,16.35,16.35,100,0,0
2019-12-17 12:07:00-05:00,16.35,16.35,16.35,16.35,100,0,0
