Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 11:04:00-05:00,15.99,15.99,15.99,15.99,0,0,0
2019-12-17 11:05:00-05:00,16.0,16.0,16.0,16.0,1550,0,0
2019-12-17 11:12:00-05:00,16.01,16.02,16.01,16.02,4703,0,0
2019-12-17 11:13:00-05:00,16.01,16.02,16.01,16.01,655,0,0
2019-12-17 11:17:00-05:00,16.02,16.02,16.0,16.01,6599,0,0
2019-12-17 11:20:00-05:00,16.03,16.03,16.02,16.02,1836,0,0
2019-12-17 11:47:00-05:00,16.03,16.05,16.03,16.05,2565,0,0
2019-12-17 11:53:00-05:00,16.05,16.05,16.05,16.05,105,0,0
2019-12-17 12:01:00-05:00,16.06,16.06,16.06,16.06,340,0,0
2019-12-17 12:03:00-05:00,16.05,16.05,16.05,16.05,3980,0,0
2019-12-17 12:04:00-05:00,16.05,16.05,16.04,16.04,1040,0,0
2019-12-17 12:19:00-05:00,16.02,16.02,16.02,16.02,862,0,0
2019-12-17 12:30:00-05:00,16.02,16.02,16.02,16.02,800,0,0
2019-12-17 12:34:00-05:00,16.02,16.02,16.02,16.02,214,0,0
2019-12-17 12:54:00-05:00,16.02,16.02,16.02,16.02,202,0,0
2019-12-17 12:56:00-05:00,16.01,16.01,16.01,16.01,1759,0,0
2019-12-17 12:57:00-05:00,16.0,16.0,15.97,15.97,1246,0,0
2019-12-17 13:00:00-05:00,15.99,15.99,15.98,15.99,1627,0,0
2019-12-17 13:03:00-05:00,16.0,16.0,16.0,16.0,960,0,0
2019-12-17 13:05:00-05:00,16.0,16.0,16.0,16.0,200,0,0
2019-12-17 13:07:00-05:00,16.0,16.0,16.0,16.0,100,0,0
2019-12-17 13:09:00-05:00,16.0,16.0,16.0,16.0,400,0,0
2019-12-17 13:19:00-05:00,15.99,15.99,15.99,15.99,100,0,0
2019-12-17 13:20:00-05:00,16.0,16.01,15.99,16.01,2600,0,0
2019-12-17 13:25:00-05:00,16.01,16.01,15.99,15.99,1900,0,0
2019-12-17 13:28:00-05:00,16.0,16.0,16.0,16.0,337,0,0
2019-12-17 13:44:00-05:00,16.0,16.0,15.99,15.99,800,0,0
2019-12-17 13:45:00-05:00,15.99,15.99,15.99,15.99,417,0,0
2019-12-17 13:48:00-05:00,15.98,15.98,15.98,15.98,348,0,0
2019-12-17 13:49:00-05:00,15.99,15.99,15.99,15.99,999,0,0
2019-12-17 13:54:00-05:00,15.97,15.97,15.97,15.97,300,0,0
2019-12-17 13:58:00-05:00,15.97,15.97,15.96,15.96,5040,0,0
2019-12-17 13:59:00-05:00,15.96,15.96,15.96,15.96,237,0,0
2019-12-17 14:08:00-05:00,15.95,15.95,15.95,15.95,600,0,0
2019-12-17 14:11:00-05:00,15.94,15.94,15.94,15.94,600,0,0
2019-12-17 14:14:00-05:00,15.94,15.94,15.94,15.94,700,0,0
2019-12-17 14:18:00-05:00,15.93,15.94,15.93,15.93,2000,0,0
2019-12-17 14:19:00-05:00,15.93,15.94,15.93,15.94,487,0,0
2019-12-17 14:22:00-05:00,15.93,15.93,15.92,15.92,800,0,0
2019-12-17 14:23:00-05:00,15.95,15.95,15.95,15.95,1007,0,0
2019-12-17 14:29:00-05:00,15.93,15.93,15.93,15.93,800,0,0
2019-12-17 14:30:00-05:00,15.95,15.95,15.95,15.95,1500,0,0
2019-12-17 14:37:00-05:00,15.93,15.93,15.93,15.93,900,0,0
2019-12-17 14:43:00-05:00,15.92,15.92,15.92,15.92,900,0,0
2019-12-17 14:49:00-05:00,15.92,15.92,15.92,15.92,900,0,0
2019-12-17 14:55:00-05:00,15.92,15.92,15.92,15.92,1156,0,0
2019-12-17 15:01:00-05:00,15.9,15.9,15.9,15.9,924,0,0
2019-12-17 15:05:00-05:00,15.92,15.92,15.88,15.89,2800,0,0
2019-12-17 15:07:00-05:00,15.87,15.87,15.87,15.87,1000,0,0
2019-12-17 15:11:00-05:00,15.89,15.89,15.88,15.89,600,0,0
2019-12-17 15:13:00-05:00,15.88,15.88,15.88,15.88,1000,0,0
2019-12-17 15:15:00-05:00,15.88,15.88,15.88,15.88,700,0,0
2019-12-17 15:16:00-05:00,15.89,15.89,15.88,15.89,825,0,0
2019-12-17 15:20:00-05:00,15.89,15.89,15.89,15.89,1120,0,0
2019-12-17 15:25:00-05:00,15.89,15.89,15.89,15.89,400,0,0
2019-12-17 15:26:00-05:00,15.89,15.89,15.89,15.89,1100,0,0
2019-12-17 15:31:00-05:00,15.89,15.89,15.89,15.89,400,0,0
2019-12-17 15:32:00-05:00,15.89,15.89,15.89,15.89,1100,0,0
2019-12-17 15:37:00-05:00,15.89,15.89,15.89,15.89,1300,0,0
2019-12-17 15:39:00-05:00,15.89,15.9,15.89,15.9,4680,0,0
2019-12-17 15:40:00-05:00,15.89,15.89,15.89,15.89,1097,0,0
2019-12-17 15:42:00-05:00,15.88,15.89,15.88,15.89,600,0,0
2019-12-17 15:43:00-05:00,15.88,15.88,15.88,15.88,200,0,0
2019-12-17 15:44:00-05:00,15.88,15.88,15.88,15.88,402,0,0
2019-12-17 15:45:00-05:00,15.88,15.89,15.88,15.89,400,0,0
2019-12-17 15:46:00-05:00,15.88,15.88,15.87,15.87,422,0,0
2019-12-17 15:47:00-05:00,15.88,15.88,15.88,15.88,401,0,0
2019-12-17 15:48:00-05:00,15.88,15.88,15.88,15.88,200,0,0
2019-12-17 15:49:00-05:00,15.89,15.89,15.89,15.89,200,0,0
2019-12-17 15:50:00-05:00,15.88,15.9,15.88,15.9,920,0,0
2019-12-17 15:51:00-05:00,15.88,15.88,15.88,15.88,218,0,0
2019-12-17 15:52:00-05:00,15.89,15.91,15.89,15.89,2009,0,0
2019-12-17 15:53:00-05:00,15.9,15.9,15.9,15.9,200,0,0
2019-12-17 15:54:00-05:00,15.9,15.9,15.9,15.9,100,0,0
2019-12-17 15:55:00-05:00,15.9,15.9,15.9,15.9,100,0,0
2019-12-17 15:56:00-05:00,15.9,15.9,15.9,15.9,125,0,0
2019-12-17 15:57:00-05:00,15.91,15.91,15.91,15.91,480,0,0
2019-12-17 15:58:00-05:00,15.91,15.91,15.91,15.91,357,0,0
2019-12-17 15:59:00-05:00,15.92,15.92,15.92,15.92,220,0,0
2019-12-18 09:30:00-05:00,15.91,15.91,15.91,15.91,0,0,0
2019-12-18 09:57:00-05:00,15.96,15.96,15.96,15.96,1001,0,0
2019-12-18 10:10:00-05:00,15.93,15.93,15.93,15.93,612,0,0
2019-12-18 10:23:00-05:00,15.94,15.94,15.94,15.94,163,0,0
2019-12-18 10:25:00-05:00,15.94,15.94,15.94,15.94,564,0,0
2019-12-18 10:32:00-05:00,15.95,15.95,15.95,15.95,4000,0,0
2019-12-18 10:36:00-05:00,15.97,15.98,15.97,15.98,832,0,0
2019-12-18 11:02:00-05:00,16.0,16.0,15.97,15.97,4047,0,0
2019-12-18 11:08:00-05:00,15.99,15.99,15.99,15.99,400,0,0
2019-12-18 11:09:00-05:00,15.98,15.98,15.98,15.98,2510,0,0
2019-12-18 11:10:00-05:00,16.0,16.0,16.0,16.0,200,0,0
2019-12-18 11:12:00-05:00,16.0,16.0,15.98,15.98,400,0,0
2019-12-18 11:13:00-05:00,16.0,16.0,16.0,16.0,100,0,0
2019-12-18 11:15:00-05:00,16.0,16.0,16.0,16.0,100,0,0
2019-12-18 11:16:00-05:00,16.0,16.0,16.0,16.0,200,0,0
2019-12-18 11:17:00-05:00,16.0,16.0,16.0,16.0,200,0,0
2019-12-18 11:18:00-05:00,16.0,16.02,16.0,16.02,746,0,0
2019-12-18 11:20:00-05:00,16.02,16.02,16.02,16.02,400,0,0
2019-12-18 11:21:00-05:00,16.04,16.04,16.04,16.04,200,0,0
2019-12-18 11:23:00-05:00,16.04,16.05,16.04,16.05,500,0,0
2019-12-18 11:24:00-05:00,16.06,16.06,16.06,16.06,101,0,0
2019-12-18 11:26:00-05:00,16.06,16.06,16.04,16.05,1283,0,0
2019-12-18 11:33:00-05:00,16.05,16.05,16.05,16.05,100,0,0
2019-12-18 11:34:00-05:00,16.02,16.02,16.02,16.02,4048,0,0
2019-12-18 11:35:00-05:00,16.05,16.05,16.05,16.05,100,0,0
2019-12-18 11:36:00-05:00,16.05,16.05,16.05,16.05,200,0,0
2019-12-18 11:37:00-05:00,16.02,16.02,16.02,16.02,663,0,0
2019-12-18 11:46:00-05:00,15.96,15.96,15.96,15.96,852,0,0
2019-12-18 11:51:00-05:00,15.99,15.99,15.99,15.99,2000,0,0
2019-12-18 11:54:00-05:00,15.98,15.98,15.98,15.98,500,0,0
2019-12-18 11:56:00-05:00,15.98,15.98,15.98,15.98,285,0,0
2019-12-18 11:57:00-05:00,15.98,15.98,15.98,15.98,1265,0,0
2019-12-18 12:03:00-05:00,15.99,15.99,15.99,15.99,100,0,0
2019-12-18 12:07:00-05:00,15.99,15.99,15.98,15.98,1274,0,0
2019-12-18 12:25:00-05:00,15.98,15.99,15.98,15.99,1597,0,0
2019-12-18 12:29:00-05:00,15.99,15.99,15.99,15.99,100,0,0
2019-12-18 12:31:00-05:00,16.01,16.01,16.01,16.01,250,0,0
2019-12-18 12:32:00-05:00,16.0,16.0,16.0,16.0,345,0,0
2019-12-18 12:39:00-05:00,16.03,16.03,16.03,16.03,100,0,0
2019-12-18 12:42:00-05:00,16.03,16.03,16.02,16.02,300,0,0
2019-12-18 12:44:00-05:00,15.99,15.99,15.99,15.99,257,0,0
2019-12-18 12:47:00-05:00,16.03,16.03,16.03,16.03,102,0,0
2019-12-18 12:58:00-05:00,16.03,16.03,16.03,16.03,100,0,0
2019-12-18 13:04:00-05:00,16.01,16.01,16.01,16.01,1134,0,0
2019-12-18 13:08:00-05:00,16.01,16.01,16.01,16.01,250,0,0
2019-12-18 13:14:00-05:00,16.0,16.0,16.0,16.0,204,0,0
2019-12-18 13:18:00-05:00,15.99,16.0,15.99,16.0,1300,0,0
2019-12-18 13:24:00-05:00,16.0,16.0,16.0,16.0,600,0,0
2019-12-18 13:30:00-05:00,15.99,15.99,15.99,15.99,3492,0,0
2019-12-18 13:32:00-05:00,16.01,16.01,16.01,16.01,100,0,0
