Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 11:01:00-05:00,5.99,5.99,5.99,5.99,0,0,0
2019-12-17 11:04:00-05:00,5.98,5.98,5.98,5.98,501,0,0
2019-12-17 11:05:00-05:00,5.97,5.97,5.97,5.97,164,0,0
2019-12-17 11:06:00-05:00,5.97,5.97,5.97,5.97,400,0,0
2019-12-17 11:07:00-05:00,5.97,5.98,5.97,5.97,2580,0,0
2019-12-17 11:08:00-05:00,5.97,5.97,5.96,5.96,502,0,0
2019-12-17 11:10:00-05:00,5.96,5.96,5.96,5.96,100,0,0
2019-12-17 11:11:00-05:00,5.97,5.97,5.97,5.97,777,0,0
2019-12-17 11:15:00-05:00,5.96,5.96,5.96,5.96,100,0,0
2019-12-17 11:16:00-05:00,5.96,5.96,5.96,5.96,100,0,0
2019-12-17 11:19:00-05:00,5.97,5.97,5.96,5.96,600,0,0
2019-12-17 11:21:00-05:00,5.96,5.97,5.95,5.97,2406,0,0
2019-12-17 11:22:00-05:00,5.96,5.96,5.96,5.96,661,0,0
2019-12-17 11:23:00-05:00,5.95,5.95,5.95,5.95,152,0,0
2019-12-17 11:25:00-05:00,5.95,5.95,5.95,5.95,101,0,0
2019-12-17 11:27:00-05:00,5.96,5.96,5.95,5.95,500,0,0
2019-12-17 11:29:00-05:00,5.94,5.94,5.94,5.94,351,0,0
2019-12-17 11:32:00-05:00,5.94,5.94,5.94,5.94,516,0,0
2019-12-17 11:37:00-05:00,5.95,5.95,5.95,5.95,500,0,0
2019-12-17 11:39:00-05:00,5.95,5.97,5.94,5.97,2910,0,0
2019-12-17 11:40:00-05:00,5.96,5.97,5.96,5.97,747,0,0
2019-12-17 11:42:00-05:00,5.95,5.95,5.95,5.95,100,0,0
2019-12-17 11:46:00-05:00,5.95,5.95,5.95,5.95,900,0,0
2019-12-17 11:52:00-05:00,5.95,5.95,5.94,5.94,1106,0,0
2019-12-17 11:53:00-05:00,5.94,5.94,5.93,5.93,500,0,0
2019-12-17 11:54:00-05:00,5.93,5.93,5.93,5.93,100,0,0
2019-12-17 11:59:00-05:00,5.93,5.93,5.93,5.93,1755,0,0
2019-12-17 12:02:00-05:00,5.93,5.93,5.93,5.93,3051,0,0
2019-12-17 12:05:00-05:00,5.93,5.93,5.93,5.93,400,0,0
2019-12-17 12:08:00-05:00,5.92,5.92,5.92,5.92,405,0,0
2019-12-17 12:09:00-05:00,5.93,5.93,5.92,5.92,311,0,0
2019-12-17 12:10:00-05:00,5.91,5.91,5.91,5.91,177,0,0
2019-12-17 12:11:00-05:00,5.91,5.91,5.91,5.91,300,0,0
2019-12-17 12:12:00-05:00,5.91,5.91,5.91,5.91,100,0,0
2019-12-17 12:16:00-05:00,5.91,5.92,5.91,5.92,1464,0,0
2019-12-17 12:21:00-05:00,5.91,5.91,5.91,5.91,169,0,0
2019-12-17 12:22:00-05:00,5.9,5.9,5.9,5.9,210,0,0
2019-12-17 12:25:00-05:00,5.91,5.91,5.91,5.91,300,0,0
2019-12-17 12:27:00-05:00,5.91,5.91,5.91,5.91,1300,0,0
2019-12-17 12:29:00-05:00,5.91,5.92,5.91,5.92,710,0,0
2019-12-17 12:30:00-05:00,5.92,5.92,5.92,5.92,300,0,0
2019-12-17 12:31:00-05:00,5.92,5.92,5.92,5.92,154,0,0
2019-12-17 12:34:00-05:00,5.91,5.91,5.89,5.89,964,0,0
2019-12-17 12:35:00-05:00,5.88,5.89,5.88,5.89,700,0,0
2019-12-17 12:36:00-05:00,5.89,5.89,5.89,5.89,315,0,0
2019-12-17 12:38:00-05:00,5.89,5.89,5.89,5.89,509,0,0
2019-12-17 12:41:00-05:00,5.88,5.88,5.88,5.88,100,0,0
2019-12-17 12:42:00-05:00,5.9,5.9,5.9,5.9,240,0,0
2019-12-17 12:44:00-05:00,5.89,5.89,5.89,5.89,300,0,0
2019-12-17 12:45:00-05:00,5.89,5.89,5.89,5.89,100,0,0
2019-12-17 12:46:00-05:00,5.89,5.89,5.89,5.89,200,0,0
2019-12-17 12:47:00-05:00,5.89,5.89,5.89,5.89,100,0,0
2019-12-17 12:49:00-05:00,5.89,5.89,5.89,5.89,545,0,0
2019-12-17 12:54:00-05:00,5.89,5.89,5.89,5.89,422,0,0
2019-12-17 12:58:00-05:00,5.89,5.89,5.89,5.89,100,0,0
2019-12-17 12:59:00-05:00,5.89,5.89,5.89,5.89,100,0,0
2019-12-17 13:00:00-05:00,5.89,5.89,5.89,5.89,362,0,0
2019-12-17 13:01:00-05:00,5.9,5.9,5.9,5.9,102,0,0
2019-12-17 13:02:00-05:00,5.89,5.89,5.89,5.89,100,0,0
2019-12-17 13:03:00-05:00,5.89,5.89,5.89,5.89,194,0,0
2019-12-17 13:07:00-05:00,5.89,5.89,5.89,5.89,317,0,0
2019-12-17 13:09:00-05:00,5.89,5.89,5.89,5.89,2176,0,0
2019-12-17 13:10:00-05:00,5.88,5.88,5.88,5.88,500,0,0
2019-12-17 13:11:00-05:00,5.88,5.88,5.88,5.88,172,0,0
2019-12-17 13:13:00-05:00,5.87,5.87,5.87,5.87,149,0,0
2019-12-17 13:14:00-05:00,5.87,5.87,5.87,5.87,300,0,0
2019-12-17 13:15:00-05:00,5.87,5.88,5.87,5.88,1671,0,0
2019-12-17 13:20:00-05:00,5.88,5.88,5.88,5.88,300,0,0
2019-12-17 13:22:00-05:00,5.88,5.88,5.88,5.88,300,0,0
2019-12-17 13:25:00-05:00,5.87,5.88,5.87,5.87,3664,0,0
2019-12-17 13:26:00-05:00,5.86,5.86,5.86,5.86,950,0,0
2019-12-17 13:27:00-05:00,5.86,5.86,5.86,5.86,300,0,0
2019-12-17 13:28:00-05:00,5.86,5.86,5.86,5.86,1312,0,0
2019-12-17 13:31:00-05:00,5.85,5.85,5.85,5.85,100,0,0
2019-12-17 13:32:00-05:00,5.85,5.85,5.84,5.84,1273,0,0
2019-12-17 13:33:00-05:00,5.84,5.84,5.84,5.84,900,0,0
2019-12-17 13:36:00-05:00,5.84,5.84,5.84,5.84,316,0,0
2019-12-17 13:39:00-05:00,5.84,5.84,5.84,5.84,605,0,0
2019-12-17 13:41:00-05:00,5.84,5.84,5.84,5.84,101,0,0
2019-12-17 13:42:00-05:00,5.84,5.84,5.84,5.84,300,0,0
2019-12-17 13:43:00-05:00,5.84,5.84,5.84,5.84,200,0,0
2019-12-17 13:44:00-05:00,5.83,5.84,5.83,5.84,236,0,0
2019-12-17 13:49:00-05:00,5.83,5.83,5.83,5.83,200,0,0
2019-12-17 13:50:00-05:00,5.84,5.84,5.84,5.84,161,0,0
2019-12-17 13:56:00-05:00,5.83,5.83,5.83,5.83,100,0,0
2019-12-17 14:00:00-05:00,5.84,5.85,5.84,5.85,1025,0,0
2019-12-17 14:01:00-05:00,5.85,5.85,5.85,5.85,100,0,0
2019-12-17 14:03:00-05:00,5.84,5.84,5.84,5.84,200,0,0
2019-12-17 14:05:00-05:00,5.84,5.84,5.84,5.84,105,0,0
2019-12-17 14:06:00-05:00,5.84,5.85,5.84,5.84,400,0,0
2019-12-17 14:10:00-05:00,5.84,5.84,5.84,5.84,100,0,0
2019-12-17 14:13:00-05:00,5.84,5.84,5.84,5.84,2350,0,0
2019-12-17 14:14:00-05:00,5.84,5.84,5.84,5.84,242,0,0
2019-12-17 14:18:00-05:00,5.84,5.84,5.84,5.84,100,0,0
2019-12-17 14:20:00-05:00,5.84,5.84,5.84,5.84,100,0,0
2019-12-17 14:22:00-05:00,5.83,5.84,5.82,5.83,2071,0,0
2019-12-17 14:25:00-05:00,5.83,5.83,5.83,5.83,321,0,0
2019-12-17 14:33:00-05:00,5.83,5.83,5.83,5.83,500,0,0
2019-12-17 14:35:00-05:00,5.83,5.83,5.83,5.83,692,0,0
2019-12-17 14:40:00-05:00,5.83,5.83,5.82,5.82,500,0,0
2019-12-17 14:43:00-05:00,5.83,5.83,5.82,5.82,260,0,0
2019-12-17 14:44:00-05:00,5.82,5.82,5.82,5.82,104,0,0
2019-12-17 14:45:00-05:00,5.82,5.82,5.82,5.82,100,0,0
2019-12-17 14:46:00-05:00,5.83,5.83,5.83,5.83,100,0,0
2019-12-17 14:49:00-05:00,5.82,5.82,5.82,5.82,100,0,0
2019-12-17 14:50:00-05:00,5.82,5.82,5.82,5.82,100,0,0
2019-12-17 14:51:00-05:00,5.82,5.82,5.82,5.82,162,0,0
2019-12-17 14:54:00-05:00,5.82,5.82,5.82,5.82,100,0,0
2019-12-17 14:57:00-05:00,5.82,5.82,5.82,5.82,100,0,0
2019-12-17 14:58:00-05:00,5.83,5.83,5.82,5.83,300,0,0
2019-12-17 14:59:00-05:00,5.82,5.82,5.82,5.82,512,0,0
2019-12-17 15:00:00-05:00,5.82,5.84,5.82,5.83,4732,0,0
2019-12-17 15:01:00-05:00,5.84,5.84,5.84,5.84,300,0,0
2019-12-17 15:02:00-05:00,5.84,5.84,5.84,5.84,1376,0,0
2019-12-17 15:04:00-05:00,5.84,5.84,5.84,5.84,200,0,0
2019-12-17 15:06:00-05:00,5.84,5.84,5.84,5.84,300,0,0
2019-12-17 15:08:00-05:00,5.84,5.85,5.84,5.85,1201,0,0
2019-12-17 15:11:00-05:00,5.85,5.85,5.85,5.85,502,0,0
2019-12-17 15:12:00-05:00,5.84,5.84,5.84,5.84,400,0,0
2019-12-17 15:13:00-05:00,5.84,5.84,5.84,5.84,240,0,0
2019-12-17 15:15:00-05:00,5.84,5.84,5.83,5.83,1662,0,0
2019-12-17 15:16:00-05:00,5.82,5.82,5.82,5.82,300,0,0
2019-12-17 15:17:00-05:00,5.82,5.82,5.82,5.82,800,0,0
2019-12-17 15:19:00-05:00,5.82,5.82,5.82,5.82,200,0,0
2019-12-17 15:20:00-05:00,5.82,5.82,5.82,5.82,323,0,0
2019-12-17 15:23:00-05:00,5.83,5.85,5.83,5.84,4500,0,0
2019-12-17 15:25:00-05:00,5.84,5.84,5.84,5.84,396,0,0
2019-12-17 15:26:00-05:00,5.83,5.83,5.82,5.82,2406,0,0
2019-12-17 15:27:00-05:00,5.82,5.82,5.81,5.82,1639,0,0
2019-12-17 15:28:00-05:00,5.81,5.81,5.81,5.81,448,0,0
2019-12-17 15:30:00-05:00,5.82,5.82,5.81,5.82,1067,0,0
2019-12-17 15:31:00-05:00,5.82,5.82,5.81,5.81,3142,0,0
2019-12-17 15:32:00-05:00,5.8,5.81,5.8,5.8,1396,0,0
2019-12-17 15:33:00-05:00,5.81,5.81,5.81,5.81,111,0,0
2019-12-17 15:34:00-05:00,5.8,5.81,5.8,5.81,340,0,0
2019-12-17 15:35:00-05:00,5.8,5.8,5.8,5.8,520,0,0
2019-12-17 15:37:00-05:00,5.8,5.8,5.8,5.8,353,0,0
2019-12-17 15:38:00-05:00,5.8,5.8,5.8,5.8,311,0,0
2019-12-17 15:39:00-05:00,5.81,5.81,5.8,5.8,746,0,0
2019-12-17 15:40:00-05:00,5.8,5.8,5.8,5.8,600,0,0
2019-12-17 15:41:00-05:00,5.8,5.8,5.8,5.8,100,0,0
2019-12-17 15:42:00-05:00,5.8,5.8,5.8,5.8,703,0,0
2019-12-17 15:43:00-05:00,5.8,5.8,5.79,5.79,2613,0,0
2019-12-17 15:44:00-05:00,5.8,5.8,5.79,5.8,713,0,0
2019-12-17 15:45:00-05:00,5.8,5.8,5.79,5.8,300,0,0
2019-12-17 15:46:00-05:00,5.79,5.8,5.79,5.8,448,0,0
2019-12-17 15:47:00-05:00,5.79,5.79,5.79,5.79,277,0,0
2019-12-17 15:48:00-05:00,5.78,5.78,5.78,5.78,250,0,0
2019-12-17 15:49:00-05:00,5.78,5.78,5.78,5.78,437,0,0
2019-12-17 15:50:00-05:00,5.78,5.79,5.78,5.79,2026,0,0
2019-12-17 15:51:00-05:00,5.8,5.8,5.8,5.8,252,0,0
2019-12-17 15:52:00-05:00,5.8,5.81,5.8,5.8,1852,0,0
2019-12-17 15:53:00-05:00,5.8,5.81,5.79,5.79,2206,0,0
2019-12-17 15:54:00-05:00,5.79,5.79,5.79,5.79,806,0,0
2019-12-17 15:55:00-05:00,5.79,5.79,5.79,5.79,917,0,0
2019-12-17 15:56:00-05:00,5.8,5.8,5.79,5.79,2000,0,0
2019-12-17 15:57:00-05:00,5.8,5.8,5.79,5.79,1128,0,0
2019-12-17 15:58:00-05:00,5.8,5.8,5.79,5.79,1357,0,0
2019-12-17 15:59:00-05:00,5.8,5.81,5.79,5.8,11463,0,0
