Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 11:00:00-05:00,8.09,8.09,8.08,8.08,0,0,0
2019-12-17 11:01:00-05:00,8.09,8.09,8.07,8.07,5785,0,0
2019-12-17 11:02:00-05:00,8.08,8.09,8.07,8.08,7272,0,0
2019-12-17 11:03:00-05:00,8.07,8.07,8.06,8.07,5378,0,0
2019-12-17 11:04:00-05:00,8.07,8.07,8.07,8.07,601,0,0
2019-12-17 11:05:00-05:00,8.07,8.07,8.06,8.07,1735,0,0
2019-12-17 11:06:00-05:00,8.08,8.09,8.08,8.09,1363,0,0
2019-12-17 11:07:00-05:00,8.08,8.1,8.08,8.09,3599,0,0
2019-12-17 11:08:00-05:00,8.1,8.11,8.1,8.1,3599,0,0
2019-12-17 11:09:00-05:00,8.1,8.11,8.1,8.11,7427,0,0
2019-12-17 11:10:00-05:00,8.11,8.12,8.11,8.11,1548,0,0
2019-12-17 11:11:00-05:00,8.11,8.15,8.11,8.15,21694,0,0
2019-12-17 11:12:00-05:00,8.15,8.18,8.15,8.18,2134,0,0
2019-12-17 11:13:00-05:00,8.18,8.18,8.17,8.18,7299,0,0
2019-12-17 11:14:00-05:00,8.18,8.18,8.15,8.16,8560,0,0
2019-12-17 11:15:00-05:00,8.16,8.17,8.15,8.15,3433,0,0
2019-12-17 11:16:00-05:00,8.15,8.17,8.15,8.17,5868,0,0
2019-12-17 11:17:00-05:00,8.16,8.16,8.16,8.16,3454,0,0
2019-12-17 11:18:00-05:00,8.16,8.16,8.16,8.16,1503,0,0
2019-12-17 11:19:00-05:00,8.16,8.17,8.15,8.17,2255,0,0
2019-12-17 11:20:00-05:00,8.16,8.17,8.16,8.16,1272,0,0
2019-12-17 11:21:00-05:00,8.16,8.16,8.16,8.16,1425,0,0
2019-12-17 11:22:00-05:00,8.16,8.17,8.16,8.16,8517,0,0
2019-12-17 11:23:00-05:00,8.16,8.18,8.16,8.18,7469,0,0
2019-12-17 11:24:00-05:00,8.18,8.18,8.18,8.18,415,0,0
2019-12-17 11:25:00-05:00,8.17,8.18,8.17,8.18,3518,0,0
2019-12-17 11:26:00-05:00,8.18,8.21,8.18,8.21,8916,0,0
2019-12-17 11:27:00-05:00,8.21,8.22,8.2,8.22,11639,0,0
2019-12-17 11:28:00-05:00,8.21,8.21,8.21,8.21,0,0,0
2019-12-17 11:29:00-05:00,8.22,8.22,8.21,8.21,1443208,0,0
2019-12-17 11:30:00-05:00,8.22,8.22,8.2,8.2,5596,0,0
2019-12-17 11:31:00-05:00,8.21,8.21,8.19,8.19,12537,0,0
2019-12-17 11:32:00-05:00,8.19,8.19,8.18,8.18,3682,0,0
2019-12-17 11:33:00-05:00,8.18,8.18,8.17,8.18,638,0,0
2019-12-17 11:34:00-05:00,8.16,8.16,8.16,8.16,100,0,0
2019-12-17 11:35:00-05:00,8.16,8.18,8.16,8.18,2300,0,0
2019-12-17 11:36:00-05:00,8.17,8.17,8.16,8.17,822,0,0
2019-12-17 11:37:00-05:00,8.17,8.17,8.17,8.17,1958,0,0
2019-12-17 11:38:00-05:00,8.17,8.17,8.16,8.16,769,0,0
2019-12-17 11:39:00-05:00,8.17,8.18,8.16,8.18,1343,0,0
2019-12-17 11:40:00-05:00,8.18,8.19,8.18,8.18,1346,0,0
2019-12-17 11:41:00-05:00,8.17,8.18,8.15,8.16,15839,0,0
2019-12-17 11:42:00-05:00,8.16,8.16,8.16,8.16,1234,0,0
2019-12-17 11:43:00-05:00,8.16,8.17,8.16,8.16,2402,0,0
2019-12-17 11:44:00-05:00,8.17,8.18,8.16,8.16,11095,0,0
2019-12-17 11:45:00-05:00,8.16,8.16,8.15,8.15,1726,0,0
2019-12-17 11:46:00-05:00,8.15,8.16,8.15,8.15,3847,0,0
