Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-18 10:08:00+11:00,8.37,8.38,8.37,8.38,0,0,0
2019-12-18 10:09:00+11:00,8.38,8.39,8.38,8.39,8099,0,0
2019-12-18 10:10:00+11:00,8.39,8.4,8.39,8.4,5426,0,0
2019-12-18 10:11:00+11:00,8.4,8.41,8.4,8.4,7945,0,0
2019-12-18 10:12:00+11:00,8.41,8.42,8.41,8.42,9965,0,0
2019-12-18 10:13:00+11:00,8.41,8.41,8.4,8.41,18684,0,0
2019-12-18 10:14:00+11:00,8.4,8.4,8.4,8.4,175,0,0
2019-12-18 10:15:00+11:00,8.4,8.4,8.4,8.4,17,0,0
2019-12-18 10:17:00+11:00,8.41,8.43,8.41,8.42,11554,0,0
2019-12-18 10:18:00+11:00,8.43,8.43,8.41,8.41,16747,0,0
2019-12-18 10:19:00+11:00,8.42,8.42,8.42,8.42,3248,0,0
2019-12-18 10:20:00+11:00,8.42,8.43,8.42,8.43,8802,0,0
2019-12-18 10:21:00+11:00,8.42,8.43,8.42,8.43,1366,0,0
2019-12-18 10:22:00+11:00,8.43,8.44,8.42,8.44,6330,0,0
2019-12-18 10:23:00+11:00,8.43,8.44,8.42,8.42,29156,0,0
2019-12-18 10:24:00+11:00,8.42,8.43,8.42,8.43,493,0,0
2019-12-18 10:25:00+11:00,8.43,8.44,8.42,8.44,7255,0,0
2019-12-18 10:26:00+11:00,8.44,8.44,8.44,8.44,175,0,0
2019-12-18 10:27:00+11:00,8.43,8.43,8.41,8.41,33047,0,0
2019-12-18 10:28:00+11:00,8.42,8.42,8.42,8.42,2410,0,0
2019-12-18 10:29:00+11:00,8.41,8.41,8.41,8.41,353,0,0
2019-12-18 10:30:00+11:00,8.41,8.44,8.41,8.44,30834,0,0
2019-12-18 10:31:00+11:00,8.44,8.45,8.44,8.44,12303,0,0
2019-12-18 10:32:00+11:00,8.44,8.44,8.43,8.43,52722,0,0
2019-12-18 10:33:00+11:00,8.44,8.45,8.44,8.45,20822,0,0
2019-12-18 10:34:00+11:00,8.45,8.45,8.45,8.45,3308,0,0
2019-12-18 10:38:00+11:00,8.45,8.45,8.45,8.45,645,0,0
2019-12-18 10:40:00+11:00,8.45,8.46,8.45,8.45,17312,0,0
2019-12-18 10:41:00+11:00,8.46,8.46,8.45,8.46,15358,0,0
2019-12-18 10:42:00+11:00,8.46,8.47,8.46,8.47,2895,0,0
2019-12-18 10:43:00+11:00,8.47,8.47,8.46,8.46,15122,0,0
2019-12-18 10:44:00+11:00,8.46,8.47,8.45,8.45,20735,0,0
2019-12-18 10:45:00+11:00,8.45,8.45,8.45,8.45,3757,0,0
2019-12-18 10:47:00+11:00,8.46,8.46,8.45,8.46,12674,0,0
2019-12-18 10:48:00+11:00,8.46,8.47,8.45,8.45,15867,0,0
2019-12-18 10:49:00+11:00,8.45,8.45,8.45,8.45,1811,0,0
2019-12-18 10:50:00+11:00,8.45,8.45,8.44,8.44,24192,0,0
2019-12-18 10:51:00+11:00,8.44,8.44,8.44,8.44,2701,0,0
2019-12-18 10:53:00+11:00,8.45,8.45,8.44,8.45,11268,0,0
2019-12-18 10:54:00+11:00,8.45,8.45,8.45,8.45,2,0,0
2019-12-18 10:55:00+11:00,8.44,8.44,8.44,8.44,53,0,0
2019-12-18 10:56:00+11:00,8.44,8.44,8.44,8.44,214,0,0
2019-12-18 10:57:00+11:00,8.45,8.45,8.45,8.45,7573,0,0
2019-12-18 10:58:00+11:00,8.45,8.45,8.45,8.45,2520,0,0
2019-12-18 10:59:00+11:00,8.45,8.45,8.44,8.44,16769,0,0
2019-12-18 11:00:00+11:00,8.44,8.45,8.44,8.45,12670,0,0
2019-12-18 11:01:00+11:00,8.45,8.45,8.44,8.45,5891,0,0
2019-12-18 11:02:00+11:00,8.45,8.45,8.45,8.45,1359,0,0
2019-12-18 11:03:00+11:00,8.45,8.46,8.45,8.46,30693,0,0
2019-12-18 11:04:00+11:00,8.46,8.47,8.45,8.47,22655,0,0
