Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-18 11:29:00-05:00,25.85,25.85,25.85,25.85,0,0,0
2019-12-18 12:22:00-05:00,25.85,25.85,25.85,25.85,1293,0,0
2019-12-19 15:50:00-05:00,25.84,25.87,25.84,25.87,0,0,0
2019-12-20 10:37:00-05:00,25.67,25.67,25.64,25.64,41,0,0
2019-12-20 12:20:00-05:00,25.8,25.8,25.8,25.8,271,0,0
2019-12-20 12:28:00-05:00,25.85,25.85,25.79,25.79,1341,0,0
2019-12-20 13:51:00-05:00,25.89,25.89,25.89,25.89,200,0,0
2019-12-20 14:51:00-05:00,25.89,25.89,25.89,25.89,2278,0,0
2019-12-20 12:20:00-05:00,25.8,25.8,25.8,25.8,0,0,0
2019-12-20 12:28:00-05:00,25.85,25.85,25.79,25.79,1341,0,0
2019-12-20 13:51:00-05:00,25.89,25.89,25.89,25.89,200,0,0
2019-12-20 14:51:00-05:00,25.89,25.89,25.89,25.89,2278,0,0
2019-12-24 11:21:00-05:00,25.92,25.92,25.8,25.8,600,0,0
2019-12-26 10:52:00-05:00,25.68,25.68,25.68,25.68,0,0,0
2019-12-26 14:47:00-05:00,25.69,25.7,25.69,25.69,500,0,0
2019-12-27 09:30:00-05:00,25.89,25.92,25.89,25.92,3080,0,0
2019-12-27 09:32:00-05:00,25.91,25.91,25.91,25.91,400,0,0
2019-12-27 10:37:00-05:00,25.72,25.72,25.72,25.72,1000,0,0
2019-12-27 11:48:00-05:00,25.88,25.88,25.88,25.88,0,0,0
2019-12-27 13:49:00-05:00,26.03,26.03,26.03,26.03,1000,0,0
2019-12-27 13:58:00-05:00,25.88,25.88,25.88,25.88,199,0,0
2019-12-27 14:23:00-05:00,26.03,26.06,26.03,26.06,1901,0,0
2019-12-27 14:24:00-05:00,26.06,26.06,26.06,26.06,594,0,0
2019-12-30 10:43:00-05:00,26.06,26.06,25.93,25.93,0,0,0
2019-12-30 14:20:00-05:00,25.64,25.64,25.64,25.64,400,0,0
2019-12-31 11:40:00-05:00,25.74,25.84,25.71,25.83,2287,0,0
2020-01-02 09:54:00-05:00,25.87,25.87,25.87,25.87,166,0,0
2020-01-02 10:02:00-05:00,25.87,25.87,25.87,25.87,696,0,0
2020-01-02 12:45:00-05:00,26.08,26.08,26.08,26.08,496,0,0
2020-01-02 13:08:00-05:00,26.22,26.22,26.22,26.22,1081,0,0
2020-01-02 15:39:00-05:00,26.16,26.22,26.16,26.22,200,0,0
2020-01-03 09:47:00-05:00,26.39,26.39,26.39,26.39,0,0,0
2020-01-03 09:57:00-05:00,26.5,26.5,26.5,26.5,800,0,0
2020-01-03 09:58:00-05:00,26.47,26.5,26.47,26.47,1770,0,0
2020-01-03 15:10:00-05:00,26.3,26.3,26.3,26.3,4503,0,0
2020-01-06 12:20:00-05:00,26.47,26.47,26.47,26.47,0,0,0
2020-01-06 12:45:00-05:00,26.47,26.47,26.47,26.47,217,0,0
2020-01-07 10:35:00-05:00,26.43,26.43,26.43,26.43,0,0,0
2020-01-07 11:27:00-05:00,26.22,26.22,26.22,26.22,0,0,0
2020-01-07 14:43:00-05:00,26.36,26.36,26.36,26.36,1903,0,0
2020-01-08 13:54:00-05:00,26.41,26.41,26.41,26.41,0,0,0
2020-01-08 14:54:00-05:00,26.41,26.41,26.41,26.41,200,0,0
2020-01-08 14:57:00-05:00,26.41,26.41,26.41,26.41,519,0,0
2020-01-08 15:06:00-05:00,26.42,26.42,26.42,26.42,341,0,0
2020-01-08 15:10:00-05:00,26.42,26.42,26.42,26.42,565,0,0
2020-01-09 12:21:00-05:00,26.38,26.38,26.38,26.38,500,0,0
2020-01-09 12:25:00-05:00,26.25,26.25,26.25,26.25,602,0,0
2020-01-09 13:19:00-05:00,26.11,26.11,26.11,26.11,263,0,0
2020-01-09 15:14:00-05:00,26.15,26.15,26.13,26.13,2484,0,0
2020-01-09 12:21:00-05:00,26.38,26.38,26.38,26.38,0,0,0
2020-01-09 12:25:00-05:00,26.25,26.25,26.25,26.25,602,0,0
2020-01-09 13:19:00-05:00,26.11,26.11,26.11,26.11,263,0,0
2020-01-09 15:14:00-05:00,26.15,26.15,26.13,26.13,2484,0,0
2020-01-13 15:59:00-05:00,26.49,26.49,26.49,26.49,0,0,0
2020-01-14 10:29:00-05:00,26.48,26.48,26.48,26.48,200,0,0
2020-01-14 13:20:00-05:00,26.21,26.21,26.21,26.21,632,0,0
2020-01-15 11:26:00-05:00,26.32,26.32,26.32,26.32,0,0,0
2020-01-15 12:50:00-05:00,26.45,26.45,26.45,26.45,210,0,0
2020-01-15 13:50:00-05:00,26.45,26.45,26.45,26.45,188,0,0
2020-01-15 15:12:00-05:00,26.45,26.45,26.45,26.45,110,0,0
2020-01-15 15:23:00-05:00,26.47,26.47,26.47,26.47,283,0,0
2020-01-15 11:26:00-05:00,26.32,26.32,26.32,26.32,0,0,0
2020-01-15 12:50:00-05:00,26.45,26.45,26.45,26.45,210,0,0
2020-01-15 13:50:00-05:00,26.45,26.45,26.45,26.45,188,0,0
2020-01-15 15:12:00-05:00,26.45,26.45,26.45,26.45,110,0,0
2020-01-15 15:23:00-05:00,26.47,26.47,26.47,26.47,283,0,0
2020-01-15 11:26:00-05:00,26.32,26.32,26.32,26.32,0,0,0
2020-01-15 12:50:00-05:00,26.45,26.45,26.45,26.45,210,0,0
2020-01-15 13:50:00-05:00,26.45,26.45,26.45,26.45,188,0,0
2020-01-15 15:12:00-05:00,26.45,26.45,26.45,26.45,110,0,0
2020-01-15 15:23:00-05:00,26.47,26.47,26.47,26.47,283,0,0
2020-01-15 11:26:00-05:00,26.32,26.32,26.32,26.32,0,0,0
2020-01-15 12:50:00-05:00,26.45,26.45,26.45,26.45,210,0,0
2020-01-15 13:50:00-05:00,26.45,26.45,26.45,26.45,188,0,0
2020-01-15 15:12:00-05:00,26.45,26.45,26.45,26.45,110,0,0
2020-01-15 15:23:00-05:00,26.47,26.47,26.47,26.47,283,0,0
2020-01-15 11:26:00-05:00,26.32,26.32,26.32,26.32,0,0,0
2020-01-15 12:50:00-05:00,26.45,26.45,26.45,26.45,210,0,0
2020-01-15 13:50:00-05:00,26.45,26.45,26.45,26.45,188,0,0
2020-01-15 15:12:00-05:00,26.45,26.45,26.45,26.45,110,0,0
2020-01-15 15:23:00-05:00,26.47,26.47,26.47,26.47,283,0,0
2020-01-15 11:26:00-05:00,26.32,26.32,26.32,26.32,0,0,0
2020-01-15 12:50:00-05:00,26.45,26.45,26.45,26.45,210,0,0
2020-01-15 13:50:00-05:00,26.45,26.45,26.45,26.45,188,0,0
2020-01-15 15:12:00-05:00,26.45,26.45,26.45,26.45,110,0,0
2020-01-15 15:23:00-05:00,26.47,26.47,26.47,26.47,283,0,0
