Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 11:10:00-05:00,41.03,41.04,40.96,40.96,0,0,0
2019-12-17 11:13:00-05:00,41.07,41.07,41.05,41.05,1230,0,0
2019-12-17 11:16:00-05:00,40.91,40.91,40.91,40.91,134,0,0
2019-12-17 11:19:00-05:00,40.94,40.94,40.94,40.94,201,0,0
2019-12-17 11:20:00-05:00,40.95,40.96,40.95,40.96,458,0,0
2019-12-17 11:21:00-05:00,40.88,40.88,40.88,40.88,357,0,0
2019-12-17 11:30:00-05:00,40.88,40.96,40.88,40.96,683,0,0
2019-12-17 11:38:00-05:00,40.92,40.92,40.92,40.92,138,0,0
2019-12-17 11:42:00-05:00,40.96,40.98,40.96,40.98,402,0,0
2019-12-17 11:43:00-05:00,40.95,40.95,40.94,40.94,372,0,0
2019-12-17 11:49:00-05:00,40.89,40.89,40.89,40.89,312,0,0
2019-12-17 11:50:00-05:00,40.9,40.9,40.9,40.9,128,0,0
2019-12-17 11:51:00-05:00,40.93,40.93,40.93,40.93,163,0,0
2019-12-17 11:52:00-05:00,40.93,40.93,40.93,40.93,121,0,0
2019-12-17 11:53:00-05:00,40.95,40.95,40.95,40.95,330,0,0
2019-12-17 12:03:00-05:00,40.97,40.97,40.97,40.97,304,0,0
2019-12-17 12:06:00-05:00,40.98,41.05,40.98,40.99,525,0,0
2019-12-17 12:10:00-05:00,40.96,41.0,40.96,41.0,203,0,0
2019-12-17 12:12:00-05:00,40.97,40.97,40.97,40.97,129,0,0
2019-12-17 12:18:00-05:00,41.05,41.05,41.05,41.05,227,0,0
2019-12-17 12:23:00-05:00,40.98,40.98,40.98,40.98,122,0,0
2019-12-17 12:28:00-05:00,40.98,41.01,40.98,41.01,508,0,0
2019-12-17 12:31:00-05:00,40.99,40.99,40.96,40.96,311,0,0
2019-12-17 12:36:00-05:00,40.95,40.95,40.95,40.95,107,0,0
2019-12-17 12:37:00-05:00,40.98,40.98,40.98,40.98,161,0,0
2019-12-17 12:43:00-05:00,40.96,41.02,40.94,40.94,1696,0,0
2019-12-17 12:49:00-05:00,40.92,40.92,40.9,40.9,219,0,0
2019-12-17 12:55:00-05:00,41.03,41.03,41.03,41.03,307,0,0
2019-12-17 12:58:00-05:00,40.92,40.97,40.92,40.97,200,0,0
2019-12-17 12:59:00-05:00,40.98,40.98,40.98,40.98,602,0,0
2019-12-17 13:10:00-05:00,41.0,41.0,40.88,40.88,422,0,0
2019-12-17 13:11:00-05:00,40.97,40.97,40.97,40.97,157,0,0
2019-12-17 13:15:00-05:00,40.99,41.03,40.94,41.03,1155,0,0
2019-12-17 13:20:00-05:00,40.93,40.95,40.93,40.95,479,0,0
2019-12-17 13:21:00-05:00,40.9,40.9,40.9,40.9,154,0,0
2019-12-17 13:27:00-05:00,40.93,40.93,40.93,40.93,203,0,0
2019-12-17 13:28:00-05:00,40.88,40.88,40.88,40.88,123,0,0
2019-12-17 13:29:00-05:00,40.85,40.85,40.85,40.85,114,0,0
2019-12-17 13:30:00-05:00,40.83,40.91,40.83,40.91,243,0,0
2019-12-17 13:32:00-05:00,40.86,40.88,40.85,40.88,2343,0,0
2019-12-17 13:35:00-05:00,40.9,40.93,40.9,40.93,406,0,0
2019-12-17 13:36:00-05:00,40.83,40.83,40.83,40.83,101,0,0
2019-12-17 13:37:00-05:00,40.83,40.9,40.83,40.9,407,0,0
2019-12-17 13:43:00-05:00,40.85,40.85,40.85,40.85,136,0,0
2019-12-17 13:44:00-05:00,40.84,40.86,40.84,40.86,398,0,0
2019-12-17 13:47:00-05:00,40.83,40.83,40.83,40.83,119,0,0
2019-12-17 13:48:00-05:00,40.84,40.84,40.84,40.84,195,0,0
2019-12-17 13:49:00-05:00,40.84,40.84,40.84,40.84,331,0,0
2019-12-17 13:50:00-05:00,40.82,40.82,40.82,40.82,245,0,0
2019-12-17 13:52:00-05:00,40.85,40.85,40.85,40.85,291,0,0
2019-12-17 13:53:00-05:00,40.86,40.86,40.86,40.86,107,0,0
2019-12-17 13:55:00-05:00,40.9,40.9,40.9,40.9,380,0,0
2019-12-17 13:58:00-05:00,40.82,40.82,40.82,40.82,100,0,0
2019-12-17 13:59:00-05:00,40.9,40.9,40.9,40.9,520,0,0
2019-12-17 14:08:00-05:00,40.85,40.85,40.85,40.85,156,0,0
2019-12-17 14:09:00-05:00,40.85,40.85,40.85,40.85,188,0,0
2019-12-17 14:13:00-05:00,40.9,40.9,40.9,40.9,141,0,0
2019-12-17 14:18:00-05:00,40.89,40.89,40.89,40.89,426,0,0
2019-12-17 14:22:00-05:00,40.85,40.85,40.85,40.85,1068,0,0
2019-12-17 14:24:00-05:00,40.85,40.85,40.85,40.85,126,0,0
2019-12-17 14:27:00-05:00,40.85,40.85,40.85,40.85,152,0,0
2019-12-17 14:31:00-05:00,40.82,40.82,40.82,40.82,260,0,0
