Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 11:01:00-05:00,39.81,39.81,39.79,39.79,0,0,0
2019-12-17 11:02:00-05:00,39.8,39.8,39.79,39.79,549,0,0
2019-12-17 11:03:00-05:00,39.79,39.79,39.78,39.78,3333,0,0
2019-12-17 11:04:00-05:00,39.78,39.78,39.76,39.77,6009,0,0
2019-12-17 11:05:00-05:00,39.76,39.8,39.76,39.79,6612,0,0
2019-12-17 11:06:00-05:00,39.79,39.83,39.79,39.83,1639,0,0
2019-12-17 11:07:00-05:00,39.82,39.82,39.81,39.81,2411,0,0
2019-12-17 11:08:00-05:00,39.83,39.83,39.82,39.82,1500,0,0
2019-12-17 11:09:00-05:00,39.83,39.83,39.83,39.83,2762,0,0
2019-12-17 11:10:00-05:00,39.84,39.84,39.84,39.84,3295,0,0
2019-12-17 11:11:00-05:00,39.85,39.85,39.84,39.85,912,0,0
2019-12-17 11:12:00-05:00,39.85,39.85,39.83,39.83,3992,0,0
2019-12-17 11:13:00-05:00,39.84,39.85,39.84,39.85,2214,0,0
2019-12-17 11:14:00-05:00,39.84,39.85,39.83,39.84,5126,0,0
2019-12-17 11:15:00-05:00,39.85,39.85,39.85,39.85,1927,0,0
2019-12-17 11:16:00-05:00,39.85,39.85,39.84,39.84,2840,0,0
2019-12-17 11:17:00-05:00,39.85,39.85,39.85,39.85,820,0,0
2019-12-17 11:18:00-05:00,39.85,39.85,39.85,39.85,3615,0,0
2019-12-17 11:19:00-05:00,39.85,39.85,39.84,39.84,3620,0,0
2019-12-17 11:20:00-05:00,39.84,39.85,39.84,39.85,3733,0,0
2019-12-17 11:21:00-05:00,39.85,39.91,39.85,39.91,78674,0,0
2019-12-17 11:22:00-05:00,39.92,39.92,39.88,39.89,8704,0,0
2019-12-17 11:23:00-05:00,39.89,39.89,39.88,39.88,326,0,0
2019-12-17 11:24:00-05:00,39.88,39.88,39.87,39.87,2561,0,0
2019-12-17 11:25:00-05:00,39.87,39.89,39.87,39.89,5973,0,0
2019-12-17 11:26:00-05:00,39.9,39.95,39.9,39.95,3903,0,0
2019-12-17 11:27:00-05:00,39.95,39.97,39.95,39.97,2842,0,0
2019-12-17 11:29:00-05:00,39.98,39.99,39.98,39.99,6738,0,0
2019-12-17 11:30:00-05:00,39.98,39.98,39.97,39.97,2364,0,0
2019-12-17 11:31:00-05:00,39.97,39.97,39.95,39.96,3315,0,0
2019-12-17 11:32:00-05:00,39.95,39.96,39.95,39.96,503,0,0
2019-12-17 11:33:00-05:00,39.94,39.94,39.92,39.94,2268,0,0
2019-12-17 11:34:00-05:00,39.95,39.95,39.95,39.95,8781,0,0
2019-12-17 11:35:00-05:00,39.95,39.95,39.89,39.9,16052,0,0
2019-12-17 11:36:00-05:00,39.9,39.93,39.9,39.93,3435,0,0
2019-12-17 11:37:00-05:00,39.91,39.91,39.9,39.91,1942,0,0
2019-12-17 11:38:00-05:00,39.92,39.92,39.87,39.87,3306,0,0
2019-12-17 11:39:00-05:00,39.87,39.88,39.87,39.87,966,0,0
2019-12-17 11:40:00-05:00,39.88,39.88,39.87,39.88,2249,0,0
2019-12-17 11:41:00-05:00,39.88,39.88,39.87,39.88,489,0,0
2019-12-17 11:42:00-05:00,39.87,39.88,39.87,39.87,1903,0,0
2019-12-17 11:43:00-05:00,39.87,39.88,39.87,39.88,2711,0,0
2019-12-17 11:44:00-05:00,39.88,39.88,39.88,39.88,6566,0,0
2019-12-17 11:45:00-05:00,39.88,39.9,39.87,39.87,7220,0,0
2019-12-17 11:46:00-05:00,39.88,39.89,39.88,39.88,2863,0,0
2019-12-17 11:47:00-05:00,39.89,39.9,39.89,39.9,2314,0,0
2019-12-17 11:48:00-05:00,39.9,39.92,39.9,39.92,5014,0,0
2019-12-17 11:49:00-05:00,39.92,39.92,39.92,39.92,1269,0,0
2019-12-17 11:50:00-05:00,39.92,39.95,39.92,39.95,1790,0,0
2019-12-17 11:51:00-05:00,39.96,39.96,39.92,39.92,6583,0,0
2019-12-17 11:52:00-05:00,39.91,39.91,39.91,39.91,128,0,0
2019-12-17 11:53:00-05:00,39.92,39.97,39.92,39.97,2650,0,0
2019-12-17 11:54:00-05:00,39.97,40.01,39.97,40.0,6557,0,0
2019-12-17 11:55:00-05:00,39.99,40.0,39.97,39.97,3576,0,0
2019-12-17 11:56:00-05:00,39.97,39.99,39.97,39.99,3164,0,0
2019-12-17 11:57:00-05:00,39.99,39.99,39.99,39.99,842,0,0
2019-12-17 11:58:00-05:00,39.99,39.99,39.99,39.99,5818,0,0
2019-12-17 11:59:00-05:00,39.99,39.99,39.99,39.99,1235,0,0
2019-12-17 12:01:00-05:00,40.04,40.04,40.04,40.04,16957,0,0
2019-12-17 12:02:00-05:00,40.06,40.06,40.04,40.05,4951,0,0
2019-12-17 12:03:00-05:00,40.05,40.07,40.05,40.07,1240,0,0
2019-12-17 12:04:00-05:00,40.07,40.08,40.06,40.08,4455,0,0
2019-12-17 12:05:00-05:00,40.09,40.11,40.09,40.11,5365,0,0
2019-12-17 12:06:00-05:00,40.11,40.12,40.1,40.1,2601,0,0
2019-12-17 12:07:00-05:00,40.1,40.11,40.08,40.11,4190,0,0
2019-12-17 12:08:00-05:00,40.1,40.12,40.1,40.11,3408,0,0
2019-12-17 12:09:00-05:00,40.12,40.12,40.1,40.1,7517,0,0
2019-12-17 12:10:00-05:00,40.1,40.12,40.1,40.12,2300,0,0
2019-12-17 12:11:00-05:00,40.12,40.12,40.1,40.12,6446,0,0
2019-12-17 12:12:00-05:00,40.11,40.11,40.1,40.1,3090,0,0
2019-12-17 12:13:00-05:00,40.1,40.1,40.06,40.07,6963,0,0
2019-12-17 12:14:00-05:00,40.07,40.1,40.06,40.1,3178,0,0
2019-12-17 12:15:00-05:00,40.11,40.11,40.1,40.1,781,0,0
2019-12-17 12:16:00-05:00,40.1,40.1,40.09,40.1,3554,0,0
2019-12-17 12:17:00-05:00,40.1,40.1,40.09,40.1,3228,0,0
2019-12-17 12:18:00-05:00,40.1,40.1,40.1,40.1,713,0,0
2019-12-17 12:19:00-05:00,40.1,40.1,40.1,40.1,4005,0,0
2019-12-17 12:20:00-05:00,40.1,40.1,40.1,40.1,988,0,0
2019-12-17 12:21:00-05:00,40.1,40.1,40.09,40.09,629,0,0
2019-12-17 12:22:00-05:00,40.1,40.1,40.1,40.1,724,0,0
2019-12-17 12:23:00-05:00,40.1,40.11,40.09,40.11,13392,0,0
2019-12-17 12:24:00-05:00,40.11,40.11,40.1,40.1,1124,0,0
2019-12-17 12:25:00-05:00,40.11,40.12,40.1,40.11,4205,0,0
2019-12-17 12:26:00-05:00,40.11,40.12,40.11,40.12,1202,0,0
2019-12-17 12:27:00-05:00,40.11,40.11,40.11,40.11,4062,0,0
2019-12-17 12:28:00-05:00,40.11,40.12,40.1,40.1,2702,0,0
2019-12-17 12:29:00-05:00,40.1,40.12,40.1,40.1,5515,0,0
2019-12-17 12:30:00-05:00,40.1,40.1,40.09,40.1,3498,0,0
2019-12-17 12:31:00-05:00,40.1,40.1,40.1,40.1,4991,0,0
2019-12-17 12:32:00-05:00,40.1,40.1,40.1,40.1,727,0,0
2019-12-17 12:33:00-05:00,40.1,40.1,40.1,40.1,453,0,0
2019-12-17 12:34:00-05:00,40.1,40.1,40.1,40.1,450,0,0
2019-12-17 12:35:00-05:00,40.11,40.11,40.08,40.08,6081,0,0
2019-12-17 12:36:00-05:00,40.08,40.08,40.08,40.08,1449,0,0
2019-12-17 12:37:00-05:00,40.08,40.08,40.08,40.08,3442,0,0
2019-12-17 12:38:00-05:00,40.08,40.08,40.05,40.06,5812,0,0
2019-12-17 12:39:00-05:00,40.05,40.06,40.05,40.06,450,0,0
2019-12-17 12:40:00-05:00,40.05,40.06,40.05,40.05,3014,0,0
2019-12-17 12:41:00-05:00,40.06,40.06,40.05,40.05,201,0,0
2019-12-17 12:42:00-05:00,40.05,40.06,40.03,40.03,2330,0,0
2019-12-17 12:43:00-05:00,40.02,40.02,40.02,40.02,2702,0,0
2019-12-17 12:44:00-05:00,40.03,40.03,40.0,40.01,1603,0,0
2019-12-17 12:45:00-05:00,40.0,40.01,39.95,39.95,7794,0,0
2019-12-17 12:46:00-05:00,39.95,39.97,39.95,39.97,301,0,0
2019-12-17 12:47:00-05:00,39.96,39.97,39.96,39.97,988,0,0
2019-12-17 12:48:00-05:00,39.97,39.97,39.96,39.96,3632,0,0
2019-12-17 12:49:00-05:00,39.96,39.97,39.93,39.94,7529,0,0
2019-12-17 12:50:00-05:00,39.94,39.94,39.94,39.94,1004,0,0
2019-12-17 12:51:00-05:00,39.95,39.95,39.94,39.94,1205,0,0
2019-12-17 12:52:00-05:00,39.94,39.96,39.94,39.96,5358,0,0
2019-12-17 12:53:00-05:00,39.95,39.95,39.94,39.94,712,0,0
2019-12-17 12:54:00-05:00,39.94,39.95,39.94,39.94,2113,0,0
2019-12-17 12:55:00-05:00,39.94,39.94,39.93,39.94,1303,0,0
2019-12-17 12:56:00-05:00,39.94,39.94,39.93,39.93,1280,0,0
2019-12-17 12:57:00-05:00,39.93,39.94,39.93,39.93,3011,0,0
2019-12-17 12:58:00-05:00,39.93,39.95,39.93,39.94,3339,0,0
2019-12-17 12:59:00-05:00,39.94,39.96,39.94,39.96,2868,0,0
2019-12-17 13:00:00-05:00,39.96,39.97,39.96,39.96,4736,0,0
2019-12-17 13:01:00-05:00,39.96,39.97,39.95,39.95,2446,0,0
2019-12-17 13:02:00-05:00,39.95,39.95,39.95,39.95,942,0,0
2019-12-17 13:03:00-05:00,39.96,39.96,39.96,39.96,301,0,0
2019-12-17 13:04:00-05:00,39.96,39.96,39.94,39.94,4266,0,0
2019-12-17 13:05:00-05:00,39.94,39.94,39.91,39.91,3997,0,0
2019-12-17 13:06:00-05:00,39.92,39.92,39.92,39.92,520,0,0
2019-12-17 13:07:00-05:00,39.92,39.92,39.92,39.92,201,0,0
2019-12-17 13:08:00-05:00,39.91,39.92,39.91,39.92,741,0,0
2019-12-17 13:09:00-05:00,39.92,39.92,39.91,39.92,4034,0,0
2019-12-17 13:10:00-05:00,39.92,39.92,39.91,39.91,5931,0,0
2019-12-17 13:11:00-05:00,39.9,39.9,39.89,39.89,1905,0,0
2019-12-17 13:12:00-05:00,39.9,39.9,39.88,39.88,3353,0,0
2019-12-17 13:13:00-05:00,39.9,39.9,39.9,39.9,4002,0,0
2019-12-17 13:14:00-05:00,39.9,39.9,39.89,39.89,2916,0,0
2019-12-17 13:15:00-05:00,39.88,39.88,39.86,39.87,1513,0,0
2019-12-17 13:16:00-05:00,39.86,39.88,39.86,39.88,1380,0,0
2019-12-17 13:17:00-05:00,39.88,39.88,39.86,39.86,6290,0,0
2019-12-17 13:18:00-05:00,39.86,39.88,39.86,39.88,3143,0,0
2019-12-17 13:19:00-05:00,39.89,39.92,39.88,39.92,5600,0,0
2019-12-17 13:20:00-05:00,39.92,39.92,39.9,39.92,4592,0,0
2019-12-17 13:21:00-05:00,39.92,39.92,39.9,39.9,1134,0,0
2019-12-17 13:22:00-05:00,39.9,39.9,39.9,39.9,321,0,0
2019-12-17 13:23:00-05:00,39.9,39.9,39.9,39.9,1124,0,0
2019-12-17 13:24:00-05:00,39.9,39.9,39.89,39.89,1740,0,0
2019-12-17 13:25:00-05:00,39.9,39.92,39.9,39.91,4845,0,0
2019-12-17 13:26:00-05:00,39.91,39.92,39.91,39.92,1954,0,0
2019-12-17 13:27:00-05:00,39.92,39.92,39.92,39.92,3265,0,0
2019-12-17 13:28:00-05:00,39.92,39.92,39.91,39.92,997,0,0
2019-12-17 13:29:00-05:00,39.91,39.91,39.9,39.9,2508,0,0
2019-12-17 13:30:00-05:00,39.9,39.9,39.9,39.9,521,0,0
2019-12-17 13:31:00-05:00,39.9,39.92,39.9,39.91,3323,0,0
2019-12-17 13:32:00-05:00,39.91,39.92,39.91,39.92,4595,0,0
2019-12-17 13:33:00-05:00,39.91,39.92,39.91,39.92,4411,0,0
2019-12-17 13:34:00-05:00,39.92,39.92,39.91,39.91,1750,0,0
2019-12-17 13:35:00-05:00,39.92,39.92,39.91,39.91,7427,0,0
2019-12-17 13:36:00-05:00,39.92,39.92,39.91,39.91,4101,0,0
2019-12-17 13:37:00-05:00,39.9,39.91,39.9,39.91,2564,0,0
2019-12-17 13:38:00-05:00,39.9,39.9,39.9,39.9,905,0,0
2019-12-17 13:39:00-05:00,39.89,39.9,39.87,39.87,2912,0,0
2019-12-17 13:40:00-05:00,39.86,39.86,39.85,39.86,2218,0,0
2019-12-17 13:41:00-05:00,39.86,39.86,39.85,39.85,982,0,0
2019-12-17 13:42:00-05:00,39.85,39.85,39.85,39.85,890,0,0
2019-12-17 13:43:00-05:00,39.85,39.85,39.85,39.85,2453,0,0
2019-12-17 13:44:00-05:00,39.85,39.85,39.85,39.85,787,0,0
2019-12-17 13:45:00-05:00,39.85,39.85,39.85,39.85,521,0,0
2019-12-17 13:46:00-05:00,39.86,39.86,39.83,39.83,5740,0,0
2019-12-17 13:47:00-05:00,39.83,39.83,39.83,39.83,218,0,0
2019-12-17 13:48:00-05:00,39.83,39.83,39.81,39.81,4922,0,0
2019-12-17 13:49:00-05:00,39.81,39.81,39.8,39.81,1959,0,0
2019-12-17 13:50:00-05:00,39.81,39.81,39.78,39.78,11271,0,0
2019-12-17 13:51:00-05:00,39.77,39.78,39.77,39.77,511,0,0
2019-12-17 13:52:00-05:00,39.77,39.77,39.75,39.76,2119,0,0
2019-12-17 13:53:00-05:00,39.75,39.76,39.75,39.76,4970,0,0
2019-12-17 13:54:00-05:00,39.76,39.76,39.76,39.76,1191,0,0
2019-12-17 13:55:00-05:00,39.76,39.77,39.74,39.74,6548,0,0
2019-12-17 13:56:00-05:00,39.74,39.74,39.73,39.73,602,0,0
2019-12-17 13:57:00-05:00,39.74,39.74,39.7,39.7,1611,0,0
2019-12-17 13:58:00-05:00,39.71,39.71,39.7,39.7,3622,0,0
2019-12-17 13:59:00-05:00,39.71,39.71,39.7,39.71,2515,0,0
2019-12-17 14:00:00-05:00,39.71,39.72,39.7,39.7,13589,0,0
2019-12-17 14:01:00-05:00,39.71,39.72,39.71,39.72,3414,0,0
2019-12-17 14:02:00-05:00,39.71,39.73,39.71,39.72,1937,0,0
2019-12-17 14:03:00-05:00,39.72,39.72,39.71,39.71,3253,0,0
2019-12-17 14:04:00-05:00,39.71,39.71,39.71,39.71,1014,0,0
2019-12-17 14:05:00-05:00,39.71,39.72,39.71,39.71,1600,0,0
2019-12-17 14:06:00-05:00,39.71,39.72,39.69,39.7,9088,0,0
2019-12-17 14:07:00-05:00,39.69,39.69,39.68,39.68,1756,0,0
2019-12-17 14:08:00-05:00,39.69,39.69,39.68,39.68,1264,0,0
2019-12-17 14:09:00-05:00,39.68,39.69,39.67,39.68,3680,0,0
2019-12-17 14:10:00-05:00,39.68,39.69,39.68,39.68,401,0,0
2019-12-17 14:11:00-05:00,39.68,39.69,39.68,39.68,1001,0,0
2019-12-17 14:12:00-05:00,39.69,39.72,39.69,39.71,6614,0,0
2019-12-17 14:13:00-05:00,39.71,39.71,39.7,39.7,1930,0,0
2019-12-17 14:14:00-05:00,39.71,39.71,39.71,39.71,2557,0,0
2019-12-17 14:15:00-05:00,39.7,39.72,39.69,39.71,7315,0,0
2019-12-17 14:16:00-05:00,39.71,39.72,39.71,39.71,2666,0,0
2019-12-17 14:17:00-05:00,39.72,39.72,39.71,39.72,703,0,0
2019-12-17 14:18:00-05:00,39.72,39.72,39.72,39.72,5793,0,0
2019-12-17 14:19:00-05:00,39.71,39.72,39.71,39.72,2721,0,0
2019-12-17 14:20:00-05:00,39.71,39.72,39.71,39.72,685,0,0
2019-12-17 14:21:00-05:00,39.72,39.72,39.69,39.69,2844,0,0
2019-12-17 14:22:00-05:00,39.69,39.7,39.69,39.69,4063,0,0
